,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'Asghar Afghan', 'Dawlat Zadran', 'D'})",frozenset({'won'}),0.3561643835616438,0.4383561643835616,0.1917808219178082,0.5384615384615384,1.2283653846153846,0.03565396884969038,1.2168949771689497
1,"frozenset({'Asghar Afghan', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1506849315068493,0.4782608695652174,1.0910326086956523,0.012572715331206602,1.0764840182648403
2,"frozenset({'Asghar Afghan', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.4520547945205479,0.4383561643835616,0.2191780821917808,0.48484848484848486,1.1060606060606062,0.021017076374554328,1.090249798549557
3,"frozenset({'Asghar Afghan', 'D', 'Mohammad Shahzad'})",frozenset({'won'}),0.3424657534246575,0.4383561643835616,0.2054794520547945,0.6,1.3687500000000001,0.055357477950835066,1.404109589041096
4,"frozenset({'Asghar Afghan', 'Najibullah Zadran', 'D'})",frozenset({'won'}),0.3287671232876712,0.4383561643835616,0.1643835616438356,0.5,1.140625,0.020266466504034547,1.1232876712328768
5,"frozenset({'Asghar Afghan', 'Noor Ali Zadran', 'D'})",frozenset({'won'}),0.2054794520547945,0.4383561643835616,0.136986301369863,0.6666666666666666,1.5208333333333333,0.04691311690748734,1.684931506849315
6,"frozenset({'Asghar Afghan', 'Rahmat Shah', 'D'})",frozenset({'won'}),0.3561643835616438,0.4383561643835616,0.1780821917808219,0.5,1.140625,0.02195533871270408,1.1232876712328768
7,"frozenset({'Asghar Afghan', 'Rashid Khan', 'D'})",frozenset({'won'}),0.410958904109589,0.4383561643835616,0.2191780821917808,0.5333333333333333,1.2166666666666668,0.03903171326702948,1.203522504892368
8,"frozenset({'Asghar Afghan', 'Samiullah Shinwari', 'D'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1643835616438356,0.5217391304347826,1.190217391304348,0.026271345468192903,1.174346201743462
9,"frozenset({'Dawlat Zadran', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.2465753424657534,0.4383561643835616,0.136986301369863,0.5555555555555556,1.2673611111111112,0.028898480015012204,1.2636986301369864
10,"frozenset({'Dawlat Zadran', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3835616438356164,0.4383561643835616,0.1917808219178082,0.5,1.140625,0.023644210921373615,1.1232876712328768
11,"frozenset({'Dawlat Zadran', 'D', 'Mohammad Shahzad'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1917808219178082,0.6086956521739131,1.3885869565217392,0.053668605742165504,1.4353120243531206
12,"frozenset({'Najibullah Zadran', 'Dawlat Zadran', 'D'})",frozenset({'won'}),0.3013698630136986,0.4383561643835616,0.1643835616438356,0.5454545454545454,1.2443181818181819,0.032276224432351286,1.2356164383561643
13,"frozenset({'Dawlat Zadran', 'Noor Ali Zadran', 'D'})",frozenset({'won'}),0.1780821917808219,0.4383561643835616,0.1232876712328767,0.6923076923076923,1.5793269230769231,0.04522424469881779,1.8253424657534247
14,"frozenset({'Rahmat Shah', 'Dawlat Zadran', 'D'})",frozenset({'won'}),0.3013698630136986,0.4383561643835616,0.1643835616438356,0.5454545454545454,1.2443181818181819,0.032276224432351286,1.2356164383561643
15,"frozenset({'Dawlat Zadran', 'Rashid Khan', 'D'})",frozenset({'won'}),0.3424657534246575,0.4383561643835616,0.1917808219178082,0.56,1.2775000000000003,0.041658847813848765,1.2764632627646328
16,"frozenset({'Samiullah Shinwari', 'Dawlat Zadran', 'D'})",frozenset({'won'}),0.273972602739726,0.4383561643835616,0.1643835616438356,0.6,1.3687500000000001,0.04428598236066805,1.404109589041096
17,"frozenset({'Mohammad Nabi', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.3287671232876712,0.4383561643835616,0.1506849315068493,0.4583333333333333,1.0455729166666667,0.0065678363670482465,1.0368809272918862
18,"frozenset({'D', 'Gulbadin Naib', 'Mohammad Shahzad'})",frozenset({'won'}),0.2602739726027397,0.4383561643835616,0.1506849315068493,0.5789473684210527,1.3207236842105265,0.03659223118784012,1.3339041095890412
19,"frozenset({'Najibullah Zadran', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.2328767123287671,0.4383561643835616,0.1095890410958904,0.47058823529411764,1.0735294117647058,0.007506098705197972,1.060882800608828
20,"frozenset({'Rahmat Shah', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.3424657534246575,0.4383561643835616,0.1643835616438356,0.48,1.095,0.014261587539876164,1.0800842992623814
21,"frozenset({'Rashid Khan', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.3424657534246575,0.4383561643835616,0.1643835616438356,0.48,1.095,0.014261587539876164,1.0800842992623814
22,"frozenset({'Mohammad Nabi', 'D', 'Mohammad Shahzad'})",frozenset({'won'}),0.3698630136986301,0.4383561643835616,0.2054794520547945,0.5555555555555556,1.2673611111111112,0.0433477200225183,1.2636986301369864
23,"frozenset({'Najibullah Zadran', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3561643835616438,0.4383561643835616,0.1643835616438356,0.46153846153846156,1.0528846153846154,0.00825670857571778,1.0430528375733856
24,"frozenset({'Noor Ali Zadran', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.1917808219178082,0.4383561643835616,0.1232876712328767,0.6428571428571429,1.4665178571428574,0.03921936573465941,1.5726027397260276
25,"frozenset({'Rahmat Shah', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3835616438356164,0.4383561643835616,0.1780821917808219,0.4642857142857143,1.0591517857142858,0.009945580784387315,1.0484018264840183
26,"frozenset({'Rashid Khan', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.4383561643835616,0.4383561643835616,0.2191780821917808,0.5,1.140625,0.02702195533871271,1.1232876712328768
27,"frozenset({'Samiullah Shinwari', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3287671232876712,0.4383561643835616,0.1780821917808219,0.5416666666666666,1.2356770833333333,0.03396509664102085,1.2254047322540473
28,"frozenset({'Najibullah Zadran', 'D', 'Mohammad Shahzad'})",frozenset({'won'}),0.2602739726027397,0.4383561643835616,0.1643835616438356,0.631578947368421,1.4407894736842106,0.05029086132482642,1.5244618395303327
29,"frozenset({'Noor Ali Zadran', 'D', 'Mohammad Shahzad'})",frozenset({'won'}),0.1917808219178082,0.4383561643835616,0.136986301369863,0.7142857142857143,1.6294642857142858,0.05291799587164571,1.9657534246575343
30,"frozenset({'Rahmat Shah', 'D', 'Mohammad Shahzad'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1780821917808219,0.5652173913043478,1.2894021739130435,0.0399699756051792,1.2917808219178082
31,"frozenset({'Rashid Khan', 'D', 'Mohammad Shahzad'})",frozenset({'won'}),0.3698630136986301,0.4383561643835616,0.2191780821917808,0.5925925925925926,1.3518518518518519,0.0570463501595046,1.3785803237858032
32,"frozenset({'Samiullah Shinwari', 'D', 'Mohammad Shahzad'})",frozenset({'won'}),0.2465753424657534,0.4383561643835616,0.1643835616438356,0.6666666666666666,1.5208333333333333,0.056295740288984805,1.684931506849315
33,"frozenset({'Rahmat Shah', 'Najibullah Zadran', 'D'})",frozenset({'won'}),0.2876712328767123,0.4383561643835616,0.136986301369863,0.47619047619047616,1.0863095238095237,0.010883843122537068,1.0722291407222915
34,"frozenset({'Najibullah Zadran', 'Rashid Khan', 'D'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1643835616438356,0.5217391304347826,1.190217391304348,0.026271345468192903,1.174346201743462
35,"frozenset({'Samiullah Shinwari', 'Najibullah Zadran', 'D'})",frozenset({'won'}),0.2328767123287671,0.4383561643835616,0.1232876712328767,0.5294117647058824,1.2077205882352942,0.021204728842184273,1.1934931506849316
36,"frozenset({'Noor Ali Zadran', 'Rashid Khan', 'D'})",frozenset({'won'}),0.1917808219178082,0.4383561643835616,0.136986301369863,0.7142857142857143,1.6294642857142858,0.05291799587164571,1.9657534246575343
37,"frozenset({'Rahmat Shah', 'Rashid Khan', 'D'})",frozenset({'won'}),0.3972602739726027,0.4383561643835616,0.1917808219178082,0.4827586206896552,1.101293103448276,0.01763933195721526,1.0858447488584477
38,"frozenset({'Samiullah Shinwari', 'Rahmat Shah', 'D'})",frozenset({'won'}),0.2191780821917808,0.4383561643835616,0.1232876712328767,0.5625,1.283203125,0.027209607806342656,1.2837573385518593
39,"frozenset({'Samiullah Shinwari', 'Rashid Khan', 'D'})",frozenset({'won'}),0.273972602739726,0.4383561643835616,0.1643835616438356,0.6,1.3687500000000001,0.04428598236066805,1.404109589041096
40,"frozenset({'Asghar Afghan', 'Dawlat Zadran', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.2191780821917808,0.4383561643835616,0.1232876712328767,0.5625,1.283203125,0.027209607806342656,1.2837573385518593
41,"frozenset({'Asghar Afghan', 'Dawlat Zadran', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3424657534246575,0.4383561643835616,0.1780821917808219,0.52,1.18625,0.027960217676862464,1.1700913242009134
42,"frozenset({'Asghar Afghan', 'Mohammad Shahzad', 'Dawlat Zadran', 'D'})",frozenset({'won'}),0.273972602739726,0.4383561643835616,0.1780821917808219,0.65,1.4828125,0.05798461249765435,1.604696673189824
43,"frozenset({'Asghar Afghan', 'Najibullah Zadran', 'Dawlat Zadran', 'D'})",frozenset({'won'}),0.2602739726027397,0.4383561643835616,0.1506849315068493,0.5789473684210527,1.3207236842105265,0.03659223118784012,1.3339041095890412
44,"frozenset({'Asghar Afghan', 'Dawlat Zadran', 'Noor Ali Zadran', 'D'})",frozenset({'won'}),0.1780821917808219,0.4383561643835616,0.1232876712328767,0.6923076923076923,1.5793269230769231,0.04522424469881779,1.8253424657534247
45,"frozenset({'Asghar Afghan', 'Rahmat Shah', 'Dawlat Zadran', 'D'})",frozenset({'won'}),0.2602739726027397,0.4383561643835616,0.1506849315068493,0.5789473684210527,1.3207236842105265,0.03659223118784012,1.3339041095890412
46,"frozenset({'Asghar Afghan', 'Dawlat Zadran', 'Rashid Khan', 'D'})",frozenset({'won'}),0.3013698630136986,0.4383561643835616,0.1780821917808219,0.5909090909090909,1.3480113636363638,0.045974854569337587,1.3729071537290718
47,"frozenset({'Asghar Afghan', 'Samiullah Shinwari', 'Dawlat Zadran', 'D'})",frozenset({'won'}),0.2602739726027397,0.4383561643835616,0.1506849315068493,0.5789473684210527,1.3207236842105265,0.03659223118784012,1.3339041095890412
48,"frozenset({'Asghar Afghan', 'Mohammad Nabi', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.3013698630136986,0.4383561643835616,0.136986301369863,0.45454545454545453,1.0369318181818181,0.004878964158378685,1.0296803652968038
49,"frozenset({'Asghar Afghan', 'Mohammad Shahzad', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.2328767123287671,0.4383561643835616,0.136986301369863,0.5882352941176471,1.3419117647058825,0.03490335897917057,1.3639921722113504
50,"frozenset({'Asghar Afghan', 'Rahmat Shah', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1506849315068493,0.4782608695652174,1.0910326086956523,0.012572715331206602,1.0764840182648403
51,"frozenset({'Asghar Afghan', 'Rashid Khan', 'Gulbadin Naib', 'D'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1506849315068493,0.4782608695652174,1.0910326086956523,0.012572715331206602,1.0764840182648403
52,"frozenset({'Asghar Afghan', 'Mohammad Shahzad', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3287671232876712,0.4383561643835616,0.1917808219178082,0.5833333333333334,1.3307291666666667,0.04766372677800715,1.3479452054794523
53,"frozenset({'Asghar Afghan', 'Najibullah Zadran', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1506849315068493,0.4782608695652174,1.0910326086956523,0.012572715331206602,1.0764840182648403
54,"frozenset({'Asghar Afghan', 'Noor Ali Zadran', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.1917808219178082,0.4383561643835616,0.1232876712328767,0.6428571428571429,1.4665178571428574,0.03921936573465941,1.5726027397260276
55,"frozenset({'Asghar Afghan', 'Rahmat Shah', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3424657534246575,0.4383561643835616,0.1643835616438356,0.48,1.095,0.014261587539876164,1.0800842992623814
56,"frozenset({'Asghar Afghan', 'Rashid Khan', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3972602739726027,0.4383561643835616,0.2054794520547945,0.5172413793103449,1.1799568965517242,0.03133796209420156,1.1634050880626225
57,"frozenset({'Asghar Afghan', 'Samiullah Shinwari', 'Mohammad Nabi', 'D'})",frozenset({'won'}),0.3150684931506849,0.4383561643835616,0.1643835616438356,0.5217391304347826,1.190217391304348,0.026271345468192903,1.174346201743462
58,"frozenset({'Asghar Afghan', 'Mohammad Shahzad', 'Najibullah Zadran', 'D'})",frozenset({'won'}),0.2191780821917808,0.4383561643835616,0.1506849315068493,0.6875,1.568359375,0.05460686808031526,1.797260273972603
