,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
372,"frozenset({'A Zampa', 'AT Carey'})",frozenset({'won'}),0.25961538461538464,0.5576923076923077,0.15384615384615385,0.5925925925925926,1.0625798212005109,0.009060650887573962,1.0856643356643356
476,"frozenset({'GJ Maxwell', 'A Zampa'})",frozenset({'won'}),0.28846153846153844,0.5576923076923077,0.17307692307692307,0.6000000000000001,1.0758620689655174,0.012204142011834312,1.105769230769231
539,"frozenset({'A Zampa', 'MA Starc'})",frozenset({'won'}),0.2980769230769231,0.5576923076923077,0.17307692307692307,0.5806451612903226,1.0411568409343717,0.006841715976331347,1.054733727810651
649,"frozenset({'PSP Handscomb', 'A Zampa'})",frozenset({'won'}),0.15384615384615385,0.5576923076923077,0.10576923076923077,0.6875,1.232758620689655,0.019970414201183423,1.4153846153846152
679,"frozenset({'UT Khawaja', 'A Zampa'})",frozenset({'won'}),0.25,0.5576923076923077,0.18269230769230768,0.7307692307692307,1.3103448275862069,0.043269230769230754,1.6428571428571426
812,"frozenset({'AJ Finch', 'DA Warner'})",frozenset({'won'}),0.5384615384615384,0.5576923076923077,0.3076923076923077,0.5714285714285715,1.0246305418719213,0.00739644970414205,1.0320512820512822
849,"frozenset({'GJ Bailey', 'AJ Finch'})",frozenset({'won'}),0.27884615384615385,0.5576923076923077,0.18269230769230768,0.6551724137931034,1.1747919143876338,0.027181952662721887,1.2826923076923076
889,"frozenset({'AJ Finch', 'GJ Maxwell'})",frozenset({'won'}),0.5480769230769231,0.5576923076923077,0.34615384615384615,0.631578947368421,1.132486388384755,0.040495562130177465,1.2005494505494503
922,"frozenset({'AJ Finch', 'JP Faulkner'})",frozenset({'won'}),0.25961538461538464,0.5576923076923077,0.20192307692307693,0.7777777777777777,1.3946360153256703,0.057137573964497035,1.9903846153846145
940,"frozenset({'JR Hazlewood', 'AJ Finch'})",frozenset({'won'}),0.3076923076923077,0.5576923076923077,0.19230769230769232,0.625,1.1206896551724137,0.020710059171597628,1.1794871794871795
