,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'DN'}),frozenset({'won'}),0.6153846153846154,0.5384615384615384,0.3717948717948718,0.6041666666666666,1.1220238095238095,0.04043392504930965,1.165991902834008
1,"frozenset({'DN', 'Imrul Kayes'})",frozenset({'won'}),0.19230769230769232,0.5384615384615384,0.1282051282051282,0.6666666666666665,1.238095238095238,0.024654832347140027,1.3846153846153841
2,"frozenset({'DN', 'Liton Das'})",frozenset({'won'}),0.2948717948717949,0.5384615384615384,0.21794871794871795,0.7391304347826086,1.3726708074534162,0.05917159763313609,1.769230769230769
3,"frozenset({'DN', 'Mahmudullah'})",frozenset({'won'}),0.5769230769230769,0.5384615384615384,0.34615384615384615,0.6000000000000001,1.1142857142857145,0.03550295857988167,1.1538461538461542
4,"frozenset({'Mashrafe Mortaza', 'DN'})",frozenset({'won'}),0.5512820512820513,0.5384615384615384,0.358974358974359,0.6511627906976744,1.2093023255813953,0.062130177514792884,1.3230769230769228
5,"frozenset({'DN', 'Mushfiqur Rahim'})",frozenset({'won'}),0.5897435897435898,0.5384615384615384,0.358974358974359,0.6086956521739131,1.1304347826086958,0.041420118343195256,1.1794871794871797
6,"frozenset({'Mustafizur Rahman', 'DN'})",frozenset({'won'}),0.38461538461538464,0.5384615384615384,0.24358974358974358,0.6333333333333333,1.1761904761904762,0.03648915187376725,1.2587412587412588
7,"frozenset({'Nasir Hossain', 'DN'})",frozenset({'won'}),0.2564102564102564,0.5384615384615384,0.1794871794871795,0.7000000000000001,1.3000000000000003,0.041420118343195284,1.538461538461539
8,"frozenset({'Sabbir Rahman', 'DN'})",frozenset({'won'}),0.4358974358974359,0.5384615384615384,0.24358974358974358,0.5588235294117647,1.0378151260504203,0.008875739644970404,1.0461538461538462
9,"frozenset({'DN', 'Shakib Al Hasan'})",frozenset({'won'}),0.46153846153846156,0.5384615384615384,0.2692307692307692,0.5833333333333333,1.0833333333333333,0.020710059171597628,1.1076923076923075
10,"frozenset({'DN', 'Soumya Sarkar'})",frozenset({'won'}),0.34615384615384615,0.5384615384615384,0.19230769230769232,0.5555555555555556,1.0317460317460319,0.00591715976331364,1.0384615384615385
11,"frozenset({'Tamim Iqbal', 'DN'})",frozenset({'won'}),0.5384615384615384,0.5384615384615384,0.32051282051282054,0.5952380952380953,1.1054421768707485,0.030571992110453694,1.14027149321267
12,"frozenset({'DN', 'Taskin Ahmed'})",frozenset({'won'}),0.21794871794871795,0.5384615384615384,0.14102564102564102,0.6470588235294118,1.2016806722689077,0.023668639053254434,1.307692307692308
13,"frozenset({'DN', 'Mahmudullah', 'Imrul Kayes'})",frozenset({'won'}),0.19230769230769232,0.5384615384615384,0.1282051282051282,0.6666666666666665,1.238095238095238,0.024654832347140027,1.3846153846153841
14,"frozenset({'Mashrafe Mortaza', 'DN', 'Imrul Kayes'})",frozenset({'won'}),0.1794871794871795,0.5384615384615384,0.1282051282051282,0.7142857142857142,1.3265306122448979,0.031558185404339245,1.615384615384615
15,"frozenset({'DN', 'Imrul Kayes', 'Mushfiqur Rahim'})",frozenset({'won'}),0.19230769230769232,0.5384615384615384,0.1282051282051282,0.6666666666666665,1.238095238095238,0.024654832347140027,1.3846153846153841
16,"frozenset({'DN', 'Mahmudullah', 'Liton Das'})",frozenset({'won'}),0.2564102564102564,0.5384615384615384,0.19230769230769232,0.7500000000000001,1.3928571428571432,0.054240631163708114,1.8461538461538471
17,"frozenset({'Mashrafe Mortaza', 'DN', 'Liton Das'})",frozenset({'won'}),0.2948717948717949,0.5384615384615384,0.21794871794871795,0.7391304347826086,1.3726708074534162,0.05917159763313609,1.769230769230769
18,"frozenset({'DN', 'Liton Das', 'Mehidy Hasan Miraz'})",frozenset({'won'}),0.16666666666666666,0.5384615384615384,0.11538461538461539,0.6923076923076924,1.285714285714286,0.02564102564102566,1.5000000000000004
19,"frozenset({'DN', 'Liton Das', 'Mohammad Mithun'})",frozenset({'won'}),0.15384615384615385,0.5384615384615384,0.11538461538461539,0.75,1.392857142857143,0.03254437869822485,1.8461538461538463
20,"frozenset({'DN', 'Liton Das', 'Mushfiqur Rahim'})",frozenset({'won'}),0.2692307692307692,0.5384615384615384,0.20512820512820512,0.7619047619047619,1.4149659863945578,0.0601577909270217,1.9384615384615382
21,"frozenset({'Mustafizur Rahman', 'DN', 'Liton Das'})",frozenset({'won'}),0.2564102564102564,0.5384615384615384,0.19230769230769232,0.7500000000000001,1.3928571428571432,0.054240631163708114,1.8461538461538471
22,"frozenset({'DN', 'Liton Das', 'Shakib Al Hasan'})",frozenset({'won'}),0.1794871794871795,0.5384615384615384,0.11538461538461539,0.6428571428571429,1.1938775510204083,0.018737672583826442,1.2923076923076926
23,"frozenset({'Tamim Iqbal', 'DN', 'Liton Das'})",frozenset({'won'}),0.21794871794871795,0.5384615384615384,0.16666666666666666,0.7647058823529411,1.4201680672268908,0.04930966469428007,1.9615384615384612
