,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'JJ Bumrah', 'DN', 'AM Rahane'})",frozenset({'won'}),0.13392857142857142,0.6607142857142857,0.10714285714285714,0.7999999999999999,1.2108108108108107,0.018654336734693883,1.696428571428571
1,"frozenset({'AT Rayudu', 'MS Dhoni', 'DN'})",frozenset({'won'}),0.16071428571428573,0.6607142857142857,0.11607142857142858,0.7222222222222222,1.093093093093093,0.009885204081632654,1.2214285714285715
2,"frozenset({'AT Rayudu', 'DN', 'RG Sharma'})",frozenset({'won'}),0.16964285714285715,0.6607142857142857,0.125,0.7368421052631579,1.1152204836415363,0.012914540816326522,1.2892857142857141
3,"frozenset({'AT Rayudu', 'S Dhawan', 'DN'})",frozenset({'won'}),0.17857142857142858,0.6607142857142857,0.125,0.7,1.0594594594594595,0.0070153061224489804,1.130952380952381
4,"frozenset({'B Kumar', 'HH Pandya', 'DN'})",frozenset({'won'}),0.20535714285714285,0.6607142857142857,0.16071428571428573,0.782608695652174,1.1844888366627497,0.025031887755102067,1.560714285714286
5,"frozenset({'JJ Bumrah', 'B Kumar', 'DN'})",frozenset({'won'}),0.25,0.6607142857142857,0.1875,0.75,1.135135135135135,0.022321428571428575,1.3571428571428572
6,"frozenset({'B Kumar', 'DN', 'KM Jadhav'})",frozenset({'won'}),0.25,0.6607142857142857,0.20535714285714285,0.8214285714285714,1.2432432432432432,0.040178571428571425,1.8999999999999997
7,"frozenset({'B Kumar', 'Kuldeep Yadav', 'DN'})",frozenset({'won'}),0.23214285714285715,0.6607142857142857,0.16071428571428573,0.6923076923076923,1.0478170478170479,0.0073341836734693855,1.1026785714285714
8,"frozenset({'B Kumar', 'MS Dhoni', 'DN'})",frozenset({'won'}),0.36607142857142855,0.6607142857142857,0.25,0.6829268292682927,1.0336189848384971,0.008131377551020419,1.0700549450549453
9,"frozenset({'B Kumar', 'DN', 'RG Sharma'})",frozenset({'won'}),0.375,0.6607142857142857,0.25,0.6666666666666666,1.009009009009009,0.002232142857142849,1.0178571428571428
