Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,AM Rahane,AM Rahane3,V Kohli,V Kohli4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,AR Patel,AR Patel7,R Ashwin,R Ashwin8,B Kumar,B Kumar9,Mohammed Shami,Mohammed Shami*,UT Yadav,UT Yadav#
lost,AM Rahane,AM Rahane1,S Dhawan,S Dhawan2,AT Rayudu,AT Rayudu3,V Kohli,V Kohli4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,STR Binny,STR Binny7,AR Patel,AR Patel8,B Kumar,B Kumar9,Mohammed Shami,Mohammed Shami*,UT Yadav,UT Yadav#
lost,AM Rahane,AM Rahane1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,SK Raina,SK Raina4,AT Rayudu,AT Rayudu5,MS Dhoni,MS Dhoni6,STR Binny,STR Binny7,RA Jadeja,RA Jadeja8,AR Patel,AR Patel9,MM Sharma,MM Sharma*,Mohammed Shami,Mohammed Shami#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,SK Raina,SK Raina4,MS Dhoni,MS Dhoni5,RA Jadeja,RA Jadeja6,AM Rahane,AM Rahane7,R Ashwin,R Ashwin8,Mohammed Shami,Mohammed Shami9,UT Yadav,UT Yadav*,MM Sharma,MM Sharma#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,R Ashwin,R Ashwin8,Mohammed Shami,Mohammed Shami9,UT Yadav,UT Yadav*,MM Sharma,MM Sharma#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,R Ashwin,R Ashwin8,MM Sharma,MM Sharma9,Mohammed Shami,Mohammed Shami*,UT Yadav,UT Yadav#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,R Ashwin,R Ashwin8,Mohammed Shami,Mohammed Shami9,MM Sharma,MM Sharma*,UT Yadav,UT Yadav#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,R Ashwin,R Ashwin8,MM Sharma,MM Sharma9,Mohammed Shami,Mohammed Shami*,UT Yadav,UT Yadav#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,R Ashwin,R Ashwin8,Mohammed Shami,Mohammed Shami9,MM Sharma,MM Sharma*,UT Yadav,UT Yadav#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,R Ashwin,R Ashwin8,Mohammed Shami,Mohammed Shami9,MM Sharma,MM Sharma*,UT Yadav,UT Yadav#
