Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,GC Wilson,GC Wilson4,NJ O'Brien,NJ O'Brien5,KJ O'Brien,KJ O'Brien6,A Balbirnie,A Balbirnie7,JF Mooney,JF Mooney8,AR Cusack,AR Cusack9,CA Young,CA Young10,GH Dockrell,GH Dockrell11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,NJ O'Brien,NJ O'Brien4,GC Wilson,GC Wilson5,KJ O'Brien,KJ O'Brien6,A Balbirnie,A Balbirnie7,JF Mooney,JF Mooney8,AR Cusack,AR Cusack9,GH Dockrell,GH Dockrell10,CA Young,CA Young11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,GC Wilson,GC Wilson6,KJ O'Brien,KJ O'Brien7,JF Mooney,JF Mooney8,MC Sorensen,MC Sorensen9,GH Dockrell,GH Dockrell10,AR McBrine,AR McBrine11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,GC Wilson,GC Wilson6,KJ O'Brien,KJ O'Brien7,JF Mooney,JF Mooney8,GH Dockrell,GH Dockrell9,MC Sorensen,MC Sorensen10,AR McBrine,AR McBrine11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,A Balbirnie,A Balbirnie4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,JF Mooney,JF Mooney7,NJ O'Brien,NJ O'Brien8,GH Dockrell,GH Dockrell9,AR Cusack,AR Cusack10,AR McBrine,AR McBrine11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,KJ O'Brien,KJ O'Brien6,GC Wilson,GC Wilson7,SR Thompson,SR Thompson8,JF Mooney,JF Mooney9,GH Dockrell,GH Dockrell10,AR Cusack,AR Cusack11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,GC Wilson,GC Wilson6,KJ O'Brien,KJ O'Brien7,SR Thompson,SR Thompson8,JF Mooney,JF Mooney9,GH Dockrell,GH Dockrell10,AR Cusack,AR Cusack11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,GC Wilson,GC Wilson6,SR Thompson,SR Thompson7,JF Mooney,JF Mooney8,AR McBrine,AR McBrine9,TJ Murtagh,TJ Murtagh10,CA Young,CA Young11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,A Balbirnie,A Balbirnie4,GC Wilson,GC Wilson5,KJ O'Brien,KJ O'Brien6,SR Thompson,SR Thompson7,JF Mooney,JF Mooney8,GH Dockrell,GH Dockrell9,AR McBrine,AR McBrine10,TJ Murtagh,TJ Murtagh11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,GC Wilson,GC Wilson6,KJ O'Brien,KJ O'Brien7,JF Mooney,JF Mooney8,GH Dockrell,GH Dockrell9,AR McBrine,AR McBrine10,TJ Murtagh,TJ Murtagh11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,A Balbirnie,A Balbirnie4,NJ O'Brien,NJ O'Brien5,GC Wilson,GC Wilson6,KJ O'Brien,KJ O'Brien7,GH Dockrell,GH Dockrell8,AR McBrine,AR McBrine9,TJ Murtagh,TJ Murtagh10,CA Young,CA Young11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,J Anderson,J Anderson4,KJ O'Brien,KJ O'Brien5,SW Poynter,SW Poynter6,GC Wilson,GC Wilson7,MC Sorensen,MC Sorensen8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,J Anderson,J Anderson4,KJ O'Brien,KJ O'Brien5,SW Poynter,SW Poynter6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
lost,WTS Porterfield,WTS Porterfield1,EC Joyce,EC Joyce2,J Anderson,J Anderson3,SW Poynter,SW Poynter4,KJ O'Brien,KJ O'Brien5,PR Stirling,PR Stirling6,AR McBrine,AR McBrine7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
won,WTS Porterfield,WTS Porterfield1,EC Joyce,EC Joyce2,SP Terry,SP Terry3,SW Poynter,SW Poynter4,KJ O'Brien,KJ O'Brien5,PR Stirling,PR Stirling6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
lost,WTS Porterfield,WTS Porterfield1,EC Joyce,EC Joyce2,SP Terry,SP Terry3,SW Poynter,SW Poynter4,KJ O'Brien,KJ O'Brien5,PR Stirling,PR Stirling6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
won,WTS Porterfield,WTS Porterfield1,EC Joyce,EC Joyce2,SP Terry,SP Terry3,GC Wilson,GC Wilson4,KJ O'Brien,KJ O'Brien5,PR Stirling,PR Stirling6,SW Poynter,SW Poynter7,AR McBrine,AR McBrine8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,EC Joyce,EC Joyce3,J Anderson,J Anderson4,KJ O'Brien,KJ O'Brien5,SW Poynter,SW Poynter6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,J Anderson,J Anderson3,GC Wilson,GC Wilson4,KJ O'Brien,KJ O'Brien5,SP Terry,SP Terry6,SW Poynter,SW Poynter7,GH Dockrell,GH Dockrell8,TJ Murtagh,TJ Murtagh9,CA Young,CA Young10,PKD Chase,PKD Chase11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,J Anderson,J Anderson3,GC Wilson,GC Wilson4,KJ O'Brien,KJ O'Brien5,SP Terry,SP Terry6,SW Poynter,SW Poynter7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
lost,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,NJ O'Brien,NJ O'Brien4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,SR Thompson,SR Thompson7,GH Dockrell,GH Dockrell8,TJ Murtagh,TJ Murtagh9,J Mulder,J Mulder10,PKD Chase,PKD Chase11
