,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'D'}),frozenset({'won'}),0.40425531914893614,0.46808510638297873,0.22340425531914893,0.5526315789473685,1.180622009569378,0.03417836124943413,1.1889862327909888
1,"frozenset({'Babar Azam', 'D'})",frozenset({'won'}),0.3617021276595745,0.46808510638297873,0.20212765957446807,0.5588235294117646,1.193850267379679,0.03282028066998638,1.205673758865248
2,"frozenset({'D', 'Fakhar Zaman'})",frozenset({'won'}),0.24468085106382978,0.46808510638297873,0.14893617021276595,0.6086956521739131,1.300395256916996,0.03440470801267541,1.3593380614657211
3,"frozenset({'Hasan Ali', 'D'})",frozenset({'won'}),0.24468085106382978,0.46808510638297873,0.11702127659574468,0.4782608695652174,1.0217391304347827,0.0024898143956541413,1.0195035460992907
4,"frozenset({'Imad Wasim', 'D'})",frozenset({'won'}),0.23404255319148937,0.46808510638297873,0.14893617021276595,0.6363636363636364,1.359504132231405,0.03938433680398369,1.4627659574468084
5,"frozenset({'Imam-ul-Haq', 'D'})",frozenset({'won'}),0.18085106382978725,0.46808510638297873,0.11702127659574468,0.6470588235294117,1.3823529411764703,0.03236758714350384,1.50709219858156
6,"frozenset({'Mohammad Amir', 'D'})",frozenset({'won'}),0.26595744680851063,0.46808510638297873,0.14893617021276595,0.5599999999999999,1.1963636363636363,0.024445450430058843,1.20889748549323
7,"frozenset({'Mohammad Hafeez', 'D'})",frozenset({'won'}),0.2978723404255319,0.46808510638297873,0.1595744680851064,0.5357142857142858,1.1444805194805197,0.020144861928474422,1.1456628477905075
8,"frozenset({'Sarfaraz Ahmed', 'D'})",frozenset({'won'}),0.3829787234042553,0.46808510638297873,0.2127659574468085,0.5555555555555556,1.1868686868686869,0.03349932095971028,1.196808510638298
9,"frozenset({'Shadab Khan', 'D'})",frozenset({'won'}),0.2553191489361702,0.46808510638297873,0.1595744680851064,0.6250000000000001,1.335227272727273,0.04006337709370758,1.4184397163120572
10,"frozenset({'Shoaib Malik', 'D'})",frozenset({'won'}),0.30851063829787234,0.46808510638297873,0.18085106382978725,0.5862068965517242,1.2523510971786835,0.036441828881846994,1.2854609929078016
11,"frozenset({'Babar Azam', 'D', 'Fakhar Zaman'})",frozenset({'won'}),0.24468085106382978,0.46808510638297873,0.14893617021276595,0.6086956521739131,1.300395256916996,0.03440470801267541,1.3593380614657211
