Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,HM Amla,HM Amla1,RR Rossouw,RR Rossouw2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,VD Philander,VD Philander8,DW Steyn,DW Steyn9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,RR Rossouw,RR Rossouw2,AB de Villiers,AB de Villiers3,DA Miller,DA Miller4,F du Plessis,F du Plessis5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,VD Philander,VD Philander8,DW Steyn,DW Steyn9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,RR Rossouw,RR Rossouw1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,F Behardien,F Behardien7,VD Philander,VD Philander8,DW Steyn,DW Steyn9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
lost,MN van Wyk,MN van Wyk1,RR Rossouw,RR Rossouw2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,WD Parnell,WD Parnell8,AM Phangiso,AM Phangiso9,KJ Abbott,KJ Abbott10,M Morkel,M Morkel11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,WD Parnell,WD Parnell8,AM Phangiso,AM Phangiso9,KJ Abbott,KJ Abbott10,M de Lange,M de Lange11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,VD Philander,VD Philander8,DW Steyn,DW Steyn9,Imran Tahir,Imran Tahir10,M Morkel,M Morkel11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,WD Parnell,WD Parnell7,VD Philander,VD Philander8,DW Steyn,DW Steyn9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,F Behardien,F Behardien7,DW Steyn,DW Steyn8,KJ Abbott,KJ Abbott9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,RR Rossouw,RR Rossouw6,F Behardien,F Behardien7,DW Steyn,DW Steyn8,KJ Abbott,KJ Abbott9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,JP Duminy,JP Duminy7,DW Steyn,DW Steyn8,KJ Abbott,KJ Abbott9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,JP Duminy,JP Duminy7,DW Steyn,DW Steyn8,KJ Abbott,KJ Abbott9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,JP Duminy,JP Duminy7,VD Philander,VD Philander8,DW Steyn,DW Steyn9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,CH Morris,CH Morris8,KJ Abbott,KJ Abbott9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,CH Morris,CH Morris8,K Rabada,K Rabada9,KJ Abbott,KJ Abbott10,Imran Tahir,Imran Tahir11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,K Rabada,K Rabada8,KJ Abbott,KJ Abbott9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,MN van Wyk,MN van Wyk1,HM Amla,HM Amla2,RR Rossouw,RR Rossouw3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,F Behardien,F Behardien6,D Wiese,D Wiese7,VD Philander,VD Philander8,K Rabada,K Rabada9,DW Steyn,DW Steyn10,Imran Tahir,Imran Tahir11
lost,HM Amla,HM Amla1,MN van Wyk,MN van Wyk2,RR Rossouw,RR Rossouw3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,F Behardien,F Behardien6,D Wiese,D Wiese7,VD Philander,VD Philander8,AM Phangiso,AM Phangiso9,DW Steyn,DW Steyn10,Imran Tahir,Imran Tahir11
won,MN van Wyk,MN van Wyk1,HM Amla,HM Amla2,RR Rossouw,RR Rossouw3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,F Behardien,F Behardien6,D Wiese,D Wiese7,KJ Abbott,KJ Abbott8,DW Steyn,DW Steyn9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,F Behardien,F Behardien7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,M Morkel,M Morkel11
won,Q de Kock,Q de Kock1,DA Miller,DA Miller2,HM Amla,HM Amla3,F du Plessis,F du Plessis4,AB de Villiers,AB de Villiers5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,M Morkel,M Morkel11
