Day_Night,Result,Home,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
DN,lost,0,2,lost,v South Africa,DJG Sammy,DR Smith,MN Samuels,CH Gayle,AD Russell,LR Johnson,D Ramdin,JO Holder,SJ Benn,JL Carter,JE Taylor
D,lost,0,2,won,v South Africa,DJG Sammy,DR Smith,MN Samuels,CH Gayle,AD Russell,LR Johnson,D Ramdin,JO Holder,SJ Benn,JL Carter,JE Taylor
DN,lost,0,1,won,v South Africa,N Deonarine,DR Smith,MN Samuels,CH Gayle,AD Russell,CR Brathwaite,D Ramdin,JO Holder,SJ Benn,JL Carter,JE Taylor
DN,won,0,2,won,v South Africa,LR Johnson,DR Smith,MN Samuels,CH Gayle,AD Russell,CR Brathwaite,D Ramdin,JO Holder,SS Cottrell,JL Carter,DJG Sammy
DN,lost,0,2,won,v South Africa,N Deonarine,DR Smith,MN Samuels,CH Gayle,AD Russell,CR Brathwaite,D Ramdin,JO Holder,SS Cottrell,JL Carter,JE Taylor
D,lost,0,1,lost,v Ireland,DM Bravo,DR Smith,MN Samuels,CH Gayle,AD Russell,LMP Simmons,D Ramdin,JO Holder,DJG Sammy,KAJ Roach,JE Taylor
D,won,0,1,lost,v Pakistan,DM Bravo,DR Smith,MN Samuels,CH Gayle,AD Russell,LMP Simmons,D Ramdin,JO Holder,DJG Sammy,SJ Benn,JE Taylor
DN,won,0,1,won,v Zimbabwe,NO Miller,DR Smith,MN Samuels,CH Gayle,AD Russell,LMP Simmons,D Ramdin,JO Holder,DJG Sammy,JL Carter,JE Taylor
DN,lost,0,2,lost,v South Africa,SJ Benn,DR Smith,MN Samuels,CH Gayle,AD Russell,LMP Simmons,D Ramdin,JO Holder,DJG Sammy,JL Carter,JE Taylor
DN,lost,0,1,won,v India,KAJ Roach,DR Smith,MN Samuels,CH Gayle,AD Russell,LMP Simmons,D Ramdin,JO Holder,DJG Sammy,JL Carter,JE Taylor
DN,lost,0,2,lost,v New Zealand,J Charles,SJ Benn,MN Samuels,CH Gayle,AD Russell,LMP Simmons,D Ramdin,JO Holder,DJG Sammy,JL Carter,JE Taylor
DN,lost,0,1,lost,v Sri Lanka,ADS Fletcher,J Charles,MN Samuels,DM Bravo,AD Russell,CR Brathwaite,D Ramdin,JO Holder,SP Narine,JL Carter,JE Taylor
DN,lost,0,1,won,v Sri Lanka,ADS Fletcher,J Charles,MN Samuels,DM Bravo,J Blackwood,CR Brathwaite,JN Mohammed,R Rampaul,SP Narine,JL Carter,JE Taylor
DN,lost,0,1,lost,v Sri Lanka,ADS Fletcher,J Charles,MN Samuels,DM Bravo,J Blackwood,CR Brathwaite,JO Holder,R Rampaul,SP Narine,JL Carter,JE Taylor
DN,won,1,2,lost,v South Africa,ADS Fletcher,J Charles,MN Samuels,DM Bravo,KA Pollard,CR Brathwaite,D Ramdin,JO Holder,SP Narine,SJ Benn,JE Taylor
DN,lost,1,1,lost,v Australia,ADS Fletcher,J Charles,MN Samuels,DM Bravo,KA Pollard,CR Brathwaite,D Ramdin,JO Holder,SP Narine,SJ Benn,JE Taylor
DN,won,1,2,won,v Australia,ADS Fletcher,J Charles,MN Samuels,DM Bravo,KA Pollard,CR Brathwaite,D Ramdin,JO Holder,SP Narine,SJ Benn,JE Taylor
