Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,DJG Sammy,DJG Sammy1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,LR Johnson,LR Johnson6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,SJ Benn,SJ Benn9,JL Carter,JL Carter10,JE Taylor,JE Taylor11
lost,DJG Sammy,DJG Sammy1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,LR Johnson,LR Johnson6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,SJ Benn,SJ Benn9,JL Carter,JL Carter10,JE Taylor,JE Taylor11
lost,N Deonarine,N Deonarine1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,CR Brathwaite,CR Brathwaite6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,SJ Benn,SJ Benn9,JL Carter,JL Carter10,JE Taylor,JE Taylor11
won,LR Johnson,LR Johnson1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,CR Brathwaite,CR Brathwaite6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,SS Cottrell,SS Cottrell9,JL Carter,JL Carter10,DJG Sammy,DJG Sammy11
lost,N Deonarine,N Deonarine1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,CR Brathwaite,CR Brathwaite6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,SS Cottrell,SS Cottrell9,JL Carter,JL Carter10,JE Taylor,JE Taylor11
lost,DM Bravo,DM Bravo1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,LMP Simmons,LMP Simmons6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,DJG Sammy,DJG Sammy9,KAJ Roach,KAJ Roach10,JE Taylor,JE Taylor11
won,DM Bravo,DM Bravo1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,LMP Simmons,LMP Simmons6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,DJG Sammy,DJG Sammy9,SJ Benn,SJ Benn10,JE Taylor,JE Taylor11
won,NO Miller,NO Miller1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,LMP Simmons,LMP Simmons6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,DJG Sammy,DJG Sammy9,JL Carter,JL Carter10,JE Taylor,JE Taylor11
lost,SJ Benn,SJ Benn1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,LMP Simmons,LMP Simmons6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,DJG Sammy,DJG Sammy9,JL Carter,JL Carter10,JE Taylor,JE Taylor11
lost,KAJ Roach,KAJ Roach1,DR Smith,DR Smith2,MN Samuels,MN Samuels3,CH Gayle,CH Gayle4,AD Russell,AD Russell5,LMP Simmons,LMP Simmons6,D Ramdin,D Ramdin7,JO Holder,JO Holder8,DJG Sammy,DJG Sammy9,JL Carter,JL Carter10,JE Taylor,JE Taylor11
