,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
3310,"frozenset({'N Pooran5', 'E Lewis2'})",frozenset({'won'}),0.0989010989010989,0.3076923076923077,0.07692307692307693,0.7777777777777779,2.527777777777778,0.04649196956889265,3.115384615384617
3328,"frozenset({'E Lewis2', 'SD Hope1'})",frozenset({'won'}),0.06593406593406594,0.3076923076923077,0.06593406593406594,1.0,3.25,0.04564666103127642,inf
13621,"frozenset({'N Pooran5', 'E Lewis2', 'SD Hope1'})",frozenset({'won'}),0.06593406593406594,0.3076923076923077,0.06593406593406594,1.0,3.25,0.04564666103127642,inf
4112,"frozenset({'N Pooran5', 'SD Hope1'})",frozenset({'won'}),0.08791208791208792,0.3076923076923077,0.06593406593406594,0.75,2.4375,0.03888419273034657,2.769230769230769
4190,"frozenset({'SD Hope1', 'SO Hetmyer3'})",frozenset({'won'}),0.054945054945054944,0.3076923076923077,0.054945054945054944,1.0,3.25,0.03803888419273034,inf
14569,"frozenset({'KA Pollard6', 'SD Hope1', 'SO Hetmyer3'})",frozenset({'won'}),0.054945054945054944,0.3076923076923077,0.054945054945054944,1.0,3.25,0.03803888419273034,inf
3352,"frozenset({'E Lewis2', 'SO Hetmyer3'})",frozenset({'won'}),0.06593406593406594,0.3076923076923077,0.054945054945054944,0.8333333333333333,2.708333333333333,0.034657650042265425,4.1538461538461515
4056,"frozenset({'KA Pollard6', 'SO Hetmyer3'})",frozenset({'won'}),0.06593406593406594,0.3076923076923077,0.054945054945054944,0.8333333333333333,2.708333333333333,0.034657650042265425,4.1538461538461515
4050,"frozenset({'KA Pollard6', 'SD Hope1'})",frozenset({'won'}),0.07692307692307693,0.3076923076923077,0.054945054945054944,0.7142857142857142,2.321428571428571,0.0312764158918005,2.423076923076922
3948,"frozenset({'JO Holder8', 'SJ Benn10'})",frozenset({'won'}),0.13186813186813187,0.3076923076923077,0.054945054945054944,0.41666666666666663,1.3541666666666665,0.014370245139475907,1.1868131868131868
1385,"frozenset({'JO Holder6', 'AR Nurse8'})",frozenset({'won'}),0.17582417582417584,0.3076923076923077,0.054945054945054944,0.31249999999999994,1.0156249999999998,0.0008453085376162184,1.0069930069930069
