,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2818,"frozenset({'SD Hope', 'SO Hetmyer'})",frozenset({'won'}),0.4175824175824176,0.3076923076923077,0.16483516483516483,0.39473684210526316,1.2828947368421053,0.03634826711749786,1.1438127090301002
2098,"frozenset({'SD Hope', 'E Lewis'})",frozenset({'won'}),0.46153846153846156,0.3076923076923077,0.15384615384615385,0.3333333333333333,1.0833333333333333,0.011834319526627224,1.0384615384615383
1020,"frozenset({'AS Joseph', 'SD Hope'})",frozenset({'won'}),0.26373626373626374,0.3076923076923077,0.12087912087912088,0.4583333333333333,1.4895833333333333,0.039729501267962805,1.2781065088757395
2802,"frozenset({'SD Hope', 'RL Chase'})",frozenset({'won'}),0.2967032967032967,0.3076923076923077,0.12087912087912088,0.4074074074074074,1.324074074074074,0.029585798816568046,1.1682692307692308
2834,"frozenset({'SD Hope', 'SS Cottrell'})",frozenset({'won'}),0.31868131868131866,0.3076923076923077,0.12087912087912088,0.37931034482758624,1.2327586206896552,0.022823330515638215,1.1153846153846154
2481,"frozenset({'SO Hetmyer', 'JO Holder'})",frozenset({'won'}),0.3516483516483517,0.3076923076923077,0.12087912087912088,0.34375,1.1171875,0.012679628064243428,1.054945054945055
8082,"frozenset({'SO Hetmyer', 'SD Hope', 'JO Holder'})",frozenset({'won'}),0.3516483516483517,0.3076923076923077,0.12087912087912088,0.34375,1.1171875,0.012679628064243428,1.054945054945055
4621,"frozenset({'AS Joseph', 'E Lewis', 'SD Hope'})",frozenset({'won'}),0.2087912087912088,0.3076923076923077,0.10989010989010989,0.5263157894736842,1.7105263157894735,0.0456466610312764,1.4615384615384615
928,"frozenset({'AS Joseph', 'E Lewis'})",frozenset({'won'}),0.21978021978021978,0.3076923076923077,0.10989010989010989,0.5,1.625,0.04226542688081149,1.3846153846153846
2493,"frozenset({'SS Cottrell', 'JO Holder'})",frozenset({'won'}),0.31868131868131866,0.3076923076923077,0.10989010989010989,0.3448275862068966,1.1206896551724137,0.011834319526627224,1.05668016194332
