,player-1,player-2,avg
0,AM Rahane,S Dhawan,77.93333333333334
1,AM Rahane,SK Raina,64.1875
2,AM Rahane,MA Agarwal,0.0
3,AM Rahane,RV Uthappa,52.0
4,AM Rahane,M Vijay,66.0
5,AM Rahane,B Kumar,39.73076923076923
6,AM Rahane,Yuvraj Singh,91.33333333333333
7,AM Rahane,Gurkeerat Singh,32.5
8,V Kohli,AM Rahane,93.21428571428571
9,AM Rahane,SS Iyer,32.666666666666664
10,AM Rahane,R Ashwin,40.0
11,AM Rahane,J Yadav,21.0
12,AM Rahane,YS Chahal,29.90909090909091
13,AM Rahane,KK Nair,0.0
14,AM Rahane,MK Tiwary,48.666666666666664
15,AM Rahane,MK Pandey,54.857142857142854
16,AM Rahane,Mohammed Siraj,0.0
17,AM Rahane,KM Jadhav,65.45454545454545
18,AM Rahane,UT Yadav,39.19230769230769
19,AM Rahane,Kuldeep Yadav,40.93333333333333
20,AM Rahane,RG Sharma,80.71428571428571
21,AM Rahane,STR Binny,75.16666666666667
22,AM Rahane,BB Sran,46.333333333333336
23,AM Rahane,SN Thakur,19.5
24,AM Rahane,S Kaul,0.0
25,AM Rahane,NA Saini,0.0
26,KL Rahul,AM Rahane,12.0
27,AM Rahane,PP Shaw,0.0
28,AM Rahane,A Mishra,39.77777777777778
29,AM Rahane,R Dhawan,32.0
30,KD Karthik,AM Rahane,75.5
31,AM Rahane,JJ Bumrah,27.0625
32,AM Rahane,Mohammed Shami,40.07692307692308
33,AM Rahane,MM Sharma,36.42857142857143
34,AM Rahane,Washington Sundar,0.0
35,AM Rahane,RR Pant,0.0
36,AM Rahane,DS Kulkarni,59.666666666666664
37,AM Rahane,HH Pandya,57.75
38,AM Rahane,Harbhajan Singh,49.42857142857143
39,AM Rahane,DL Chahar,0.0
40,AM Rahane,KK Ahmed,0.0
41,AM Rahane,Shubman Gill,0.0
42,AM Rahane,MS Dhoni,62.80952380952381
43,AM Rahane,AT Rayudu,100.75
44,AM Rahane,FY Fazal,0.0
45,AM Rahane,V Shankar,0.0
46,AM Rahane,I Sharma,47.0
47,AM Rahane,RA Jadeja,43.1875
48,AM Rahane,AR Patel,47.0
49,AM Rahane,S Dube,0.0
50,S Dhawan,SK Raina,67.0
51,S Dhawan,MA Agarwal,0.0
52,S Dhawan,RV Uthappa,0.0
53,M Vijay,S Dhawan,0.0
54,S Dhawan,B Kumar,49.4
55,S Dhawan,Yuvraj Singh,82.0
56,S Dhawan,Gurkeerat Singh,95.0
57,V Kohli,S Dhawan,99.98611111111111
58,S Dhawan,SS Iyer,85.27272727272727
59,S Dhawan,R Ashwin,42.04761904761905
60,S Dhawan,J Yadav,0.0
61,S Dhawan,YS Chahal,49.705882352941174
62,S Dhawan,KK Nair,0.0
63,S Dhawan,MK Tiwary,0.0
64,S Dhawan,MK Pandey,59.22222222222222
65,S Dhawan,Mohammed Siraj,32.0
66,S Dhawan,KM Jadhav,56.292682926829265
67,S Dhawan,UT Yadav,42.67857142857143
68,Kuldeep Yadav,S Dhawan,41.951219512195124
69,S Dhawan,RG Sharma,100.94520547945206
70,S Dhawan,STR Binny,51.75
71,S Dhawan,BB Sran,27.666666666666668
72,S Dhawan,SN Thakur,43.75
73,S Dhawan,S Kaul,38.5
74,S Dhawan,NA Saini,48.0
75,KL Rahul,S Dhawan,69.64285714285714
76,S Dhawan,PP Shaw,0.0
77,S Dhawan,A Mishra,26.75
78,S Dhawan,R Dhawan,94.66666666666667
79,KD Karthik,S Dhawan,53.94444444444444
80,JJ Bumrah,S Dhawan,48.146341463414636
81,S Dhawan,Mohammed Shami,34.13793103448276
82,S Dhawan,MM Sharma,45.15384615384615
83,S Dhawan,Washington Sundar,68.0
84,S Dhawan,RR Pant,61.42857142857143
85,S Dhawan,DS Kulkarni,65.0
86,S Dhawan,HH Pandya,55.69444444444444
87,S Dhawan,Harbhajan Singh,36.25
88,S Dhawan,DL Chahar,0.0
89,S Dhawan,KK Ahmed,17.75
90,S Dhawan,Shubman Gill,17.5
91,S Dhawan,MS Dhoni,69.26388888888889
92,S Dhawan,AT Rayudu,56.13636363636363
93,S Dhawan,FY Fazal,0.0
94,S Dhawan,V Shankar,56.888888888888886
95,S Dhawan,I Sharma,69.5
96,S Dhawan,RA Jadeja,48.476190476190474
97,S Dhawan,AR Patel,39.86666666666667
98,S Dhawan,S Dube,0.0
99,SK Raina,MA Agarwal,0.0
100,SK Raina,RV Uthappa,0.0
101,M Vijay,SK Raina,0.0
102,SK Raina,B Kumar,26.5
103,SK Raina,Yuvraj Singh,0.0
104,SK Raina,Gurkeerat Singh,0.0
105,V Kohli,SK Raina,63.904761904761905
106,SK Raina,SS Iyer,0.0
107,SK Raina,R Ashwin,41.5
108,SK Raina,J Yadav,0.0
109,SK Raina,YS Chahal,19.666666666666668
110,SK Raina,KK Nair,0.0
111,SK Raina,MK Tiwary,0.0
112,SK Raina,MK Pandey,0.0
113,SK Raina,Mohammed Siraj,0.0
114,SK Raina,KM Jadhav,0.0
115,SK Raina,UT Yadav,31.266666666666666
116,Kuldeep Yadav,SK Raina,18.333333333333332
117,SK Raina,RG Sharma,77.57894736842105
118,SK Raina,STR Binny,28.25
119,SK Raina,BB Sran,0.0
120,SK Raina,SN Thakur,23.0
121,SK Raina,S Kaul,23.5
122,SK Raina,NA Saini,0.0
123,KL Rahul,SK Raina,27.5
124,SK Raina,PP Shaw,0.0
125,SK Raina,A Mishra,18.0
126,SK Raina,R Dhawan,0.0
127,KD Karthik,SK Raina,22.0
128,JJ Bumrah,SK Raina,0.0
129,SK Raina,Mohammed Shami,37.3
130,SK Raina,MM Sharma,31.384615384615383
131,SK Raina,Washington Sundar,0.0
132,SK Raina,RR Pant,0.0
133,SK Raina,DS Kulkarni,37.0
134,SK Raina,HH Pandya,29.666666666666668
135,SK Raina,Harbhajan Singh,26.75
136,SK Raina,DL Chahar,0.0
137,SK Raina,KK Ahmed,0.0
138,SK Raina,Shubman Gill,0.0
139,SK Raina,MS Dhoni,61.095238095238095
140,SK Raina,AT Rayudu,38.25
141,SK Raina,FY Fazal,0.0
142,SK Raina,V Shankar,0.0
143,SK Raina,I Sharma,0.0
144,SK Raina,RA Jadeja,47.2
145,SK Raina,AR Patel,26.444444444444443
146,SK Raina,S Dube,0.0
147,MA Agarwal,RV Uthappa,0.0
148,M Vijay,MA Agarwal,0.0
149,B Kumar,MA Agarwal,0.0
150,MA Agarwal,Yuvraj Singh,0.0
151,MA Agarwal,Gurkeerat Singh,0.0
152,V Kohli,MA Agarwal,37.0
153,SS Iyer,MA Agarwal,84.33333333333333
154,R Ashwin,MA Agarwal,0.0
155,MA Agarwal,J Yadav,0.0
156,YS Chahal,MA Agarwal,7.0
157,MA Agarwal,KK Nair,0.0
158,MA Agarwal,MK Tiwary,0.0
159,MA Agarwal,MK Pandey,43.0
160,MA Agarwal,Mohammed Siraj,0.0
161,MA Agarwal,KM Jadhav,35.0
162,MA Agarwal,UT Yadav,0.0
163,Kuldeep Yadav,MA Agarwal,32.0
164,RG Sharma,MA Agarwal,0.0
165,STR Binny,MA Agarwal,0.0
166,MA Agarwal,BB Sran,0.0
167,SN Thakur,MA Agarwal,20.333333333333332
168,S Kaul,MA Agarwal,0.0
169,MA Agarwal,NA Saini,28.5
170,KL Rahul,MA Agarwal,80.0
171,MA Agarwal,PP Shaw,40.0
172,MA Agarwal,A Mishra,0.0
173,R Dhawan,MA Agarwal,0.0
174,KD Karthik,MA Agarwal,0.0
175,JJ Bumrah,MA Agarwal,12.0
176,Mohammed Shami,MA Agarwal,32.0
177,MM Sharma,MA Agarwal,0.0
178,Washington Sundar,MA Agarwal,0.0
179,RR Pant,MA Agarwal,0.0
180,DS Kulkarni,MA Agarwal,0.0
181,MA Agarwal,HH Pandya,0.0
182,MA Agarwal,Harbhajan Singh,0.0
183,MA Agarwal,DL Chahar,0.0
184,MA Agarwal,KK Ahmed,0.0
185,MA Agarwal,Shubman Gill,0.0
186,MA Agarwal,MS Dhoni,0.0
187,AT Rayudu,MA Agarwal,0.0
188,MA Agarwal,FY Fazal,0.0
189,MA Agarwal,V Shankar,0.0
190,MA Agarwal,I Sharma,0.0
191,RA Jadeja,MA Agarwal,33.0
192,MA Agarwal,AR Patel,0.0
193,MA Agarwal,S Dube,0.0
194,M Vijay,RV Uthappa,43.333333333333336
195,B Kumar,RV Uthappa,14.666666666666666
196,Yuvraj Singh,RV Uthappa,0.0
197,RV Uthappa,Gurkeerat Singh,0.0
198,V Kohli,RV Uthappa,0.0
199,SS Iyer,RV Uthappa,0.0
200,R Ashwin,RV Uthappa,0.0
201,RV Uthappa,J Yadav,0.0
202,YS Chahal,RV Uthappa,0.0
203,KK Nair,RV Uthappa,0.0
204,RV Uthappa,MK Tiwary,26.0
205,RV Uthappa,MK Pandey,102.0
206,RV Uthappa,Mohammed Siraj,0.0
207,RV Uthappa,KM Jadhav,56.666666666666664
208,RV Uthappa,UT Yadav,0.0
209,Kuldeep Yadav,RV Uthappa,0.0
210,RG Sharma,RV Uthappa,0.0
211,STR Binny,RV Uthappa,54.666666666666664
212,RV Uthappa,BB Sran,0.0
213,SN Thakur,RV Uthappa,0.0
214,S Kaul,RV Uthappa,0.0
215,NA Saini,RV Uthappa,0.0
216,KL Rahul,RV Uthappa,0.0
217,PP Shaw,RV Uthappa,0.0
218,A Mishra,RV Uthappa,0.0
219,R Dhawan,RV Uthappa,0.0
220,KD Karthik,RV Uthappa,0.0
221,JJ Bumrah,RV Uthappa,0.0
222,Mohammed Shami,RV Uthappa,0.0
223,MM Sharma,RV Uthappa,31.0
224,Washington Sundar,RV Uthappa,0.0
225,RR Pant,RV Uthappa,0.0
226,DS Kulkarni,RV Uthappa,6.5
227,HH Pandya,RV Uthappa,0.0
228,Harbhajan Singh,RV Uthappa,16.333333333333332
229,RV Uthappa,DL Chahar,0.0
230,KK Ahmed,RV Uthappa,0.0
231,Shubman Gill,RV Uthappa,0.0
232,MS Dhoni,RV Uthappa,0.0
233,AT Rayudu,RV Uthappa,89.0
234,RV Uthappa,FY Fazal,0.0
235,RV Uthappa,V Shankar,0.0
236,RV Uthappa,I Sharma,0.0
237,RA Jadeja,RV Uthappa,0.0
238,RV Uthappa,AR Patel,15.666666666666666
239,RV Uthappa,S Dube,0.0
240,M Vijay,B Kumar,28.666666666666668
241,M Vijay,Yuvraj Singh,0.0
242,M Vijay,Gurkeerat Singh,0.0
243,V Kohli,M Vijay,0.0
244,M Vijay,SS Iyer,0.0
245,M Vijay,R Ashwin,0.0
246,M Vijay,J Yadav,0.0
247,M Vijay,YS Chahal,0.0
248,M Vijay,KK Nair,0.0
249,M Vijay,MK Tiwary,40.0
250,M Vijay,MK Pandey,84.0
251,M Vijay,Mohammed Siraj,0.0
252,M Vijay,KM Jadhav,70.66666666666667
253,M Vijay,UT Yadav,0.0
254,M Vijay,Kuldeep Yadav,0.0
255,M Vijay,RG Sharma,0.0
256,M Vijay,STR Binny,68.66666666666667
257,M Vijay,BB Sran,0.0
258,M Vijay,SN Thakur,0.0
259,M Vijay,S Kaul,0.0
260,M Vijay,NA Saini,0.0
261,KL Rahul,M Vijay,0.0
262,M Vijay,PP Shaw,0.0
263,M Vijay,A Mishra,0.0
264,M Vijay,R Dhawan,0.0
265,KD Karthik,M Vijay,0.0
266,M Vijay,JJ Bumrah,0.0
267,M Vijay,Mohammed Shami,0.0
268,M Vijay,MM Sharma,13.0
