Result,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
lost,RG Sharma,S Dhawan,AM Rahane,V Kohli,SK Raina,MS Dhoni,AR Patel,R Ashwin,B Kumar,Mohammed Shami,UT Yadav
lost,AM Rahane,S Dhawan,AT Rayudu,V Kohli,SK Raina,MS Dhoni,STR Binny,AR Patel,B Kumar,Mohammed Shami,UT Yadav
lost,AM Rahane,S Dhawan,V Kohli,SK Raina,AT Rayudu,MS Dhoni,STR Binny,RA Jadeja,AR Patel,MM Sharma,Mohammed Shami
won,RG Sharma,S Dhawan,V Kohli,SK Raina,MS Dhoni,RA Jadeja,AM Rahane,R Ashwin,Mohammed Shami,UT Yadav,MM Sharma
won,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,Mohammed Shami,UT Yadav,MM Sharma
won,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,MM Sharma,Mohammed Shami,UT Yadav
won,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,Mohammed Shami,MM Sharma,UT Yadav
won,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,MM Sharma,Mohammed Shami,UT Yadav
won,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,Mohammed Shami,MM Sharma,UT Yadav
lost,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,Mohammed Shami,MM Sharma,UT Yadav
lost,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,B Kumar,MM Sharma,UT Yadav
lost,RG Sharma,S Dhawan,V Kohli,MS Dhoni,AT Rayudu,SK Raina,RA Jadeja,AR Patel,R Ashwin,B Kumar,DS Kulkarni
won,RG Sharma,S Dhawan,V Kohli,MS Dhoni,AT Rayudu,SK Raina,STR Binny,AR Patel,R Ashwin,DS Kulkarni,UT Yadav
won,AM Rahane,M Vijay,AT Rayudu,MK Tiwary,RV Uthappa,KM Jadhav,STR Binny,AR Patel,Harbhajan Singh,B Kumar,DS Kulkarni
won,AM Rahane,M Vijay,AT Rayudu,MK Tiwary,RV Uthappa,STR Binny,KM Jadhav,Harbhajan Singh,AR Patel,B Kumar,DS Kulkarni
won,AM Rahane,M Vijay,RV Uthappa,MK Tiwary,MK Pandey,KM Jadhav,STR Binny,Harbhajan Singh,AR Patel,B Kumar,MM Sharma
lost,RG Sharma,S Dhawan,AM Rahane,V Kohli,MS Dhoni,SK Raina,STR Binny,B Kumar,A Mishra,R Ashwin,UT Yadav
won,RG Sharma,S Dhawan,AM Rahane,V Kohli,MS Dhoni,SK Raina,AR Patel,B Kumar,Harbhajan Singh,UT Yadav,MM Sharma
