,player-1,player-2,avg
0,A Nortje,VD Philander,0.0
1,K Rabada,VD Philander,0.0
2,F Behardien,VD Philander,21.833333333333332
3,M Morkel,VD Philander,1.3333333333333333
4,HM Amla,VD Philander,61.125
5,RR Rossouw,VD Philander,56.0
6,L Sipamla,VD Philander,0.0
7,KA Maharaj,VD Philander,0.0
8,VD Philander,C Jonker,0.0
9,VD Philander,KJ Abbott,0.0
10,Imran Tahir,VD Philander,9.0
11,AL Phehlukwayo,VD Philander,0.0
12,D Olivier,VD Philander,0.0
13,DM Dupavillon,VD Philander,0.0
14,F du Plessis,VD Philander,36.0
15,JT Smuts,VD Philander,0.0
16,DA Miller,VD Philander,41.5
17,M de Lange,VD Philander,0.0
18,VD Philander,Q de Kock,9.333333333333334
19,MN van Wyk,VD Philander,24.0
20,T Bavuma,VD Philander,0.0
21,RR Hendricks,VD Philander,0.0
22,H Klaasen,VD Philander,0.0
23,VD Philander,L Ngidi,0.0
24,AM Phangiso,VD Philander,31.0
25,CJ Dala,VD Philander,0.0
26,BE Hendricks,VD Philander,0.0
27,T Shamsi,VD Philander,0.0
28,D Pretorius,VD Philander,0.0
29,VD Philander,K Zondo,0.0
30,VD Philander,PWA Mulder,0.0
31,D Elgar,VD Philander,0.0
32,VD Philander,DW Steyn,5.375
33,JN Malan,VD Philander,0.0
34,D Wiese,VD Philander,26.0
35,CH Morris,VD Philander,0.0
36,JP Duminy,VD Philander,24.166666666666668
37,D Paterson,VD Philander,0.0
38,WD Parnell,VD Philander,17.0
39,AB de Villiers,VD Philander,53.0
40,VD Philander,AK Markram,0.0
41,HE van der Dussen,VD Philander,0.0
42,VD Philander,K Verreynne,0.0
43,A Nortje,K Rabada,3.6666666666666665
44,A Nortje,F Behardien,0.0
45,A Nortje,M Morkel,0.0
46,A Nortje,HM Amla,0.0
47,A Nortje,RR Rossouw,0.0
48,A Nortje,L Sipamla,0.0
49,A Nortje,KA Maharaj,1.0
50,A Nortje,C Jonker,0.0
51,A Nortje,KJ Abbott,0.0
52,A Nortje,Imran Tahir,3.0
53,A Nortje,AL Phehlukwayo,1.8333333333333333
54,A Nortje,D Olivier,0.0
55,A Nortje,DM Dupavillon,0.0
56,A Nortje,F du Plessis,61.0
