,player-1,player-2,player-3,avg
0,JN Malan,AK Markram,D Wiese,0.0
1,JN Malan,AK Markram,WD Parnell,0.0
2,JN Malan,AK Markram,Q de Kock,0.0
3,JN Malan,AK Markram,D Paterson,0.0
4,JN Malan,AK Markram,L Sipamla,0.0
5,JN Malan,AK Markram,F du Plessis,0.0
6,JN Malan,AK Markram,DW Steyn,0.0
7,JN Malan,AK Markram,M Morkel,0.0
8,JN Malan,AK Markram,D Olivier,0.0
9,JN Malan,AK Markram,K Zondo,0.0
10,JN Malan,AK Markram,HE van der Dussen,0.0
11,JN Malan,AK Markram,KJ Abbott,0.0
12,JN Malan,AK Markram,JP Duminy,0.0
13,JN Malan,AK Markram,T Bavuma,0.0
14,JN Malan,AK Markram,K Verreynne,0.0
15,JN Malan,AK Markram,KA Maharaj,0.0
16,JN Malan,AK Markram,CJ Dala,0.0
17,JN Malan,AK Markram,HM Amla,0.0
18,JN Malan,AK Markram,F Behardien,0.0
19,JN Malan,AK Markram,C Jonker,0.0
20,JN Malan,AK Markram,D Elgar,0.0
21,JN Malan,AK Markram,H Klaasen,0.0
22,JN Malan,AK Markram,L Ngidi,0.0
23,JN Malan,AK Markram,AM Phangiso,0.0
24,JN Malan,AK Markram,RR Hendricks,0.0
25,JN Malan,AK Markram,JT Smuts,0.0
26,JN Malan,AK Markram,PWA Mulder,0.0
27,JN Malan,AK Markram,CH Morris,0.0
28,JN Malan,AK Markram,DA Miller,0.0
29,JN Malan,AK Markram,DM Dupavillon,0.0
30,JN Malan,AK Markram,BE Hendricks,0.0
31,JN Malan,AK Markram,AB de Villiers,0.0
32,JN Malan,AK Markram,T Shamsi,0.0
33,JN Malan,AK Markram,M de Lange,0.0
34,JN Malan,AK Markram,Imran Tahir,0.0
35,JN Malan,AK Markram,K Rabada,0.0
36,JN Malan,AK Markram,RR Rossouw,0.0
37,JN Malan,AK Markram,AL Phehlukwayo,0.0
38,JN Malan,AK Markram,MN van Wyk,0.0
39,JN Malan,AK Markram,VD Philander,0.0
40,JN Malan,AK Markram,A Nortje,0.0
41,JN Malan,AK Markram,D Pretorius,0.0
42,JN Malan,WD Parnell,D Wiese,0.0
43,JN Malan,Q de Kock,D Wiese,0.0
44,JN Malan,D Paterson,D Wiese,0.0
45,JN Malan,L Sipamla,D Wiese,0.0
46,JN Malan,F du Plessis,D Wiese,0.0
47,JN Malan,DW Steyn,D Wiese,0.0
48,JN Malan,M Morkel,D Wiese,0.0
49,JN Malan,D Olivier,D Wiese,0.0
50,JN Malan,K Zondo,D Wiese,0.0
51,JN Malan,HE van der Dussen,D Wiese,0.0
52,JN Malan,KJ Abbott,D Wiese,0.0
53,JN Malan,JP Duminy,D Wiese,0.0
54,JN Malan,T Bavuma,D Wiese,0.0
55,JN Malan,K Verreynne,D Wiese,0.0
56,JN Malan,KA Maharaj,D Wiese,0.0
57,JN Malan,CJ Dala,D Wiese,0.0
58,JN Malan,HM Amla,D Wiese,0.0
59,JN Malan,F Behardien,D Wiese,0.0
60,JN Malan,C Jonker,D Wiese,0.0
61,JN Malan,D Elgar,D Wiese,0.0
62,JN Malan,H Klaasen,D Wiese,0.0
63,JN Malan,L Ngidi,D Wiese,0.0
64,JN Malan,AM Phangiso,D Wiese,0.0
65,JN Malan,RR Hendricks,D Wiese,0.0
66,JN Malan,JT Smuts,D Wiese,0.0
67,JN Malan,PWA Mulder,D Wiese,0.0
68,JN Malan,CH Morris,D Wiese,0.0
69,JN Malan,DA Miller,D Wiese,0.0
70,JN Malan,DM Dupavillon,D Wiese,0.0
71,JN Malan,BE Hendricks,D Wiese,0.0
72,JN Malan,AB de Villiers,D Wiese,0.0
73,JN Malan,T Shamsi,D Wiese,0.0
74,JN Malan,M de Lange,D Wiese,0.0
75,JN Malan,Imran Tahir,D Wiese,0.0
