p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Javed Ahmadi,81,Usman Ghani,1,Afsar Zazai,1,Nasir Jamal,8,Asghar Afghan,8,Mohammad Nabi,2,Najibullah Zadran,45,Mirwais Ashraf,12,Dawlat Zadran,11,Hamid Hassan,0,Aftab Alam,0
Javed Ahmadi,13,Usman Ghani,6,Asghar Afghan,44,Samiullah Shinwari,50,Mohammad Nabi,9,Najibullah Zadran,83,Afsar Zazai,18,Mirwais Ashraf,5,Dawlat Zadran,2,Aftab Alam,2,Hamid Hassan,0
Javed Ahmadi,1,Afsar Zazai,1,Nawroz Mangal,27,Asghar Afghan,1,Samiullah Shinwari,42,Mohammad Nabi,44,Najibullah Zadran,17,Mirwais Ashraf,10,Aftab Alam,14,Hamid Hassan,0,Shapoor Zadran,2
Javed Ahmadi,24,Nawroz Mangal,10,Asghar Afghan,54,Samiullah Shinwari,38,Mohammad Nabi,21,Najibullah Zadran,10,Afsar Zazai,19,Mirwais Ashraf,28,Dawlat Zadran,4,Hamid Hassan,0,Shapoor Zadran,1
Javed Ahmadi,13,Usman Ghani,12,Nawroz Mangal,33,Asghar Afghan,4,Samiullah Shinwari,17,Mohammad Nabi,2,Najibullah Zadran,24,Afsar Zazai,10,Dawlat Zadran,0,Hamid Hassan,7,Shapoor Zadran,0
Javed Ahmadi,1,Usman Ghani,0,Nawroz Mangal,27,Asghar Afghan,9,Samiullah Shinwari,54,Mohammad Nabi,6,Afsar Zazai,0,Najibullah Zadran,56,Dawlat Zadran,1,Hamid Hassan,16,Shapoor Zadran,2
Javed Ahmadi,7,Nawroz Mangal,4,Afsar Zazai,6,Nasir Jamal,17,Samiullah Shinwari,7,Shafiqullah,30,Mohammad Nabi,16,Najibullah Zadran,12,Hamid Hassan,0,Dawlat Zadran,0,Shapoor Zadran,0
Noor Ali Zadran,9,Nawroz Mangal,6,Mohammad Shahzad,23,Asghar Afghan,5,Samiullah Shinwari,17,Mohammad Nabi,0,Najibullah Zadran,25,Amir Hamza,4,Dawlat Zadran,25,Aftab Alam,1,Shapoor Zadran,0
Noor Ali Zadran,60,Mohammad Shahzad,17,Mohammad Nabi,116,Nawroz Mangal,2,Asghar Afghan,39,Najibullah Zadran,1,Samiullah Shinwari,20,Rashid Khan,8,Dawlat Zadran,0,Aftab Alam,0,Amir Hamza,0
Noor Ali Zadran,56,Mohammad Shahzad,30,Mohammad Nabi,42,Nawroz Mangal,0,Asghar Afghan,0,Samiullah Shinwari,14,Shafiqullah,35,Rashid Khan,15,Dawlat Zadran,23,Aftab Alam,0,Amir Hamza,0
Noor Ali Zadran,23,Mohammad Shahzad,80,Mohammad Nabi,12,Nawroz Mangal,6,Asghar Afghan,32,Samiullah Shinwari,10,Shafiqullah,4,Rashid Khan,9,Mirwais Ashraf,0,Aftab Alam,0,Shapoor Zadran,0
Noor Ali Zadran,54,Mohammad Shahzad,26,Mohammad Nabi,53,Asghar Afghan,38,Samiullah Shinwari,1,Najibullah Zadran,5,Shafiqullah,6,Rashid Khan,4,Mirwais Ashraf,21,Dawlat Zadran,13,Amir Hamza,0
