player-1,player-2,avg
Najeeb Tarakai,Mirwais Ashraf,0
Najeeb Tarakai,Zahir Khan,0
Najeeb Tarakai,Najibullah Zadran,0
Najeeb Tarakai,Karim Sadiq,0
Najeeb Tarakai,Rokhan Barakzai,0
Najeeb Tarakai,Shabir Noori,0
Najeeb Tarakai,Afsar Zazai,0
Najeeb Tarakai,Hamid Hassan,0
Najeeb Tarakai,Javed Ahmadi,0
Najeeb Tarakai,Hazratullah Zazai,0
Najeeb Tarakai,Fareed Ahmad,5
Najeeb Tarakai,Amir Hamza,0
Najeeb Tarakai,Samiullah Shinwari,67
Najeeb Tarakai,Asghar Afghan,44
Najeeb Tarakai,Ikram Alikhil,0
Najeeb Tarakai,Karim Janat,0
Najeeb Tarakai,Usman Ghani,0
Najeeb Tarakai,Ihsanullah,0
Najeeb Tarakai,Nasir Jamal,0
Najeeb Tarakai,Rashid Khan,5
Najeeb Tarakai,Rahmat Shah,113
Najeeb Tarakai,Naveen-ul-Haq,0
Najeeb Tarakai,Ibrahim Zadran,0
Najeeb Tarakai,Sharafuddin Ashraf,0
Najeeb Tarakai,Yamin Ahmadzai,0
Najeeb Tarakai,Dawlat Zadran,5
Najeeb Tarakai,Gulbadin Naib,5
Najeeb Tarakai,Mohammad Nabi,5
Najeeb Tarakai,Shapoor Zadran,0
Najeeb Tarakai,Aftab Alam,0
Najeeb Tarakai,Shafiqullah,5
Najeeb Tarakai,Mohammad Shahzad,18
Najeeb Tarakai,Noor Ali Zadran,0
Najeeb Tarakai,Hashmatullah Shahidi,0
Najeeb Tarakai,Mujeeb Ur Rahman,0
Najeeb Tarakai,Sayed Shirzad,0
Najeeb Tarakai,Nawroz Mangal,0
Mirwais Ashraf,Zahir Khan,0
Mirwais Ashraf,Najibullah Zadran,36.92857143
Mirwais Ashraf,Karim Sadiq,23
Mirwais Ashraf,Rokhan Barakzai,26
Shabir Noori,Mirwais Ashraf,12
Afsar Zazai,Mirwais Ashraf,23.5
Hamid Hassan,Mirwais Ashraf,14
Javed Ahmadi,Mirwais Ashraf,32.85714286
Hazratullah Zazai,Mirwais Ashraf,0
Fareed Ahmad,Mirwais Ashraf,0
Amir Hamza,Mirwais Ashraf,12.5
Samiullah Shinwari,Mirwais Ashraf,27.66666667
Mirwais Ashraf,Asghar Afghan,28.38888889
Ikram Alikhil,Mirwais Ashraf,0
Karim Janat,Mirwais Ashraf,0
Usman Ghani,Mirwais Ashraf,12
Ihsanullah,Mirwais Ashraf,0
Nasir Jamal,Mirwais Ashraf,20
Mirwais Ashraf,Rashid Khan,26.58333333
Rahmat Shah,Mirwais Ashraf,38
Naveen-ul-Haq,Mirwais Ashraf,6
Ibrahim Zadran,Mirwais Ashraf,0
Sharafuddin Ashraf,Mirwais Ashraf,0
Mirwais Ashraf,Yamin Ahmadzai,6.666666667
Dawlat Zadran,Mirwais Ashraf,16.8125
Mirwais Ashraf,Gulbadin Naib,42
Mohammad Nabi,Mirwais Ashraf,33.61111111
Mirwais Ashraf,Shapoor Zadran,13.75
Aftab Alam,Mirwais Ashraf,10.75
Mirwais Ashraf,Shafiqullah,13
Mirwais Ashraf,Mohammad Shahzad,50.35714286
Mirwais Ashraf,Noor Ali Zadran,37.25
Mirwais Ashraf,Hashmatullah Shahidi,31.16666667
Mirwais Ashraf,Mujeeb Ur Rahman,0
Mirwais Ashraf,Sayed Shirzad,0
Mirwais Ashraf,Nawroz Mangal,22.5
Zahir Khan,Najibullah Zadran,7
Karim Sadiq,Zahir Khan,0
Zahir Khan,Rokhan Barakzai,0
Shabir Noori,Zahir Khan,0
Afsar Zazai,Zahir Khan,0
Hamid Hassan,Zahir Khan,0
Javed Ahmadi,Zahir Khan,24
Hazratullah Zazai,Zahir Khan,0
Fareed Ahmad,Zahir Khan,0
Amir Hamza,Zahir Khan,0
Samiullah Shinwari,Zahir Khan,0
Zahir Khan,Asghar Afghan,82
Ikram Alikhil,Zahir Khan,0
Karim Janat,Zahir Khan,0
Usman Ghani,Zahir Khan,0
Ihsanullah,Zahir Khan,0
Nasir Jamal,Zahir Khan,0
Zahir Khan,Rashid Khan,35
Rahmat Shah,Zahir Khan,17
Naveen-ul-Haq,Zahir Khan,0
Ibrahim Zadran,Zahir Khan,0
Sharafuddin Ashraf,Zahir Khan,0
Yamin Ahmadzai,Zahir Khan,0
Dawlat Zadran,Zahir Khan,0
Zahir Khan,Gulbadin Naib,0
Mohammad Nabi,Zahir Khan,40
Shapoor Zadran,Zahir Khan,0
Aftab Alam,Zahir Khan,0
Shafiqullah,Zahir Khan,0
Mohammad Shahzad,Zahir Khan,6
Zahir Khan,Noor Ali Zadran,0
Hashmatullah Shahidi,Zahir Khan,0
Mujeeb Ur Rahman,Zahir Khan,0
Zahir Khan,Sayed Shirzad,0
Nawroz Mangal,Zahir Khan,0
Karim Sadiq,Najibullah Zadran,0
Najibullah Zadran,Rokhan Barakzai,9
Shabir Noori,Najibullah Zadran,16
Afsar Zazai,Najibullah Zadran,43.14285714
Hamid Hassan,Najibullah Zadran,36.33333333
Javed Ahmadi,Najibullah Zadran,48.92857143
Hazratullah Zazai,Najibullah Zadran,54.81818182
Fareed Ahmad,Najibullah Zadran,0
Amir Hamza,Najibullah Zadran,13.66666667
Samiullah Shinwari,Najibullah Zadran,43.92
Najibullah Zadran,Asghar Afghan,49.22222222
Ikram Alikhil,Najibullah Zadran,45.2
Karim Janat,Najibullah Zadran,0
Usman Ghani,Najibullah Zadran,56.75
Ihsanullah,Najibullah Zadran,43.125
Nasir Jamal,Najibullah Zadran,38.28571429
Najibullah Zadran,Rashid Khan,34.04878049
Rahmat Shah,Najibullah Zadran,59.38461538
Naveen-ul-Haq,Najibullah Zadran,23.5
Ibrahim Zadran,Najibullah Zadran,32
Sharafuddin Ashraf,Najibullah Zadran,20.85714286
Yamin Ahmadzai,Najibullah Zadran,26.5
Dawlat Zadran,Najibullah Zadran,32.02702703
Gulbadin Naib,Najibullah Zadran,36.59259259
Mohammad Nabi,Najibullah Zadran,45.94
Shapoor Zadran,Najibullah Zadran,25.33333333
Aftab Alam,Najibullah Zadran,29.15384615
Shafiqullah,Najibullah Zadran,26.5
Mohammad Shahzad,Najibullah Zadran,53.97058824
Noor Ali Zadran,Najibullah Zadran,41.28571429
Hashmatullah Shahidi,Najibullah Zadran,56.84210526
Mujeeb Ur Rahman,Najibullah Zadran,27.96296296
Sayed Shirzad,Najibullah Zadran,56
Nawroz Mangal,Najibullah Zadran,34.72727273
Karim Sadiq,Rokhan Barakzai,0
Shabir Noori,Karim Sadiq,0
Afsar Zazai,Karim Sadiq,0
Hamid Hassan,Karim Sadiq,0
Javed Ahmadi,Karim Sadiq,0
Hazratullah Zazai,Karim Sadiq,0
Fareed Ahmad,Karim Sadiq,0
Amir Hamza,Karim Sadiq,8
Samiullah Shinwari,Karim Sadiq,0
Karim Sadiq,Asghar Afghan,7
Ikram Alikhil,Karim Sadiq,0
Karim Janat,Karim Sadiq,0
Usman Ghani,Karim Sadiq,0
Ihsanullah,Karim Sadiq,0
Nasir Jamal,Karim Sadiq,0
Karim Sadiq,Rashid Khan,15
Rahmat Shah,Karim Sadiq,0
Naveen-ul-Haq,Karim Sadiq,0
Ibrahim Zadran,Karim Sadiq,0
Sharafuddin Ashraf,Karim Sadiq,0
Karim Sadiq,Yamin Ahmadzai,0
Dawlat Zadran,Karim Sadiq,21
Karim Sadiq,Gulbadin Naib,0
Mohammad Nabi,Karim Sadiq,16
Karim Sadiq,Shapoor Zadran,0
Aftab Alam,Karim Sadiq,0
Karim Sadiq,Shafiqullah,7
Karim Sadiq,Mohammad Shahzad,50
Karim Sadiq,Noor Ali Zadran,9
Karim Sadiq,Hashmatullah Shahidi,36
Karim Sadiq,Mujeeb Ur Rahman,0
Karim Sadiq,Sayed Shirzad,0
Karim Sadiq,Nawroz Mangal,0
Shabir Noori,Rokhan Barakzai,0
Afsar Zazai,Rokhan Barakzai,0
Hamid Hassan,Rokhan Barakzai,0
Javed Ahmadi,Rokhan Barakzai,0
Hazratullah Zazai,Rokhan Barakzai,0
Fareed Ahmad,Rokhan Barakzai,0
Amir Hamza,Rokhan Barakzai,0
Samiullah Shinwari,Rokhan Barakzai,4
Rokhan Barakzai,Asghar Afghan,1
Ikram Alikhil,Rokhan Barakzai,0
Karim Janat,Rokhan Barakzai,0
Usman Ghani,Rokhan Barakzai,0
Ihsanullah,Rokhan Barakzai,0
Nasir Jamal,Rokhan Barakzai,0
Rashid Khan,Rokhan Barakzai,0
Rahmat Shah,Rokhan Barakzai,0
Naveen-ul-Haq,Rokhan Barakzai,0
Ibrahim Zadran,Rokhan Barakzai,0
Sharafuddin Ashraf,Rokhan Barakzai,0
Yamin Ahmadzai,Rokhan Barakzai,0
Dawlat Zadran,Rokhan Barakzai,0
Gulbadin Naib,Rokhan Barakzai,0
Mohammad Nabi,Rokhan Barakzai,33
Shapoor Zadran,Rokhan Barakzai,0
Aftab Alam,Rokhan Barakzai,0
Shafiqullah,Rokhan Barakzai,0
Mohammad Shahzad,Rokhan Barakzai,131
Noor Ali Zadran,Rokhan Barakzai,31
Hashmatullah Shahidi,Rokhan Barakzai,0
Mujeeb Ur Rahman,Rokhan Barakzai,0
Sayed Shirzad,Rokhan Barakzai,0
Nawroz Mangal,Rokhan Barakzai,8
Shabir Noori,Afsar Zazai,0
Shabir Noori,Hamid Hassan,0
Shabir Noori,Javed Ahmadi,0
Shabir Noori,Hazratullah Zazai,0
Shabir Noori,Fareed Ahmad,0
Shabir Noori,Amir Hamza,0
Shabir Noori,Samiullah Shinwari,0
Shabir Noori,Asghar Afghan,19
Shabir Noori,Ikram Alikhil,0
Shabir Noori,Karim Janat,0
Shabir Noori,Usman Ghani,0
Shabir Noori,Ihsanullah,0
Shabir Noori,Nasir Jamal,0
Shabir Noori,Rashid Khan,16
Shabir Noori,Rahmat Shah,80
Shabir Noori,Naveen-ul-Haq,9
Shabir Noori,Ibrahim Zadran,0
Shabir Noori,Sharafuddin Ashraf,0
Shabir Noori,Yamin Ahmadzai,0
Shabir Noori,Dawlat Zadran,11
Shabir Noori,Gulbadin Naib,0
Shabir Noori,Mohammad Nabi,39
Shabir Noori,Shapoor Zadran,0
Shabir Noori,Aftab Alam,0
Shabir Noori,Shafiqullah,0
Shabir Noori,Mohammad Shahzad,40
Shabir Noori,Noor Ali Zadran,0
Shabir Noori,Hashmatullah Shahidi,81
Shabir Noori,Mujeeb Ur Rahman,0
Shabir Noori,Sayed Shirzad,0
Shabir Noori,Nawroz Mangal,0
Afsar Zazai,Hamid Hassan,11.14285714
Afsar Zazai,Javed Ahmadi,34.11111111
Afsar Zazai,Hazratullah Zazai,0
Afsar Zazai,Fareed Ahmad,0
Afsar Zazai,Amir Hamza,11
Afsar Zazai,Samiullah Shinwari,38.5
Afsar Zazai,Asghar Afghan,25.5
Afsar Zazai,Ikram Alikhil,0
Afsar Zazai,Karim Janat,0
Afsar Zazai,Usman Ghani,12
Afsar Zazai,Ihsanullah,0
Afsar Zazai,Nasir Jamal,16
Afsar Zazai,Rashid Khan,14.5
Afsar Zazai,Rahmat Shah,20
Afsar Zazai,Naveen-ul-Haq,0
Afsar Zazai,Ibrahim Zadran,0
Afsar Zazai,Sharafuddin Ashraf,0
Afsar Zazai,Yamin Ahmadzai,0
Afsar Zazai,Dawlat Zadran,12.875
Afsar Zazai,Gulbadin Naib,57
Afsar Zazai,Mohammad Nabi,24.11111111
Afsar Zazai,Shapoor Zadran,8.2
Afsar Zazai,Aftab Alam,12
Afsar Zazai,Shafiqullah,36
Afsar Zazai,Mohammad Shahzad,0
Afsar Zazai,Noor Ali Zadran,17.5
Afsar Zazai,Hashmatullah Shahidi,0
Afsar Zazai,Mujeeb Ur Rahman,0
Afsar Zazai,Sayed Shirzad,0
Afsar Zazai,Nawroz Mangal,27.4
Hamid Hassan,Javed Ahmadi,21.5
Hamid Hassan,Hazratullah Zazai,25
Hamid Hassan,Fareed Ahmad,0
Hamid Hassan,Amir Hamza,0
Hamid Hassan,Samiullah Shinwari,32.25
Hamid Hassan,Asghar Afghan,25
Ikram Alikhil,Hamid Hassan,14.33333333
Karim Janat,Hamid Hassan,0
Usman Ghani,Hamid Hassan,10.5
Hamid Hassan,Ihsanullah,0
Nasir Jamal,Hamid Hassan,12.5
Hamid Hassan,Rashid Khan,19.5
Hamid Hassan,Rahmat Shah,20.5
Hamid Hassan,Naveen-ul-Haq,0
Ibrahim Zadran,Hamid Hassan,0
Hamid Hassan,Sharafuddin Ashraf,0
Hamid Hassan,Yamin Ahmadzai,0
Hamid Hassan,Dawlat Zadran,7.666666667
Hamid Hassan,Gulbadin Naib,18.6
Hamid Hassan,Mohammad Nabi,17.53846154
Hamid Hassan,Shapoor Zadran,5.6
Hamid Hassan,Aftab Alam,7.4
Hamid Hassan,Shafiqullah,30
Hamid Hassan,Mohammad Shahzad,33.66666667
Hamid Hassan,Noor Ali Zadran,35
Hamid Hassan,Hashmatullah Shahidi,20.8
Hamid Hassan,Mujeeb Ur Rahman,9.666666667
