,player-1,player-2,combined_avg,sum_of_individual
0,Hazratullah Zazai,Asghar Afghan,52.45454545454545,42.58
1,Hazratullah Zazai,Noor Ali Zadran,47.333333333333336,43.65
2,Hazratullah Zazai,Najibullah Zadran,54.81818181818182,44.269999999999996
3,Hazratullah Zazai,Yamin Ahmadzai,50.0,20.75
4,Gulbadin Naib,Hazratullah Zazai,38.0,37.86
5,Shafiqullah,Asghar Afghan,41.07692307692308,40.51
6,Shafiqullah,Mohammad Shahzad,52.666666666666664,48.97
7,Shafiqullah,Rahmat Shah,64.125,51.81
8,Shafiqullah,Dawlat Zadran,33.36363636363637,24.22
9,Shafiqullah,Usman Ghani,45.0,22.33
10,Shafiqullah,Rashid Khan,33.30769230769231,31.71
11,Gulbadin Naib,Shafiqullah,40.75,35.79
12,Shafiqullah,Nasir Jamal,44.75,37.75
13,Shafiqullah,Amir Hamza,25.857142857142858,18.93
14,Najeeb Tarakai,Asghar Afghan,44.0,27.58
15,Asghar Afghan,Najibullah Zadran,49.22222222222222,46.849999999999994
16,Asghar Afghan,Ikram Alikhil,55.9,43.4
17,Mohammad Nabi,Asghar Afghan,43.31818181818182,43.2
18,Asghar Afghan,Yamin Ahmadzai,32.5,23.33
19,Asghar Afghan,Naveen-ul-Haq,28.5,24.83
20,Asghar Afghan,Mohammad Shahzad,55.24444444444445,53.62
21,Asghar Afghan,Rahmat Shah,58.19607843137255,56.46
22,Asghar Afghan,Samiullah Shinwari,43.666666666666664,41.95
23,Asghar Afghan,Hashmatullah Shahidi,52.2962962962963,51.61
24,Asghar Afghan,Rashid Khan,37.89655172413793,36.36
25,Gulbadin Naib,Asghar Afghan,40.75,40.44
26,Asghar Afghan,Fareed Ahmad,30.0,22.909999999999997
27,Asghar Afghan,Mujeeb Ur Rahman,26.870967741935484,24.52
28,Shapoor Zadran,Sharafuddin Ashraf,14.0,6.29
29,Shapoor Zadran,Mirwais Ashraf,13.75,10.89
30,Mohammad Shahzad,Shapoor Zadran,35.0,32.21
31,Shapoor Zadran,Rahmat Shah,42.4,35.050000000000004
32,Samiullah Shinwari,Shapoor Zadran,22.1,20.54
33,Nawroz Mangal,Shapoor Zadran,16.857142857142858,13.459999999999999
34,Shapoor Zadran,Dawlat Zadran,8.428571428571429,7.46
35,Usman Ghani,Shapoor Zadran,7.0,5.57
36,Aftab Alam,Shapoor Zadran,5.666666666666667,4.67
37,Shapoor Zadran,Rashid Khan,27.333333333333332,14.95
38,Shapoor Zadran,Mujeeb Ur Rahman,3.75,3.11
39,Mohammad Nabi,Noor Ali Zadran,50.12,44.269999999999996
40,Noor Ali Zadran,Mirwais Ashraf,37.25,33.37
41,Noor Ali Zadran,Yamin Ahmadzai,36.5,24.4
42,Mohammad Shahzad,Noor Ali Zadran,67.6842105263158,54.69
43,Nawroz Mangal,Noor Ali Zadran,42.857142857142854,35.94
44,Dawlat Zadran,Noor Ali Zadran,32.05,29.939999999999998
45,Rokhan Barakzai,Noor Ali Zadran,31.0,23.65
46,Aftab Alam,Noor Ali Zadran,30.0,27.15
47,Rashid Khan,Noor Ali Zadran,39.78260869565217,37.43
48,Amir Hamza,Noor Ali Zadran,28.22222222222222,24.65
49,Najeeb Tarakai,Rahmat Shah,113.0,38.88
50,Najeeb Tarakai,Samiullah Shinwari,67.0,24.37
51,Ikram Alikhil,Najibullah Zadran,45.2,45.09
52,Mohammad Nabi,Najibullah Zadran,45.94,44.89
53,Najibullah Zadran,Mirwais Ashraf,36.92857142857143,33.99
54,Najibullah Zadran,Yamin Ahmadzai,26.5,25.02
55,Afsar Zazai,Najibullah Zadran,43.142857142857146,32.83
56,Rahmat Shah,Najibullah Zadran,59.38461538461539,58.150000000000006
