player-1,player-2,player-3,avg
Najeeb Tarakai,Mirwais Ashraf,Zahir Khan,0
Najeeb Tarakai,Mirwais Ashraf,Najibullah Zadran,0
Najeeb Tarakai,Mirwais Ashraf,Karim Sadiq,0
Najeeb Tarakai,Mirwais Ashraf,Rokhan Barakzai,0
Najeeb Tarakai,Shabir Noori,Mirwais Ashraf,0
Najeeb Tarakai,Afsar Zazai,Mirwais Ashraf,0
Najeeb Tarakai,Hamid Hassan,Mirwais Ashraf,0
Najeeb Tarakai,Javed Ahmadi,Mirwais Ashraf,0
Najeeb Tarakai,Hazratullah Zazai,Mirwais Ashraf,0
Najeeb Tarakai,Fareed Ahmad,Mirwais Ashraf,0
Najeeb Tarakai,Amir Hamza,Mirwais Ashraf,0
Najeeb Tarakai,Samiullah Shinwari,Mirwais Ashraf,0
Najeeb Tarakai,Mirwais Ashraf,Asghar Afghan,0
Najeeb Tarakai,Ikram Alikhil,Mirwais Ashraf,0
Najeeb Tarakai,Mirwais Ashraf,Karim Janat,0
Najeeb Tarakai,Usman Ghani,Mirwais Ashraf,0
Najeeb Tarakai,Ihsanullah,Mirwais Ashraf,0
Najeeb Tarakai,Mirwais Ashraf,Nasir Jamal,0
Najeeb Tarakai,Mirwais Ashraf,Rashid Khan,0
Najeeb Tarakai,Rahmat Shah,Mirwais Ashraf,0
Najeeb Tarakai,Naveen-ul-Haq,Mirwais Ashraf,0
Najeeb Tarakai,Ibrahim Zadran,Mirwais Ashraf,0
Najeeb Tarakai,Sharafuddin Ashraf,Mirwais Ashraf,0
Najeeb Tarakai,Mirwais Ashraf,Yamin Ahmadzai,0
Najeeb Tarakai,Dawlat Zadran,Mirwais Ashraf,0
Najeeb Tarakai,Mirwais Ashraf,Gulbadin Naib,0
Najeeb Tarakai,Mohammad Nabi,Mirwais Ashraf,0
Najeeb Tarakai,Mirwais Ashraf,Shapoor Zadran,0
Najeeb Tarakai,Aftab Alam,Mirwais Ashraf,0
Najeeb Tarakai,Mirwais Ashraf,Shafiqullah,0
Najeeb Tarakai,Mirwais Ashraf,Mohammad Shahzad,0
Najeeb Tarakai,Mirwais Ashraf,Noor Ali Zadran,0
Najeeb Tarakai,Mirwais Ashraf,Hashmatullah Shahidi,0
Najeeb Tarakai,Mirwais Ashraf,Mujeeb Ur Rahman,0
Najeeb Tarakai,Mirwais Ashraf,Sayed Shirzad,0
Najeeb Tarakai,Mirwais Ashraf,Nawroz Mangal,0
Najeeb Tarakai,Zahir Khan,Najibullah Zadran,0
Najeeb Tarakai,Karim Sadiq,Zahir Khan,0
Najeeb Tarakai,Zahir Khan,Rokhan Barakzai,0
Najeeb Tarakai,Shabir Noori,Zahir Khan,0
Najeeb Tarakai,Afsar Zazai,Zahir Khan,0
Najeeb Tarakai,Hamid Hassan,Zahir Khan,0
Najeeb Tarakai,Javed Ahmadi,Zahir Khan,0
Najeeb Tarakai,Hazratullah Zazai,Zahir Khan,0
Najeeb Tarakai,Fareed Ahmad,Zahir Khan,0
Najeeb Tarakai,Amir Hamza,Zahir Khan,0
Najeeb Tarakai,Samiullah Shinwari,Zahir Khan,0
Najeeb Tarakai,Zahir Khan,Asghar Afghan,0
Najeeb Tarakai,Ikram Alikhil,Zahir Khan,0
Najeeb Tarakai,Zahir Khan,Karim Janat,0
Najeeb Tarakai,Usman Ghani,Zahir Khan,0
Najeeb Tarakai,Ihsanullah,Zahir Khan,0
Najeeb Tarakai,Zahir Khan,Nasir Jamal,0
Najeeb Tarakai,Zahir Khan,Rashid Khan,0
Najeeb Tarakai,Rahmat Shah,Zahir Khan,0
Najeeb Tarakai,Naveen-ul-Haq,Zahir Khan,0
Najeeb Tarakai,Ibrahim Zadran,Zahir Khan,0
Najeeb Tarakai,Sharafuddin Ashraf,Zahir Khan,0
Najeeb Tarakai,Yamin Ahmadzai,Zahir Khan,0
Najeeb Tarakai,Dawlat Zadran,Zahir Khan,0
Najeeb Tarakai,Zahir Khan,Gulbadin Naib,0
Najeeb Tarakai,Mohammad Nabi,Zahir Khan,0
Najeeb Tarakai,Shapoor Zadran,Zahir Khan,0
Najeeb Tarakai,Aftab Alam,Zahir Khan,0
Najeeb Tarakai,Shafiqullah,Zahir Khan,0
Najeeb Tarakai,Zahir Khan,Mohammad Shahzad,0
Najeeb Tarakai,Zahir Khan,Noor Ali Zadran,0
Najeeb Tarakai,Hashmatullah Shahidi,Zahir Khan,0
Najeeb Tarakai,Zahir Khan,Mujeeb Ur Rahman,0
Najeeb Tarakai,Zahir Khan,Sayed Shirzad,0
Najeeb Tarakai,Nawroz Mangal,Zahir Khan,0
Najeeb Tarakai,Karim Sadiq,Najibullah Zadran,0
Najeeb Tarakai,Najibullah Zadran,Rokhan Barakzai,0
Najeeb Tarakai,Shabir Noori,Najibullah Zadran,0
Najeeb Tarakai,Afsar Zazai,Najibullah Zadran,0
Najeeb Tarakai,Hamid Hassan,Najibullah Zadran,0
Najeeb Tarakai,Javed Ahmadi,Najibullah Zadran,0
Najeeb Tarakai,Hazratullah Zazai,Najibullah Zadran,0
Najeeb Tarakai,Fareed Ahmad,Najibullah Zadran,0
Najeeb Tarakai,Amir Hamza,Najibullah Zadran,0
Najeeb Tarakai,Samiullah Shinwari,Najibullah Zadran,0
Najeeb Tarakai,Najibullah Zadran,Asghar Afghan,0
Najeeb Tarakai,Ikram Alikhil,Najibullah Zadran,0
Najeeb Tarakai,Najibullah Zadran,Karim Janat,0
Najeeb Tarakai,Usman Ghani,Najibullah Zadran,0
Najeeb Tarakai,Ihsanullah,Najibullah Zadran,0
Najeeb Tarakai,Najibullah Zadran,Nasir Jamal,0
Najeeb Tarakai,Najibullah Zadran,Rashid Khan,0
Najeeb Tarakai,Rahmat Shah,Najibullah Zadran,0
Najeeb Tarakai,Naveen-ul-Haq,Najibullah Zadran,0
Najeeb Tarakai,Ibrahim Zadran,Najibullah Zadran,0
Najeeb Tarakai,Sharafuddin Ashraf,Najibullah Zadran,0
Najeeb Tarakai,Yamin Ahmadzai,Najibullah Zadran,0
Najeeb Tarakai,Dawlat Zadran,Najibullah Zadran,0
Najeeb Tarakai,Gulbadin Naib,Najibullah Zadran,0
Najeeb Tarakai,Mohammad Nabi,Najibullah Zadran,0
Najeeb Tarakai,Shapoor Zadran,Najibullah Zadran,0
Najeeb Tarakai,Aftab Alam,Najibullah Zadran,0
Najeeb Tarakai,Shafiqullah,Najibullah Zadran,0
Najeeb Tarakai,Mohammad Shahzad,Najibullah Zadran,0
Najeeb Tarakai,Noor Ali Zadran,Najibullah Zadran,0
Najeeb Tarakai,Hashmatullah Shahidi,Najibullah Zadran,0
Najeeb Tarakai,Mujeeb Ur Rahman,Najibullah Zadran,0
Najeeb Tarakai,Sayed Shirzad,Najibullah Zadran,0
Najeeb Tarakai,Nawroz Mangal,Najibullah Zadran,0
Najeeb Tarakai,Karim Sadiq,Rokhan Barakzai,0
Najeeb Tarakai,Shabir Noori,Karim Sadiq,0
Najeeb Tarakai,Afsar Zazai,Karim Sadiq,0
Najeeb Tarakai,Hamid Hassan,Karim Sadiq,0
Najeeb Tarakai,Javed Ahmadi,Karim Sadiq,0
Najeeb Tarakai,Hazratullah Zazai,Karim Sadiq,0
Najeeb Tarakai,Fareed Ahmad,Karim Sadiq,0
Najeeb Tarakai,Amir Hamza,Karim Sadiq,0
Najeeb Tarakai,Samiullah Shinwari,Karim Sadiq,0
Najeeb Tarakai,Karim Sadiq,Asghar Afghan,0
Najeeb Tarakai,Ikram Alikhil,Karim Sadiq,0
Najeeb Tarakai,Karim Sadiq,Karim Janat,0
Najeeb Tarakai,Usman Ghani,Karim Sadiq,0
Najeeb Tarakai,Ihsanullah,Karim Sadiq,0
Najeeb Tarakai,Karim Sadiq,Nasir Jamal,0
Najeeb Tarakai,Karim Sadiq,Rashid Khan,0
Najeeb Tarakai,Rahmat Shah,Karim Sadiq,0
Najeeb Tarakai,Naveen-ul-Haq,Karim Sadiq,0
Najeeb Tarakai,Ibrahim Zadran,Karim Sadiq,0
Najeeb Tarakai,Sharafuddin Ashraf,Karim Sadiq,0
Najeeb Tarakai,Karim Sadiq,Yamin Ahmadzai,0
Najeeb Tarakai,Dawlat Zadran,Karim Sadiq,0
Najeeb Tarakai,Karim Sadiq,Gulbadin Naib,0
Najeeb Tarakai,Mohammad Nabi,Karim Sadiq,0
Najeeb Tarakai,Karim Sadiq,Shapoor Zadran,0
Najeeb Tarakai,Aftab Alam,Karim Sadiq,0
Najeeb Tarakai,Karim Sadiq,Shafiqullah,0
Najeeb Tarakai,Karim Sadiq,Mohammad Shahzad,0
Najeeb Tarakai,Karim Sadiq,Noor Ali Zadran,0
Najeeb Tarakai,Karim Sadiq,Hashmatullah Shahidi,0
Najeeb Tarakai,Karim Sadiq,Mujeeb Ur Rahman,0
Najeeb Tarakai,Karim Sadiq,Sayed Shirzad,0
Najeeb Tarakai,Karim Sadiq,Nawroz Mangal,0
Najeeb Tarakai,Shabir Noori,Rokhan Barakzai,0
Najeeb Tarakai,Afsar Zazai,Rokhan Barakzai,0
Najeeb Tarakai,Hamid Hassan,Rokhan Barakzai,0
Najeeb Tarakai,Javed Ahmadi,Rokhan Barakzai,0
Najeeb Tarakai,Hazratullah Zazai,Rokhan Barakzai,0
Najeeb Tarakai,Fareed Ahmad,Rokhan Barakzai,0
Najeeb Tarakai,Amir Hamza,Rokhan Barakzai,0
Najeeb Tarakai,Samiullah Shinwari,Rokhan Barakzai,0
Najeeb Tarakai,Rokhan Barakzai,Asghar Afghan,0
Najeeb Tarakai,Ikram Alikhil,Rokhan Barakzai,0
Najeeb Tarakai,Karim Janat,Rokhan Barakzai,0
Najeeb Tarakai,Usman Ghani,Rokhan Barakzai,0
Najeeb Tarakai,Ihsanullah,Rokhan Barakzai,0
Najeeb Tarakai,Nasir Jamal,Rokhan Barakzai,0
Najeeb Tarakai,Rashid Khan,Rokhan Barakzai,0
Najeeb Tarakai,Rahmat Shah,Rokhan Barakzai,0
Najeeb Tarakai,Naveen-ul-Haq,Rokhan Barakzai,0
Najeeb Tarakai,Ibrahim Zadran,Rokhan Barakzai,0
Najeeb Tarakai,Sharafuddin Ashraf,Rokhan Barakzai,0
Najeeb Tarakai,Yamin Ahmadzai,Rokhan Barakzai,0
Najeeb Tarakai,Dawlat Zadran,Rokhan Barakzai,0
Najeeb Tarakai,Gulbadin Naib,Rokhan Barakzai,0
Najeeb Tarakai,Mohammad Nabi,Rokhan Barakzai,0
Najeeb Tarakai,Shapoor Zadran,Rokhan Barakzai,0
Najeeb Tarakai,Aftab Alam,Rokhan Barakzai,0
Najeeb Tarakai,Shafiqullah,Rokhan Barakzai,0
Najeeb Tarakai,Mohammad Shahzad,Rokhan Barakzai,0
Najeeb Tarakai,Noor Ali Zadran,Rokhan Barakzai,0
Najeeb Tarakai,Hashmatullah Shahidi,Rokhan Barakzai,0
Najeeb Tarakai,Mujeeb Ur Rahman,Rokhan Barakzai,0
Najeeb Tarakai,Sayed Shirzad,Rokhan Barakzai,0
Najeeb Tarakai,Nawroz Mangal,Rokhan Barakzai,0
Najeeb Tarakai,Shabir Noori,Afsar Zazai,0
Najeeb Tarakai,Shabir Noori,Hamid Hassan,0
Najeeb Tarakai,Shabir Noori,Javed Ahmadi,0
Najeeb Tarakai,Shabir Noori,Hazratullah Zazai,0
Najeeb Tarakai,Shabir Noori,Fareed Ahmad,0
Najeeb Tarakai,Shabir Noori,Amir Hamza,0
