,player-1,player-2,combined_avg,sum_of_individual
0,Najeeb Tarakai,Samiullah Shinwari,67.0,24.37
1,Najeeb Tarakai,Asghar Afghan,44.0,27.58
2,Najeeb Tarakai,Rahmat Shah,113.0,38.88
3,Mirwais Ashraf,Najibullah Zadran,36.92857143,33.99
4,Mirwais Ashraf,Karim Sadiq,23.0,14.72
5,Mirwais Ashraf,Rokhan Barakzai,26.0,9.72
6,Afsar Zazai,Mirwais Ashraf,23.5,18.28
7,Hamid Hassan,Mirwais Ashraf,14.0,13.100000000000001
8,Amir Hamza,Mirwais Ashraf,12.5,10.72
9,Mirwais Ashraf,Rashid Khan,26.58333333,23.5
10,Dawlat Zadran,Mirwais Ashraf,16.8125,16.01
11,Mirwais Ashraf,Gulbadin Naib,42.0,27.58
12,Mohammad Nabi,Mirwais Ashraf,33.61111111,30.340000000000003
13,Mirwais Ashraf,Shapoor Zadran,13.75,10.89
14,Mirwais Ashraf,Mohammad Shahzad,50.35714286,40.76
15,Mirwais Ashraf,Noor Ali Zadran,37.25,33.37
16,Mirwais Ashraf,Nawroz Mangal,22.5,22.009999999999998
17,Zahir Khan,Asghar Afghan,82.0,22.58
18,Zahir Khan,Rashid Khan,35.0,13.78
19,Mohammad Nabi,Zahir Khan,40.0,20.62
20,Afsar Zazai,Najibullah Zadran,43.14285714,32.83
21,Hamid Hassan,Najibullah Zadran,36.33333333,27.65
22,Javed Ahmadi,Najibullah Zadran,48.92857143,48.72
23,Hazratullah Zazai,Najibullah Zadran,54.81818182,44.269999999999996
24,Samiullah Shinwari,Najibullah Zadran,43.92,43.64
25,Najibullah Zadran,Asghar Afghan,49.22222222,46.849999999999994
26,Ikram Alikhil,Najibullah Zadran,45.2,45.09
27,Usman Ghani,Najibullah Zadran,56.75,28.67
28,Rahmat Shah,Najibullah Zadran,59.38461538,58.150000000000006
29,Ibrahim Zadran,Najibullah Zadran,32.0,26.27
30,Yamin Ahmadzai,Najibullah Zadran,26.5,25.02
31,Dawlat Zadran,Najibullah Zadran,32.02702703,30.56
32,Mohammad Nabi,Najibullah Zadran,45.94,44.89
33,Aftab Alam,Najibullah Zadran,29.15384615,27.77
34,Hashmatullah Shahidi,Najibullah Zadran,56.84210526,53.3
35,Mujeeb Ur Rahman,Najibullah Zadran,27.96296296,26.21
