,player-1,player-2,player-3,combined_avg,sum_of_individual
0,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,67.0,24.700000000000003
1,Najeeb Tarakai,Fareed Ahmad,Asghar Afghan,44.0,27.909999999999997
2,Najeeb Tarakai,Fareed Ahmad,Rahmat Shah,113.0,39.21
3,Najeeb Tarakai,Samiullah Shinwari,Asghar Afghan,106.0,46.95
4,Najeeb Tarakai,Samiullah Shinwari,Rashid Khan,67.0,38.15
5,Najeeb Tarakai,Rahmat Shah,Samiullah Shinwari,175.0,58.25
6,Najeeb Tarakai,Dawlat Zadran,Samiullah Shinwari,67.0,30.66
7,Najeeb Tarakai,Samiullah Shinwari,Gulbadin Naib,67.0,42.230000000000004
8,Najeeb Tarakai,Mohammad Nabi,Samiullah Shinwari,67.0,44.99
9,Najeeb Tarakai,Samiullah Shinwari,Shafiqullah,67.0,42.3
10,Najeeb Tarakai,Samiullah Shinwari,Mohammad Shahzad,80.0,55.41
11,Najeeb Tarakai,Rashid Khan,Asghar Afghan,44.0,41.36
12,Najeeb Tarakai,Rahmat Shah,Asghar Afghan,152.0,61.46
13,Najeeb Tarakai,Dawlat Zadran,Asghar Afghan,44.0,33.87
14,Najeeb Tarakai,Rahmat Shah,Rashid Khan,113.0,52.660000000000004
15,Najeeb Tarakai,Rahmat Shah,Dawlat Zadran,113.0,45.17
16,Najeeb Tarakai,Rahmat Shah,Gulbadin Naib,113.0,56.74
17,Najeeb Tarakai,Rahmat Shah,Mohammad Nabi,113.0,59.5
18,Najeeb Tarakai,Rahmat Shah,Shafiqullah,113.0,56.81
19,Najeeb Tarakai,Rahmat Shah,Mohammad Shahzad,126.0,69.92
20,Mirwais Ashraf,Najibullah Zadran,Rokhan Barakzai,35.0,33.99
21,Afsar Zazai,Mirwais Ashraf,Najibullah Zadran,62.25,42.55
22,Hamid Hassan,Mirwais Ashraf,Najibullah Zadran,46.0,37.370000000000005
23,Javed Ahmadi,Mirwais Ashraf,Najibullah Zadran,71.85714286,58.44
24,Samiullah Shinwari,Mirwais Ashraf,Najibullah Zadran,55.2,53.36
25,Mirwais Ashraf,Najibullah Zadran,Asghar Afghan,57.5,56.57
26,Usman Ghani,Mirwais Ashraf,Najibullah Zadran,76.0,38.39
27,Nasir Jamal,Mirwais Ashraf,Najibullah Zadran,65.0,53.81
28,Mirwais Ashraf,Najibullah Zadran,Rashid Khan,53.5,47.77
29,Dawlat Zadran,Mirwais Ashraf,Najibullah Zadran,43.84615385,40.28
