,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,Asghar Afghan,106.0,47.28
1,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,Rashid Khan,67.0,38.480000000000004
2,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,Rahmat Shah,175.0,58.580000000000005
3,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,Dawlat Zadran,67.0,30.990000000000002
4,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,Gulbadin Naib,67.0,42.56
5,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,Mohammad Nabi,67.0,45.32000000000001
6,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,Shafiqullah,67.0,42.63
7,Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,Mohammad Shahzad,80.0,55.74
8,Najeeb Tarakai,Fareed Ahmad,Rashid Khan,Asghar Afghan,44.0,41.69
9,Najeeb Tarakai,Fareed Ahmad,Rahmat Shah,Asghar Afghan,152.0,61.79
10,Najeeb Tarakai,Fareed Ahmad,Dawlat Zadran,Asghar Afghan,44.0,34.2
11,Najeeb Tarakai,Fareed Ahmad,Rahmat Shah,Rashid Khan,113.0,52.99
12,Najeeb Tarakai,Fareed Ahmad,Rahmat Shah,Dawlat Zadran,113.0,45.5
13,Najeeb Tarakai,Gulbadin Naib,Fareed Ahmad,Rahmat Shah,113.0,57.07
14,Najeeb Tarakai,Fareed Ahmad,Rahmat Shah,Mohammad Nabi,113.0,59.83
15,Najeeb Tarakai,Fareed Ahmad,Shafiqullah,Rahmat Shah,113.0,57.14
16,Najeeb Tarakai,Fareed Ahmad,Mohammad Shahzad,Rahmat Shah,126.0,70.25
17,Najeeb Tarakai,Samiullah Shinwari,Rashid Khan,Asghar Afghan,106.0,60.73
18,Najeeb Tarakai,Rahmat Shah,Samiullah Shinwari,Asghar Afghan,214.0,80.83
19,Najeeb Tarakai,Dawlat Zadran,Samiullah Shinwari,Asghar Afghan,106.0,53.239999999999995
20,Najeeb Tarakai,Samiullah Shinwari,Gulbadin Naib,Asghar Afghan,106.0,64.81
21,Najeeb Tarakai,Mohammad Nabi,Samiullah Shinwari,Asghar Afghan,106.0,67.57
22,Najeeb Tarakai,Samiullah Shinwari,Shafiqullah,Asghar Afghan,106.0,64.88
23,Najeeb Tarakai,Samiullah Shinwari,Mohammad Shahzad,Asghar Afghan,119.0,77.99
24,Najeeb Tarakai,Rahmat Shah,Samiullah Shinwari,Rashid Khan,175.0,72.03
25,Najeeb Tarakai,Dawlat Zadran,Samiullah Shinwari,Rashid Khan,67.0,44.44
26,Najeeb Tarakai,Samiullah Shinwari,Gulbadin Naib,Rashid Khan,67.0,56.010000000000005
27,Najeeb Tarakai,Mohammad Nabi,Samiullah Shinwari,Rashid Khan,67.0,58.77
28,Najeeb Tarakai,Samiullah Shinwari,Rashid Khan,Shafiqullah,67.0,56.08
29,Najeeb Tarakai,Samiullah Shinwari,Mohammad Shahzad,Rashid Khan,80.0,69.19
30,Najeeb Tarakai,Rahmat Shah,Samiullah Shinwari,Dawlat Zadran,175.0,64.54
