player-1,player-2,avg
XJ Doherty,JR Hazlewood,0
XJ Doherty,PM Siddle,0
XJ Doherty,SR Watson,41.5
XJ Doherty,M Labuschagne,0
XJ Doherty,TD Paine,0
XJ Doherty,CA Lynn,0
XJ Doherty,MA Starc,0
XJ Doherty,SM Boland,0
MC Henriques,XJ Doherty,0
XJ Doherty,JL Pattinson,0
XJ Doherty,DA Warner,68
XJ Doherty,DJM Short,0
XJ Doherty,MS Wade,0
XJ Doherty,B Stanlake,0
XJ Doherty,MR Marsh,0
AC Agar,XJ Doherty,0
XJ Doherty,AJ Finch,19.5
XJ Doherty,SE Marsh,0
UT Khawaja,XJ Doherty,0
AT Carey,XJ Doherty,0
MP Stoinis,XJ Doherty,0
GJ Bailey,XJ Doherty,10
XJ Doherty,MJ Clarke,68
XJ Doherty,JM Mennie,0
XJ Doherty,JP Behrendorff,0
XJ Doherty,CL White,0
XJ Doherty,MG Johnson,3
XJ Doherty,JW Hastings,0
SD Heazlett,XJ Doherty,0
XJ Doherty,A Zampa,0
JA Richardson,XJ Doherty,0
XJ Doherty,SPD Smith,54.5
XJ Doherty,PJ Cummins,0
XJ Doherty,AJ Tye,0
XJ Doherty,KW Richardson,0
XJ Doherty,MG Neser,0
JA Burns,XJ Doherty,0
XJ Doherty,GJ Maxwell,51
XJ Doherty,JS Paris,0
XJ Doherty,AJ Turner,0
XJ Doherty,NM Coulter-Nile,0
XJ Doherty,GS Sandhu,0
XJ Doherty,PSP Handscomb,0
XJ Doherty,JP Faulkner,3
XJ Doherty,BJ Haddin,20.5
XJ Doherty,NM Lyon,0
XJ Doherty,HWR Cartwright,0
XJ Doherty,DJ Worrall,0
XJ Doherty,TM Head,0
XJ Doherty,CP Tremain,0
JR Hazlewood,PM Siddle,0
JR Hazlewood,SR Watson,23.5
JR Hazlewood,M Labuschagne,51
JR Hazlewood,TD Paine,30
CA Lynn,JR Hazlewood,25
MA Starc,JR Hazlewood,5.5625
JR Hazlewood,SM Boland,1.75
MC Henriques,JR Hazlewood,12
JL Pattinson,JR Hazlewood,0
JR Hazlewood,DA Warner,44.96969697
JR Hazlewood,DJM Short,16.5
JR Hazlewood,MS Wade,17.1
JR Hazlewood,B Stanlake,0
JR Hazlewood,MR Marsh,27.65384615
AC Agar,JR Hazlewood,12
AJ Finch,JR Hazlewood,31.40625
JR Hazlewood,SE Marsh,31
UT Khawaja,JR Hazlewood,34.81818182
AT Carey,JR Hazlewood,34
MP Stoinis,JR Hazlewood,46.09090909
GJ Bailey,JR Hazlewood,32
MJ Clarke,JR Hazlewood,23
JR Hazlewood,JM Mennie,0
JR Hazlewood,JP Behrendorff,0
JR Hazlewood,CL White,10
MG Johnson,JR Hazlewood,5
JR Hazlewood,JW Hastings,18
SD Heazlett,JR Hazlewood,4
A Zampa,JR Hazlewood,3.961538462
JA Richardson,JR Hazlewood,24
JR Hazlewood,SPD Smith,53.5
JR Hazlewood,PJ Cummins,8
JR Hazlewood,AJ Tye,5.5
JR Hazlewood,KW Richardson,9.5
JR Hazlewood,MG Neser,0
JA Burns,JR Hazlewood,0
JR Hazlewood,GJ Maxwell,30.71428571
JR Hazlewood,JS Paris,0
JR Hazlewood,AJ Turner,5
JR Hazlewood,NM Coulter-Nile,16.75
JR Hazlewood,GS Sandhu,0
PSP Handscomb,JR Hazlewood,18.8
JR Hazlewood,JP Faulkner,10.94736842
BJ Haddin,JR Hazlewood,11.16666667
JR Hazlewood,NM Lyon,20.5
JR Hazlewood,HWR Cartwright,0
JR Hazlewood,DJ Worrall,0
TM Head,JR Hazlewood,39.27777778
JR Hazlewood,CP Tremain,0
PM Siddle,SR Watson,0
PM Siddle,M Labuschagne,0
PM Siddle,TD Paine,0
CA Lynn,PM Siddle,0
MA Starc,PM Siddle,0
PM Siddle,SM Boland,0
MC Henriques,PM Siddle,0
JL Pattinson,PM Siddle,0
PM Siddle,DA Warner,0
PM Siddle,DJM Short,0
PM Siddle,MS Wade,0
PM Siddle,B Stanlake,10
PM Siddle,MR Marsh,0
AC Agar,PM Siddle,0
AJ Finch,PM Siddle,12
PM Siddle,SE Marsh,78
UT Khawaja,PM Siddle,41.33333333
AT Carey,PM Siddle,19
MP Stoinis,PM Siddle,32
GJ Bailey,PM Siddle,0
MJ Clarke,PM Siddle,0
PM Siddle,JM Mennie,0
PM Siddle,JP Behrendorff,0.5
PM Siddle,CL White,0
MG Johnson,PM Siddle,0
PM Siddle,JW Hastings,0
SD Heazlett,PM Siddle,0
A Zampa,PM Siddle,18
JA Richardson,PM Siddle,9.333333333
PM Siddle,SPD Smith,0
PM Siddle,PJ Cummins,0
PM Siddle,AJ Tye,0
PM Siddle,KW Richardson,0
PM Siddle,MG Neser,0
JA Burns,PM Siddle,0
PM Siddle,GJ Maxwell,31.66666667
PM Siddle,JS Paris,0
PM Siddle,AJ Turner,0
PM Siddle,NM Coulter-Nile,0
PM Siddle,GS Sandhu,0
PSP Handscomb,PM Siddle,53.66666667
PM Siddle,JP Faulkner,0
BJ Haddin,PM Siddle,0
PM Siddle,NM Lyon,6
PM Siddle,HWR Cartwright,0
PM Siddle,DJ Worrall,0
TM Head,PM Siddle,0
PM Siddle,CP Tremain,0
SR Watson,M Labuschagne,0
SR Watson,TD Paine,0
CA Lynn,SR Watson,0
MA Starc,SR Watson,28.36363636
SM Boland,SR Watson,0
MC Henriques,SR Watson,0
JL Pattinson,SR Watson,0
DA Warner,SR Watson,68.45454545
SR Watson,DJM Short,0
SR Watson,MS Wade,48.33333333
SR Watson,B Stanlake,0
MR Marsh,SR Watson,46.4
AC Agar,SR Watson,0
AJ Finch,SR Watson,76
SE Marsh,SR Watson,0
UT Khawaja,SR Watson,0
AT Carey,SR Watson,0
MP Stoinis,SR Watson,0
GJ Bailey,SR Watson,46
MJ Clarke,SR Watson,71.2
SR Watson,JM Mennie,0
