,player-1,player-2,combined_avg,sum_of_individual
0,JP Behrendorff,DA Warner,73.0,54.669999999999995
1,DA Warner,TM Head,88.96551724137932,84.75999999999999
2,DA Warner,KW Richardson,72.3,56.699999999999996
3,DA Warner,UT Khawaja,102.0,95.72
4,DA Warner,NM Lyon,57.111111111111114,56.04
5,DA Warner,AJ Finch,95.375,92.77
6,DA Warner,PJ Cummins,60.04761904761905,57.62
7,DA Warner,SM Boland,64.2,53.629999999999995
8,DJ Worrall,DA Warner,70.33333333333333,54.94
9,DA Warner,JA Burns,93.0,77.27
10,DA Warner,XJ Doherty,68.0,52.94
11,SPD Smith,DA Warner,97.31818181818181,95.75
12,DA Warner,NM Coulter-Nile,65.64285714285714,61.67
13,JW Hastings,DA Warner,68.61538461538461,64.06
14,DA Warner,AT Carey,83.61904761904762,78.97
15,DA Warner,JP Faulkner,67.96153846153847,63.42
16,DA Warner,GJ Bailey,86.03571428571429,83.47
17,DA Warner,PSP Handscomb,102.57142857142857,84.07
18,DA Warner,MS Wade,78.63888888888889,72.67
19,DA Warner,MA Starc,56.96078431372549,56.87
20,MR Marsh,AJ Tye,38.5,35.42
21,TD Paine,AJ Tye,27.833333333333332,25.14
22,MP Stoinis,AJ Tye,42.42857142857143,33.28
23,MR Marsh,TD Paine,66.75,44.28
24,MR Marsh,BJ Haddin,48.5,46.010000000000005
25,MR Marsh,NM Lyon,45.5,30.380000000000003
26,MR Marsh,GJ Maxwell,59.69230769230769,57.55
27,MR Marsh,SM Boland,44.5,27.970000000000002
28,MR Marsh,CL White,52.666666666666664,36.03
29,MR Marsh,MP Stoinis,62.22222222222222,52.42
30,MR Marsh,DJM Short,59.75,53.66
31,MR Marsh,JW Hastings,42.84615384615385,38.4
32,MR Marsh,AT Carey,53.625,53.31
33,MR Marsh,JP Faulkner,41.07142857142857,37.760000000000005
34,MR Marsh,M Labuschagne,68.71428571428571,66.68
35,MR Marsh,MS Wade,48.5,47.010000000000005
36,MC Henriques,TM Head,46.333333333333336,39.57
37,MC Henriques,BJ Haddin,46.0,26.48
38,MC Henriques,A Zampa,10.666666666666666,9.93
39,MC Henriques,JR Hazlewood,12.0,8.870000000000001
40,MC Henriques,AJ Finch,47.75,47.58
41,MC Henriques,PJ Cummins,12.5,12.43
42,MC Henriques,GJ Maxwell,39.0,38.019999999999996
43,MC Henriques,SE Marsh,49.0,46.68
44,MC Henriques,SPD Smith,69.25,50.56
45,MC Henriques,JP Faulkner,22.333333333333332,18.23
46,MC Henriques,MS Wade,43.666666666666664,27.48
47,JP Behrendorff,KW Richardson,5.5,5.49
48,JP Behrendorff,UT Khawaja,47.6,44.51
49,JP Behrendorff,NM Lyon,4.875,4.83
50,JP Behrendorff,PJ Cummins,7.571428571428571,6.41
51,JP Behrendorff,GJ Maxwell,35.2,32.0
52,JP Behrendorff,SE Marsh,49.833333333333336,40.66
53,JP Behrendorff,AJ Turner,21.0,14.9
54,JP Behrendorff,NM Coulter-Nile,28.0,10.46
55,JP Behrendorff,AT Carey,33.27272727272727,27.76
56,JP Behrendorff,PSP Handscomb,54.285714285714285,32.86
57,JP Behrendorff,MA Starc,13.2,5.66
58,TD Paine,TM Head,54.875,48.82
59,TD Paine,A Zampa,32.0,19.18
60,JR Hazlewood,TD Paine,30.0,18.12
61,TD Paine,PJ Cummins,33.0,21.68
62,CL White,TD Paine,38.0,25.75
63,TD Paine,MP Stoinis,49.55555555555556,42.14
64,TM Head,A Zampa,36.8,34.0
65,JR Hazlewood,TM Head,39.27777777777778,32.94
66,TM Head,PJ Cummins,43.38095238095238,36.5
67,CL White,TM Head,60.5,40.57
68,TM Head,SE Marsh,75.7,70.75
