player-1,player-2,player-3,avg
XJ Doherty,JR Hazlewood,PM Siddle,0
XJ Doherty,JR Hazlewood,SR Watson,0
XJ Doherty,JR Hazlewood,M Labuschagne,0
XJ Doherty,JR Hazlewood,TD Paine,0
XJ Doherty,JR Hazlewood,CA Lynn,0
XJ Doherty,JR Hazlewood,MA Starc,0
XJ Doherty,JR Hazlewood,SM Boland,0
MC Henriques,XJ Doherty,JR Hazlewood,0
XJ Doherty,JR Hazlewood,JL Pattinson,0
XJ Doherty,JR Hazlewood,DA Warner,0
XJ Doherty,JR Hazlewood,DJM Short,0
XJ Doherty,JR Hazlewood,MS Wade,0
XJ Doherty,JR Hazlewood,B Stanlake,0
XJ Doherty,JR Hazlewood,MR Marsh,0
AC Agar,XJ Doherty,JR Hazlewood,0
XJ Doherty,JR Hazlewood,AJ Finch,0
XJ Doherty,JR Hazlewood,SE Marsh,0
UT Khawaja,XJ Doherty,JR Hazlewood,0
AT Carey,XJ Doherty,JR Hazlewood,0
MP Stoinis,XJ Doherty,JR Hazlewood,0
GJ Bailey,XJ Doherty,JR Hazlewood,0
MJ Clarke,XJ Doherty,JR Hazlewood,0
XJ Doherty,JR Hazlewood,JM Mennie,0
XJ Doherty,JR Hazlewood,JP Behrendorff,0
XJ Doherty,JR Hazlewood,CL White,0
MG Johnson,XJ Doherty,JR Hazlewood,0
XJ Doherty,JR Hazlewood,JW Hastings,0
SD Heazlett,XJ Doherty,JR Hazlewood,0
XJ Doherty,JR Hazlewood,A Zampa,0
JA Richardson,XJ Doherty,JR Hazlewood,0
XJ Doherty,JR Hazlewood,SPD Smith,0
XJ Doherty,JR Hazlewood,PJ Cummins,0
XJ Doherty,JR Hazlewood,AJ Tye,0
XJ Doherty,JR Hazlewood,KW Richardson,0
XJ Doherty,JR Hazlewood,MG Neser,0
JA Burns,XJ Doherty,JR Hazlewood,0
XJ Doherty,JR Hazlewood,GJ Maxwell,0
XJ Doherty,JR Hazlewood,JS Paris,0
XJ Doherty,JR Hazlewood,AJ Turner,0
XJ Doherty,JR Hazlewood,NM Coulter-Nile,0
XJ Doherty,JR Hazlewood,GS Sandhu,0
XJ Doherty,JR Hazlewood,PSP Handscomb,0
XJ Doherty,JR Hazlewood,JP Faulkner,0
XJ Doherty,JR Hazlewood,BJ Haddin,0
XJ Doherty,JR Hazlewood,NM Lyon,0
XJ Doherty,JR Hazlewood,HWR Cartwright,0
XJ Doherty,JR Hazlewood,DJ Worrall,0
XJ Doherty,JR Hazlewood,TM Head,0
XJ Doherty,JR Hazlewood,CP Tremain,0
XJ Doherty,PM Siddle,SR Watson,0
XJ Doherty,PM Siddle,M Labuschagne,0
XJ Doherty,PM Siddle,TD Paine,0
XJ Doherty,PM Siddle,CA Lynn,0
XJ Doherty,PM Siddle,MA Starc,0
XJ Doherty,PM Siddle,SM Boland,0
MC Henriques,XJ Doherty,PM Siddle,0
XJ Doherty,PM Siddle,JL Pattinson,0
XJ Doherty,PM Siddle,DA Warner,0
XJ Doherty,PM Siddle,DJM Short,0
XJ Doherty,PM Siddle,MS Wade,0
