,player-1,player-2,combined_avg,sum_of_individual
0,XJ Doherty,SR Watson,41.5,28.36
1,XJ Doherty,DA Warner,68.0,52.94
2,XJ Doherty,MJ Clarke,68.0,28.67
3,XJ Doherty,SPD Smith,54.5,42.81
4,XJ Doherty,GJ Maxwell,51.0,30.27
5,XJ Doherty,BJ Haddin,20.5,18.73
6,JR Hazlewood,M Labuschagne,51.0,40.519999999999996
7,JR Hazlewood,TD Paine,30.0,18.12
8,CA Lynn,JR Hazlewood,25.0,19.87
9,MA Starc,JR Hazlewood,5.5625,5.050000000000001
10,MC Henriques,JR Hazlewood,12.0,8.870000000000001
11,AT Carey,JR Hazlewood,34.0,27.150000000000002
12,MP Stoinis,JR Hazlewood,46.09090909,26.26
13,GJ Bailey,JR Hazlewood,32.0,31.650000000000002
14,JR Hazlewood,CL White,10.0,9.870000000000001
15,JR Hazlewood,JW Hastings,18.0,12.239999999999998
16,A Zampa,JR Hazlewood,3.961538462,3.3000000000000003
17,JA Richardson,JR Hazlewood,24.0,8.2
18,JR Hazlewood,SPD Smith,53.5,43.93
19,JR Hazlewood,PJ Cummins,8.0,5.8
20,JR Hazlewood,KW Richardson,9.5,4.88
21,JR Hazlewood,NM Coulter-Nile,16.75,9.850000000000001
22,JR Hazlewood,NM Lyon,20.5,4.220000000000001
23,TM Head,JR Hazlewood,39.27777778,32.94
24,PM Siddle,B Stanlake,10.0,3.9
25,PM Siddle,SE Marsh,78.0,42.26
26,MP Stoinis,PM Siddle,32.0,28.47
27,A Zampa,PM Siddle,18.0,5.51
28,PSP Handscomb,PM Siddle,53.66666667,34.46
29,SR Watson,MS Wade,48.33333333,48.09
30,AJ Finch,SR Watson,76.0,68.19
31,MJ Clarke,SR Watson,71.2,57.03
32,MG Johnson,SR Watson,35.83333333,32.61
33,SPD Smith,SR Watson,76.18181818,71.17
34,JA Burns,SR Watson,68.66666667,52.69
35,GS Sandhu,SR Watson,41.0,28.36
36,JP Faulkner,SR Watson,42.33333333,38.84
37,M Labuschagne,DJM Short,83.25,65.78
38,MR Marsh,M Labuschagne,68.71428571,66.68
39,AJ Finch,M Labuschagne,81.8,79.22999999999999
40,A Zampa,M Labuschagne,41.8,41.58
41,JA Richardson,M Labuschagne,132.0,46.48
42,SPD Smith,M Labuschagne,93.85714286,82.21000000000001
43,KW Richardson,M Labuschagne,59.33333333,43.16
44,GJ Maxwell,M Labuschagne,91.66666667,69.67
45,MA Starc,TD Paine,30.66666667,20.93
46,MR Marsh,TD Paine,66.75,44.28
47,AC Agar,TD Paine,33.2,31.54
48,AJ Finch,TD Paine,60.57142857,56.83
49,SE Marsh,TD Paine,64.8,55.93
50,MP Stoinis,TD Paine,49.55555556,42.14
51,TD Paine,CL White,38.0,25.75
52,A Zampa,TD Paine,32.0,19.18
53,PJ Cummins,TD Paine,33.0,21.68
54,AJ Tye,TD Paine,27.83333333,25.14
55,GJ Maxwell,TD Paine,53.0,47.269999999999996
56,TM Head,TD Paine,54.875,48.82
57,CA Lynn,MA Starc,25.75,22.68
58,CA Lynn,MS Wade,116.0,38.480000000000004
59,CA Lynn,SE Marsh,86.0,57.68
60,AT Carey,CA Lynn,60.33333333,44.78
61,MP Stoinis,CA Lynn,46.0,43.89
62,CA Lynn,A Zampa,33.0,20.93
