,player-1,player-2,player-3,combined_avg,sum_of_individual
0,XJ Doherty,SR Watson,MA Starc,41.5,32.29
1,XJ Doherty,DA Warner,SR Watson,109.5,81.3
2,XJ Doherty,MJ Clarke,SR Watson,135.0,57.03
3,XJ Doherty,MG Johnson,SR Watson,70.0,32.61
4,XJ Doherty,SPD Smith,SR Watson,96.0,71.17
5,XJ Doherty,GJ Maxwell,SR Watson,92.5,58.629999999999995
6,XJ Doherty,JP Faulkner,SR Watson,44.5,38.84
7,BJ Haddin,XJ Doherty,SR Watson,62.0,47.09
8,XJ Doherty,DA Warner,MA Starc,68.0,56.87
9,XJ Doherty,MJ Clarke,MA Starc,68.0,32.6
10,XJ Doherty,SPD Smith,MA Starc,54.5,46.74
11,XJ Doherty,GJ Maxwell,MA Starc,51.0,34.2
12,GJ Bailey,XJ Doherty,DA Warner,137.0,83.47
13,XJ Doherty,DA Warner,SPD Smith,122.5,95.75
14,XJ Doherty,DA Warner,PJ Cummins,127.0,57.62
15,XJ Doherty,DA Warner,GJ Maxwell,119.0,83.21
16,XJ Doherty,DA Warner,JP Faulkner,71.0,63.42
17,XJ Doherty,DA Warner,BJ Haddin,88.5,71.67
18,XJ Doherty,MJ Clarke,AJ Finch,92.0,68.5
19,XJ Doherty,GJ Maxwell,AJ Finch,70.5,70.1
20,MG Johnson,XJ Doherty,MJ Clarke,71.0,32.92
21,XJ Doherty,MJ Clarke,SPD Smith,140.0,71.48
22,XJ Doherty,MJ Clarke,GJ Maxwell,170.0,58.94
23,XJ Doherty,MJ Clarke,JP Faulkner,68.0,39.150000000000006
24,XJ Doherty,MJ Clarke,BJ Haddin,93.0,47.400000000000006
25,XJ Doherty,MG Johnson,SPD Smith,75.0,47.06
26,XJ Doherty,MG Johnson,GJ Maxwell,105.0,34.519999999999996
27,XJ Doherty,MG Johnson,BJ Haddin,28.0,22.98
28,XJ Doherty,GJ Maxwell,SPD Smith,105.5,73.08
29,XJ Doherty,JP Faulkner,SPD Smith,57.5,53.290000000000006
30,XJ Doherty,SPD Smith,BJ Haddin,75.0,61.540000000000006
31,XJ Doherty,GJ Maxwell,JP Faulkner,54.0,40.75
32,XJ Doherty,GJ Maxwell,BJ Haddin,71.5,49.0
33,AJ Finch,JR Hazlewood,SR Watson,78.0,69.31
34,MJ Clarke,JR Hazlewood,SR Watson,62.0,58.150000000000006
35,JR Hazlewood,SPD Smith,SR Watson,81.25,72.28999999999999
36,MA Starc,JR Hazlewood,M Labuschagne,48.83333333,44.45
37,JR Hazlewood,M Labuschagne,DJM Short,88.33333333,66.89999999999999
38,JR Hazlewood,MR Marsh,M Labuschagne,75.5,67.8
39,AC Agar,JR Hazlewood,M Labuschagne,66.0,55.06
40,AJ Finch,JR Hazlewood,M Labuschagne,81.28571429,80.35
41,AT Carey,JR Hazlewood,M Labuschagne,78.57142857,66.55
42,A Zampa,JR Hazlewood,M Labuschagne,53.14285714,42.699999999999996
43,JA Richardson,JR Hazlewood,M Labuschagne,132.0,47.599999999999994
44,JR Hazlewood,SPD Smith,M Labuschagne,125.5,83.33
45,JR Hazlewood,PJ Cummins,M Labuschagne,48.83333333,45.199999999999996
46,JR Hazlewood,KW Richardson,M Labuschagne,108.0,44.28
47,JR Hazlewood,M Labuschagne,GJ Maxwell,94.0,70.78999999999999
48,JR Hazlewood,AJ Turner,M Labuschagne,59.0,53.69
49,MA Starc,JR Hazlewood,TD Paine,32.5,22.05
50,JR Hazlewood,MR Marsh,TD Paine,63.33333333,45.400000000000006
51,AJ Finch,JR Hazlewood,TD Paine,93.0,57.949999999999996
52,MP Stoinis,JR Hazlewood,TD Paine,82.33333333,43.260000000000005
53,JR Hazlewood,TD Paine,CL White,38.0,26.87
54,A Zampa,JR Hazlewood,TD Paine,33.66666667,20.3
55,JR Hazlewood,PJ Cummins,TD Paine,30.0,22.8
56,JR Hazlewood,AJ Tye,TD Paine,35.0,26.26
57,GJ Maxwell,JR Hazlewood,TD Paine,68.0,48.39
58,TM Head,JR Hazlewood,TD Paine,88.5,49.94
59,CA Lynn,JR Hazlewood,MA Starc,31.0,23.8
60,CA Lynn,JR Hazlewood,SE Marsh,91.0,58.8
61,AT Carey,CA Lynn,JR Hazlewood,65.66666667,45.9
62,MP Stoinis,CA Lynn,JR Hazlewood,51.33333333,45.01
63,CA Lynn,JR Hazlewood,A Zampa,38.0,22.05
64,CA Lynn,JR Hazlewood,PJ Cummins,32.33333333,24.55
65,CA Lynn,JR Hazlewood,NM Coulter-Nile,55.0,28.6
66,MC Henriques,MA Starc,JR Hazlewood,14.5,12.8
67,MA Starc,JR Hazlewood,SE Marsh,46.2,43.980000000000004
68,AT Carey,MA Starc,JR Hazlewood,44.66666667,31.080000000000002
69,MP Stoinis,MA Starc,JR Hazlewood,57.3,30.19
70,MA Starc,JR Hazlewood,CL White,17.0,13.8
71,MA Starc,JR Hazlewood,JW Hastings,17.0,16.17
72,MA Starc,JR Hazlewood,A Zampa,10.75,7.23
73,MA Starc,JR Hazlewood,SPD Smith,58.60869565,47.86
74,MA Starc,JR Hazlewood,PJ Cummins,14.68421053,9.73
75,MA Starc,JR Hazlewood,GJ Maxwell,42.5,35.32
76,MA Starc,JR Hazlewood,NM Coulter-Nile,42.0,13.780000000000001
77,MA Starc,JR Hazlewood,TM Head,44.93333333,36.870000000000005
78,JR Hazlewood,MR Marsh,SM Boland,52.0,29.090000000000003
79,GJ Bailey,JR Hazlewood,SM Boland,46.5,32.34
80,JR Hazlewood,JW Hastings,SM Boland,30.5,12.929999999999998
81,A Zampa,JR Hazlewood,SM Boland,4.5,3.99
82,JR Hazlewood,SPD Smith,SM Boland,64.25,44.62
83,MC Henriques,AJ Finch,JR Hazlewood,74.0,48.699999999999996
84,MC Henriques,JR Hazlewood,GJ Bailey,45.0,39.400000000000006
85,MC Henriques,A Zampa,JR Hazlewood,12.0,11.05
86,MC Henriques,JR Hazlewood,SPD Smith,69.0,51.68000000000001
87,MC Henriques,JR Hazlewood,PJ Cummins,22.0,13.55
88,MC Henriques,TM Head,JR Hazlewood,52.5,40.69
89,JR Hazlewood,DA Warner,MS Wade,74.94117647,73.78999999999999
90,MJ Clarke,JR Hazlewood,DA Warner,87.75,82.73
91,JR Hazlewood,DA Warner,SPD Smith,100.8965517,96.87
92,PSP Handscomb,JR Hazlewood,DA Warner,142.33333330000002,85.19
93,JR Hazlewood,DA Warner,JP Faulkner,73.0,64.53999999999999
94,TM Head,JR Hazlewood,DA Warner,111.58333329999999,85.88
95,JA Richardson,JR Hazlewood,DJM Short,60.0,34.58
96,JR Hazlewood,KW Richardson,DJM Short,36.0,31.259999999999998
97,JR Hazlewood,NM Coulter-Nile,DJM Short,40.0,36.230000000000004
98,GJ Bailey,JR Hazlewood,MS Wade,53.53846154,51.38
99,JR Hazlewood,MS Wade,JW Hastings,42.5,31.97
100,JR Hazlewood,SPD Smith,MS Wade,69.73684211,63.66
101,JR Hazlewood,KW Richardson,MS Wade,56.0,24.61
102,JR Hazlewood,NM Coulter-Nile,MS Wade,30.33333333,29.580000000000002
103,TM Head,JR Hazlewood,MS Wade,62.0,52.67
104,JR Hazlewood,SPD Smith,B Stanlake,108.0,44.5
105,PSP Handscomb,JR Hazlewood,B Stanlake,82.0,32.82
106,MP Stoinis,JR Hazlewood,MR Marsh,66.0,53.540000000000006
107,GJ Bailey,JR Hazlewood,MR Marsh,60.76923077,58.93000000000001
108,JR Hazlewood,MR Marsh,CL White,53.5,37.150000000000006
109,JR Hazlewood,MR Marsh,JW Hastings,59.0,39.52
110,JA Richardson,JR Hazlewood,MR Marsh,56.0,35.480000000000004
111,JR Hazlewood,MR Marsh,SPD Smith,73.78260870000001,71.21000000000001
112,JR Hazlewood,MR Marsh,GJ Maxwell,63.125,58.67
113,JR Hazlewood,MR Marsh,JP Faulkner,39.2,38.88
114,BJ Haddin,JR Hazlewood,MR Marsh,50.33333333,47.13
115,TM Head,JR Hazlewood,MR Marsh,61.71428571,60.22
116,AC Agar,AT Carey,JR Hazlewood,47.0,41.69
117,AC Agar,JR Hazlewood,SPD Smith,143.0,58.47
118,MP Stoinis,AJ Finch,JR Hazlewood,76.22222222,66.09
119,AJ Finch,JR Hazlewood,CL White,79.0,49.699999999999996
120,AJ Finch,JR Hazlewood,SPD Smith,93.26086957,83.75999999999999
121,AJ Finch,JR Hazlewood,NM Lyon,66.0,44.05
122,AT Carey,JR Hazlewood,SE Marsh,113.5,66.08
123,MP Stoinis,JR Hazlewood,SE Marsh,108.25,65.19
124,A Zampa,JR Hazlewood,SE Marsh,48.25,42.23
125,JR Hazlewood,SE Marsh,PJ Cummins,63.25,44.73
126,UT Khawaja,JR Hazlewood,JW Hastings,76.5,55.019999999999996
127,AT Carey,JR Hazlewood,MP Stoinis,72.0,52.290000000000006
128,AT Carey,A Zampa,JR Hazlewood,37.55555556,29.330000000000002
129,AT Carey,JR Hazlewood,SPD Smith,71.0,69.96000000000001
130,AT Carey,JR Hazlewood,PJ Cummins,45.11111111,31.830000000000002
131,AT Carey,JR Hazlewood,GJ Maxwell,90.66666667,57.42
132,AT Carey,JR Hazlewood,NM Coulter-Nile,73.0,35.88
133,MP Stoinis,JR Hazlewood,CL White,45.0,35.010000000000005
134,MP Stoinis,JR Hazlewood,SD Heazlett,150.0,30.26
135,MP Stoinis,A Zampa,JR Hazlewood,42.44444444,28.44
136,MP Stoinis,JR Hazlewood,SPD Smith,72.66666667,69.07000000000001
137,MP Stoinis,JR Hazlewood,PJ Cummins,53.3,30.94
138,MP Stoinis,JR Hazlewood,AJ Tye,56.0,34.400000000000006
139,MP Stoinis,JR Hazlewood,GJ Maxwell,82.0,56.53
140,MP Stoinis,JR Hazlewood,NM Coulter-Nile,54.0,34.99
141,MP Stoinis,PSP Handscomb,JR Hazlewood,99.5,57.38999999999999
142,MP Stoinis,JR Hazlewood,JP Faulkner,108.5,36.74
143,MP Stoinis,TM Head,JR Hazlewood,82.71428571,58.08
144,GJ Bailey,JR Hazlewood,JW Hastings,44.25,42.77
145,GJ Bailey,JR Hazlewood,SPD Smith,84.92857143,74.46000000000001
146,GJ Bailey,JR Hazlewood,JS Paris,112.0,31.650000000000002
147,GJ Bailey,JR Hazlewood,NM Coulter-Nile,46.5,40.38
148,GJ Bailey,JR Hazlewood,JP Faulkner,46.2,42.13
149,GJ Bailey,TM Head,JR Hazlewood,66.16666667,63.47
150,MJ Clarke,JR Hazlewood,SPD Smith,103.25,72.60000000000001
151,MJ Clarke,JR Hazlewood,GJ Maxwell,61.75,60.06
152,TM Head,JR Hazlewood,CL White,99.0,41.69
153,MG Johnson,JR Hazlewood,SPD Smith,66.0,48.18
154,MG Johnson,JR Hazlewood,GJ Maxwell,57.66666667,35.64
155,MG Johnson,JR Hazlewood,JP Faulkner,21.6,15.850000000000001
156,A Zampa,JR Hazlewood,JW Hastings,23.66666667,14.42
157,JR Hazlewood,KW Richardson,JW Hastings,27.0,16.0
158,JR Hazlewood,JP Faulkner,JW Hastings,26.5,22.72
159,SD Heazlett,JR Hazlewood,PJ Cummins,40.0,9.8
160,SD Heazlett,JR Hazlewood,JP Faulkner,29.0,15.600000000000001
161,JA Richardson,A Zampa,JR Hazlewood,24.0,10.379999999999999
162,A Zampa,JR Hazlewood,SPD Smith,46.78947368,46.11
163,A Zampa,JR Hazlewood,PJ Cummins,10.26666667,7.98
164,A Zampa,JR Hazlewood,NM Lyon,20.5,6.4
165,A Zampa,JR Hazlewood,TM Head,49.16666667,35.12
166,JA Richardson,JR Hazlewood,KW Richardson,24.0,11.959999999999999
