,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,SE Marsh,SPD Smith,MS Wade,JS Paris,117.0,101.47000000000001
1,SE Marsh,SPD Smith,JP Faulkner,JS Paris,117.0,92.22000000000001
2,SE Marsh,SPD Smith,JS Paris,SM Boland,117.0,82.43
3,SE Marsh,SPD Smith,GJ Maxwell,JS Paris,143.0,112.01
4,SE Marsh,SPD Smith,GJ Bailey,JS Paris,193.0,112.27000000000001
5,SE Marsh,SPD Smith,JS Paris,JW Hastings,117.0,92.86000000000001
6,SE Marsh,SPD Smith,AJ Finch,JS Paris,188.0,121.57000000000001
7,SE Marsh,SPD Smith,JS Paris,KW Richardson,117.0,85.50000000000001
8,SE Marsh,SPD Smith,GJ Maxwell,MS Wade,136.0,131.74
9,SE Marsh,SPD Smith,UT Khawaja,DA Warner,198.5,177.46
10,SE Marsh,SPD Smith,JP Faulkner,GS Sandhu,182.0,92.22000000000001
11,SE Marsh,SPD Smith,JP Faulkner,CL White,182.0,100.97000000000001
12,SE Marsh,SPD Smith,JP Faulkner,MA Starc,183.0,96.15000000000002
13,SE Marsh,SPD Smith,JP Faulkner,PJ Cummins,182.0,96.9
14,SE Marsh,SPD Smith,JP Faulkner,MC Henriques,186.0,99.97000000000001
15,SE Marsh,SPD Smith,JP Faulkner,GJ Maxwell,160.25,122.49000000000001
16,SE Marsh,SPD Smith,JP Faulkner,AJ Finch,147.25,132.05
17,SE Marsh,SPD Smith,JP Faulkner,BJ Haddin,224.0,110.95000000000002
18,SE Marsh,SPD Smith,JP Faulkner,KW Richardson,106.33333329999999,95.98000000000002
19,SE Marsh,SPD Smith,SM Boland,MR Marsh,128.5,109.71000000000001
20,SE Marsh,SPD Smith,SM Boland,DA Warner,157.0,135.37
21,SE Marsh,SPD Smith,GJ Maxwell,SM Boland,171.0,112.7
22,SE Marsh,SPD Smith,GJ Bailey,SM Boland,120.0,112.96000000000001
23,SE Marsh,SPD Smith,SM Boland,KW Richardson,110.0,86.19000000000001
24,SE Marsh,SPD Smith,NM Lyon,MR Marsh,137.0,112.12
25,SE Marsh,SPD Smith,NM Lyon,DA Warner,157.0,137.78
26,SE Marsh,SPD Smith,GS Sandhu,CL White,147.0,90.49000000000001
27,SE Marsh,SPD Smith,MA Starc,GS Sandhu,148.0,85.67000000000002
28,SE Marsh,SPD Smith,PJ Cummins,GS Sandhu,147.0,86.42000000000002
29,SE Marsh,SPD Smith,GS Sandhu,MC Henriques,151.0,89.49000000000001
30,SE Marsh,SPD Smith,GJ Maxwell,GS Sandhu,184.0,112.01
31,SE Marsh,SPD Smith,AJ Finch,GS Sandhu,179.0,121.57000000000001
32,SE Marsh,SPD Smith,GS Sandhu,BJ Haddin,189.0,100.47000000000001
33,SE Marsh,SPD Smith,MA Starc,DA Warner,188.5,138.61
34,SE Marsh,SPD Smith,PJ Cummins,DA Warner,185.5,139.36
35,SE Marsh,SPD Smith,AT Carey,DA Warner,196.5,160.71
36,SE Marsh,SPD Smith,AJ Finch,DA Warner,213.33333330000002,174.51
37,SE Marsh,SPD Smith,JP Behrendorff,DA Warner,229.0,136.41000000000003
38,SE Marsh,SPD Smith,KW Richardson,DA Warner,141.33333330000002,138.44
39,SE Marsh,SPD Smith,MA Starc,CL White,148.0,94.42000000000002
40,SE Marsh,SPD Smith,PJ Cummins,CL White,147.0,95.17000000000002
41,SE Marsh,SPD Smith,CL White,MC Henriques,151.0,98.24000000000001
42,SE Marsh,SPD Smith,GJ Maxwell,CL White,184.0,120.76
43,SE Marsh,SPD Smith,AJ Finch,CL White,179.0,130.32
44,SE Marsh,SPD Smith,BJ Haddin,CL White,189.0,109.22000000000001
45,SE Marsh,SPD Smith,MA Starc,MC Henriques,152.0,93.42000000000002
46,SE Marsh,SPD Smith,MA Starc,GJ Maxwell,122.66666670000001,115.94000000000001
47,SE Marsh,SPD Smith,MA Starc,AJ Finch,135.0,125.50000000000001
48,SE Marsh,SPD Smith,MA Starc,BJ Haddin,190.0,104.40000000000002
49,SE Marsh,SPD Smith,PJ Cummins,MC Henriques,151.0,94.17000000000002
50,SE Marsh,SPD Smith,PJ Cummins,GJ Maxwell,120.33333329999999,116.69000000000001
51,SE Marsh,SPD Smith,PJ Cummins,AJ Finch,132.6666667,126.25000000000001
52,SE Marsh,SPD Smith,PJ Cummins,BJ Haddin,189.0,105.15000000000002
53,SE Marsh,SPD Smith,GJ Maxwell,MC Henriques,188.0,119.76
54,SE Marsh,SPD Smith,AJ Finch,MC Henriques,183.0,129.32
55,SE Marsh,SPD Smith,BJ Haddin,MC Henriques,193.0,108.22000000000001
56,SE Marsh,SPD Smith,GJ Maxwell,GJ Bailey,155.33333330000002,142.54000000000002
57,SE Marsh,SPD Smith,GJ Maxwell,JW Hastings,124.33333329999999,123.13000000000001
58,SE Marsh,SPD Smith,GJ Maxwell,AJ Finch,186.6,151.84
59,SE Marsh,SPD Smith,JP Behrendorff,GJ Maxwell,122.0,113.74000000000001
60,SE Marsh,SPD Smith,GJ Maxwell,BJ Haddin,226.0,130.74
61,SE Marsh,SPD Smith,AJ Finch,GJ Bailey,152.66666669999998,152.10000000000002
62,SE Marsh,SPD Smith,GJ Bailey,KW Richardson,121.0,116.03000000000002
63,SE Marsh,SPD Smith,AJ Finch,BJ Haddin,221.0,140.3
64,SE Marsh,SPD Smith,AJ Finch,KW Richardson,132.5,125.33000000000001
65,SE Marsh,JS Paris,JP Faulkner,MS Wade,71.0,69.14
66,SE Marsh,JS Paris,MS Wade,SM Boland,71.0,59.349999999999994
67,SE Marsh,JS Paris,GJ Maxwell,MS Wade,97.0,88.93
68,SE Marsh,JS Paris,MS Wade,GJ Bailey,147.0,89.19
69,SE Marsh,JS Paris,MS Wade,JW Hastings,71.0,69.78
70,SE Marsh,JS Paris,MS Wade,AJ Finch,142.0,98.49
71,SE Marsh,JS Paris,MS Wade,KW Richardson,71.0,62.419999999999995
72,SE Marsh,JS Paris,JP Faulkner,SM Boland,71.0,50.099999999999994
73,SE Marsh,JS Paris,JP Faulkner,GJ Maxwell,97.0,79.67999999999999
74,SE Marsh,JS Paris,JP Faulkner,GJ Bailey,147.0,79.94
75,SE Marsh,JS Paris,JP Faulkner,JW Hastings,71.0,60.529999999999994
76,SE Marsh,JS Paris,JP Faulkner,AJ Finch,142.0,89.24
77,SE Marsh,JS Paris,JP Faulkner,KW Richardson,71.0,53.169999999999995
78,SE Marsh,JS Paris,GJ Maxwell,SM Boland,97.0,69.89
79,SE Marsh,JS Paris,GJ Bailey,SM Boland,147.0,70.15
80,SE Marsh,JS Paris,SM Boland,JW Hastings,71.0,50.739999999999995
81,SE Marsh,JS Paris,AJ Finch,SM Boland,142.0,79.44999999999999
82,SE Marsh,JS Paris,SM Boland,KW Richardson,71.0,43.379999999999995
83,SE Marsh,JS Paris,GJ Maxwell,GJ Bailey,173.0,99.73
84,SE Marsh,JS Paris,GJ Maxwell,JW Hastings,97.0,80.32000000000001
85,SE Marsh,JS Paris,GJ Maxwell,AJ Finch,168.0,109.03
86,SE Marsh,JS Paris,GJ Maxwell,KW Richardson,97.0,72.96000000000001
87,SE Marsh,JS Paris,GJ Bailey,JW Hastings,147.0,80.58000000000001
88,SE Marsh,JS Paris,AJ Finch,GJ Bailey,218.0,109.28999999999999
89,SE Marsh,JS Paris,GJ Bailey,KW Richardson,147.0,73.22000000000001
90,SE Marsh,JS Paris,AJ Finch,JW Hastings,142.0,89.88
91,SE Marsh,JS Paris,KW Richardson,JW Hastings,71.0,53.809999999999995
92,SE Marsh,JS Paris,AJ Finch,KW Richardson,142.0,82.52
93,SE Marsh,JP Faulkner,MS Wade,MR Marsh,110.0,96.42
94,SE Marsh,JP Faulkner,GJ Maxwell,MS Wade,120.0,99.41
95,SE Marsh,JP Faulkner,MS Wade,GJ Bailey,101.2,99.67
96,SE Marsh,KW Richardson,JP Faulkner,MS Wade,85.66666667,72.9
97,SE Marsh,MS Wade,SM Boland,MR Marsh,115.0,86.63
98,SE Marsh,MS Wade,SM Boland,DA Warner,165.0,112.28999999999999
99,SE Marsh,GJ Maxwell,MS Wade,SM Boland,130.5,89.62
100,SE Marsh,GJ Bailey,MS Wade,SM Boland,95.66666667,89.88000000000001
101,SE Marsh,KW Richardson,MS Wade,SM Boland,69.5,63.11
102,SE Marsh,MS Wade,NM Lyon,MR Marsh,145.0,89.03999999999999
103,SE Marsh,MS Wade,NM Lyon,DA Warner,165.0,114.69999999999999
104,SE Marsh,MS Wade,DA Warner,MR Marsh,160.5,138.88
105,SE Marsh,MS Wade,AJ Finch,MR Marsh,128.5,125.77
106,SE Marsh,TM Head,MS Wade,GJ Bailey,149.0,121.01
107,SE Marsh,MA Starc,MS Wade,GJ Bailey,125.0,93.12
108,SE Marsh,GJ Maxwell,MS Wade,GJ Bailey,134.66666669999998,119.46000000000001
109,SE Marsh,GJ Maxwell,MS Wade,JW Hastings,103.66666670000001,100.05000000000001
110,SE Marsh,GJ Maxwell,MS Wade,AJ Finch,176.5,128.76
111,SE Marsh,KW Richardson,GJ Maxwell,MS Wade,107.33333329999999,92.69
112,SE Marsh,MS Wade,GJ Bailey,AJ Finch,132.0,129.01999999999998
113,SE Marsh,A Zampa,MS Wade,GJ Bailey,118.0,91.37
114,SE Marsh,KW Richardson,MS Wade,GJ Bailey,100.33333329999999,92.95
115,SE Marsh,KW Richardson,MS Wade,AJ Finch,115.5,102.25
116,SE Marsh,TM Head,NM Lyon,MG Neser,169.0,77.85
117,SE Marsh,JA Richardson,NM Lyon,MG Neser,111.0,53.11
118,SE Marsh,B Stanlake,NM Lyon,MG Neser,106.0,46.6
119,SE Marsh,AT Carey,NM Lyon,MG Neser,112.0,72.06
120,SE Marsh,AJ Finch,NM Lyon,MG Neser,206.0,85.85999999999999
121,SE Marsh,AC Agar,NM Lyon,MG Neser,125.0,60.57
122,SE Marsh,MP Stoinis,NM Lyon,MG Neser,107.0,71.16999999999999
123,SE Marsh,TD Paine,NM Lyon,MG Neser,109.0,63.03
124,SE Marsh,TM Head,JA Richardson,MG Neser,171.0,81.83
125,SE Marsh,TM Head,MG Neser,B Stanlake,100.5,75.32
126,SE Marsh,TM Head,AT Carey,MG Neser,172.0,100.78
127,SE Marsh,TM Head,AJ Finch,MG Neser,160.0,114.58
128,SE Marsh,TM Head,AC Agar,MG Neser,130.0,89.28999999999999
129,SE Marsh,TM Head,MP Stoinis,MG Neser,112.0,99.89
130,SE Marsh,TM Head,TD Paine,MG Neser,108.0,91.75
131,SE Marsh,JA Richardson,MG Neser,B Stanlake,108.0,50.58
132,SE Marsh,JA Richardson,AT Carey,MG Neser,114.0,76.03999999999999
133,SE Marsh,JA Richardson,AJ Finch,MG Neser,208.0,89.84
134,SE Marsh,JA Richardson,AC Agar,MG Neser,127.0,64.55
135,SE Marsh,JA Richardson,MP Stoinis,MG Neser,109.0,75.15
136,SE Marsh,JA Richardson,TD Paine,MG Neser,111.0,67.00999999999999
137,SE Marsh,B Stanlake,GJ Maxwell,MG Neser,92.0,73.77
138,SE Marsh,B Stanlake,AT Carey,MG Neser,109.0,69.53
139,SE Marsh,B Stanlake,AJ Finch,MG Neser,126.0,83.33
140,SE Marsh,B Stanlake,AC Agar,MG Neser,96.0,58.04
141,SE Marsh,B Stanlake,MP Stoinis,MG Neser,78.0,68.64
142,SE Marsh,B Stanlake,TD Paine,MG Neser,74.0,60.5
143,SE Marsh,AJ Tye,GJ Maxwell,MG Neser,111.0,81.34
144,SE Marsh,GJ Maxwell,AC Agar,MG Neser,132.0,87.74000000000001
145,SE Marsh,GJ Maxwell,MP Stoinis,MG Neser,114.0,98.34
146,SE Marsh,TD Paine,GJ Maxwell,MG Neser,104.0,90.2
147,SE Marsh,KW Richardson,GJ Maxwell,MG Neser,93.0,76.96
148,SE Marsh,AT Carey,AJ Finch,MG Neser,209.0,108.79
149,SE Marsh,AT Carey,AC Agar,MG Neser,128.0,83.5
