Result,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
won,DA Warner,127,AJ Finch,15,SR Watson,16,SPD Smith,37,GJ Bailey,10,GJ Maxwell,0,BJ Haddin,16,JP Faulkner,6,MA Starc,0,PJ Cummins,0,XJ Doherty,0
won,AJ Finch,96,DA Warner,24,SR Watson,41,SPD Smith,47,GJ Maxwell,20,GJ Bailey,5,BJ Haddin,13,JP Faulkner,9,MA Starc,0,PJ Cummins,0,GS Sandhu,0
won,AJ Finch,32,SE Marsh,45,SPD Smith,102,CL White,0,GJ Maxwell,37,JP Faulkner,35,BJ Haddin,42,MC Henriques,4,MA Starc,1,PJ Cummins,0,GS Sandhu,0
won,AJ Finch,0,DA Warner,12,SPD Smith,40,GJ Bailey,2,GJ Maxwell,95,MR Marsh,60,BJ Haddin,9,JP Faulkner,50,MG Johnson,3,MA Starc,0,JR Hazlewood,0
won,DA Warner,22,AJ Finch,135,SR Watson,0,SPD Smith,5,GJ Bailey,55,GJ Maxwell,66,MR Marsh,23,BJ Haddin,31,MG Johnson,0,MA Starc,0,JR Hazlewood,0
lost,AJ Finch,14,DA Warner,34,SR Watson,23,MJ Clarke,12,SPD Smith,4,GJ Maxwell,1,MR Marsh,0,BJ Haddin,43,MG Johnson,1,MA Starc,0,PJ Cummins,7
won,DA Warner,178,AJ Finch,4,SPD Smith,95,GJ Maxwell,88,JP Faulkner,7,MR Marsh,8,BJ Haddin,20,MJ Clarke,0,MA Starc,0,MG Johnson,0,JR Hazlewood,0
won,AJ Finch,24,DA Warner,9,SPD Smith,72,MJ Clarke,68,GJ Maxwell,102,SR Watson,67,JP Faulkner,0,BJ Haddin,25,MG Johnson,3,MA Starc,0,XJ Doherty,0
won,DA Warner,24,AJ Finch,2,SPD Smith,65,MJ Clarke,8,SR Watson,64,GJ Maxwell,44,BJ Haddin,0,JP Faulkner,0,MA Starc,0,MG Johnson,0,JR Hazlewood,0
won,AJ Finch,81,DA Warner,12,SPD Smith,105,GJ Maxwell,23,SR Watson,28,MJ Clarke,10,JP Faulkner,21,BJ Haddin,7,MG Johnson,27,MA Starc,0,JR Hazlewood,0
won,DA Warner,45,AJ Finch,0,SPD Smith,56,MJ Clarke,74,SR Watson,2,GJ Maxwell,0,BJ Haddin,0,JP Faulkner,0,MA Starc,0,MG Johnson,0,JR Hazlewood,0
won,JA Burns,69,DA Warner,84,SPD Smith,21,GJ Bailey,1,GJ Maxwell,2,SR Watson,26,MR Marsh,11,MS Wade,2,MA Starc,0,PJ Cummins,0,NM Coulter-Nile,0
won,JA Burns,44,DA Warner,59,SPD Smith,44,GJ Bailey,23,GJ Maxwell,15,SR Watson,6,MS Wade,71,MR Marsh,40,MA Starc,0,PJ Cummins,0,NM Coulter-Nile,0
won,JA Burns,22,DA Warner,1,SPD Smith,70,GJ Bailey,54,GJ Maxwell,49,SR Watson,39,MR Marsh,64,MS Wade,1,NM Coulter-Nile,0,PJ Cummins,0,MA Starc,0
lost,JA Burns,9,AJ Finch,53,SPD Smith,25,GJ Bailey,25,GJ Maxwell,17,MR Marsh,13,MS Wade,42,AC Agar,5,MA Starc,1,PJ Cummins,5,JL Pattinson,2
lost,JA Burns,2,AJ Finch,15,SPD Smith,5,GJ Bailey,75,GJ Maxwell,85,MR Marsh,17,MS Wade,50,MP Stoinis,4,JW Hastings,34,PJ Cummins,0,JL Pattinson,0
won,JA Burns,0,AJ Finch,70,SPD Smith,12,GJ Bailey,41,MR Marsh,0,GJ Maxwell,0,MS Wade,0,AC Agar,0,MA Starc,0,PJ Cummins,0,JW Hastings,0
won,AJ Finch,8,DA Warner,5,SPD Smith,149,GJ Bailey,112,GJ Maxwell,6,MR Marsh,12,JP Faulkner,1,MS Wade,0,SM Boland,0,JS Paris,0,JR Hazlewood,0
won,AJ Finch,71,SE Marsh,71,SPD Smith,46,GJ Bailey,76,GJ Maxwell,26,MS Wade,0,KW Richardson,0,JP Faulkner,0,SM Boland,0,JS Paris,0,JW Hastings,0
won,SE Marsh,62,AJ Finch,21,SPD Smith,41,GJ Bailey,23,GJ Maxwell,96,MR Marsh,17,MS Wade,6,JP Faulkner,21,JW Hastings,0,SM Boland,0,KW Richardson,0
