p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Anamul Haque,29,Tamim Iqbal,19,Soumya Sarkar,28,Mahmudullah,23,Shakib Al Hasan,63,Mushfiqur Rahim,71,Sabbir Rahman,3,Mashrafe Mortaza,14,Mushfiqur Rahim,3,Rubel Hossain,0,Taskin Ahmed,1
Tamim Iqbal,0,Anamul Haque,29,Soumya Sarkar,25,Mominul Haque,1,Mahmudullah,28,Shakib Al Hasan,46,Mushfiqur Rahim,36,Sabbir Rahman,53,Mashrafe Mortaza,7,Rubel Hossain,0,Taskin Ahmed,0
Tamim Iqbal,2,Imrul Kayes,2,Soumya Sarkar,40,Mahmudullah,103,Shakib Al Hasan,2,Mushfiqur Rahim,89,Sabbir Rahman,14,Mashrafe Mortaza,6,Arafat Sunny,3,Rubel Hossain,0,Taskin Ahmed,0
Tamim Iqbal,13,Imrul Kayes,2,Soumya Sarkar,51,Mahmudullah,128,Shakib Al Hasan,23,Mushfiqur Rahim,15,Sabbir Rahman,40,Nasir Hossain,11,Rubel Hossain,0,Taijul Islam,0,Taskin Ahmed,0
Tamim Iqbal,25,Imrul Kayes,5,Soumya Sarkar,29,Mahmudullah,21,Shakib Al Hasan,10,Mushfiqur Rahim,27,Sabbir Rahman,30,Nasir Hossain,35,Mashrafe Mortaza,1,Rubel Hossain,0,Taskin Ahmed,0
Tamim Iqbal,132,Soumya Sarkar,20,Mahmudullah,5,Mushfiqur Rahim,106,Shakib Al Hasan,31,Sabbir Rahman,15,Nasir Hossain,3,Abul Hasan,0,Arafat Sunny,0,Rubel Hossain,0,Taskin Ahmed,0
Tamim Iqbal,116,Soumya Sarkar,17,Mahmudullah,17,Mushfiqur Rahim,65,Shakib Al Hasan,7,Nasir Hossain,0,Sabbir Rahman,0,Mashrafe Mortaza,0,Arafat Sunny,0,Rubel Hossain,0,Taskin Ahmed,0
Tamim Iqbal,64,Soumya Sarkar,127,Mahmudullah,4,Mushfiqur Rahim,49,Sabbir Rahman,0,Nasir Hossain,0,Shakib Al Hasan,0,Mashrafe Mortaza,0,Arafat Sunny,0,Rubel Hossain,0,Taskin Ahmed,0
Tamim Iqbal,60,Soumya Sarkar,54,Liton Das,8,Mushfiqur Rahim,14,Shakib Al Hasan,52,Sabbir Rahman,41,Nasir Hossain,34,Mashrafe Mortaza,21,Rubel Hossain,4,Taskin Ahmed,2,Mustafizur Rahman,0
Tamim Iqbal,13,Soumya Sarkar,34,Liton Das,36,Mushfiqur Rahim,31,Shakib Al Hasan,51,Sabbir Rahman,22,Nasir Hossain,0,Mashrafe Mortaza,0,Mustafizur Rahman,0,Rubel Hossain,0,Taskin Ahmed,0
Tamim Iqbal,5,Soumya Sarkar,40,Liton Das,34,Mushfiqur Rahim,24,Shakib Al Hasan,20,Sabbir Rahman,43,Nasir Hossain,32,Mashrafe Mortaza,0,Arafat Sunny,14,Rubel Hossain,2,Mustafizur Rahman,9
Tamim Iqbal,0,Soumya Sarkar,27,Liton Das,0,Mahmudullah,0,Shakib Al Hasan,48,Mushfiqur Rahim,24,Sabbir Rahman,5,Nasir Hossain,31,Mashrafe Mortaza,4,Jubair Hossain,5,Mustafizur Rahman,0
Tamim Iqbal,5,Soumya Sarkar,88,Liton Das,17,Mahmudullah,50,Shakib Al Hasan,0,Nasir Hossain,0,Sabbir Rahman,0,Mushfiqur Rahim,0,Mustafizur Rahman,0,Mashrafe Mortaza,0,Rubel Hossain,0
Tamim Iqbal,61,Soumya Sarkar,90,Liton Das,5,Mushfiqur Rahim,0,Sabbir Rahman,0,Nasir Hossain,0,Shakib Al Hasan,0,Mashrafe Mortaza,0,Mustafizur Rahman,0,Mahmudullah,0,Rubel Hossain,0
Tamim Iqbal,40,Liton Das,0,Mahmudullah,9,Mushfiqur Rahim,107,Shakib Al Hasan,16,Sabbir Rahman,57,Nasir Hossain,0,Mashrafe Mortaza,14,Arafat Sunny,15,Al-Amin Hossain,0,Mustafizur Rahman,0
Tamim Iqbal,19,Imrul Kayes,76,Liton Das,7,Mahmudullah,4,Mushfiqur Rahim,21,Sabbir Rahman,33,Nasir Hossain,41,Mashrafe Mortaza,13,Arafat Sunny,3,Al-Amin Hossain,1,Mustafizur Rahman,5
Tamim Iqbal,73,Imrul Kayes,73,Mushfiqur Rahim,28,Liton Das,17,Mahmudullah,52,Sabbir Rahman,1,Nasir Hossain,0,Mashrafe Mortaza,16,Arafat Sunny,3,Mustafizur Rahman,1,Al-Amin Hossain,0
Tamim Iqbal,80,Soumya Sarkar,0,Imrul Kayes,37,Mahmudullah,62,Shakib Al Hasan,48,Mushfiqur Rahim,6,Sabbir Rahman,2,Mashrafe Mortaza,4,Taijul Islam,11,Taskin Ahmed,2,Rubel Hossain,1
Tamim Iqbal,20,Soumya Sarkar,20,Mahmudullah,25,Mushfiqur Rahim,38,Shakib Al Hasan,17,Sabbir Rahman,4,Mosaddek Hossain,45,Mashrafe Mortaza,2,Taijul Islam,10,Taskin Ahmed,0,Rubel Hossain,10
Tamim Iqbal,118,Soumya Sarkar,11,Sabbir Rahman,65,Shakib Al Hasan,17,Mushfiqur Rahim,12,Mahmudullah,32,Mosaddek Hossain,4,Mosharraf Hossain,4,Mashrafe Mortaza,2,Shafiul Islam,2,Taskin Ahmed,0
Tamim Iqbal,17,Imrul Kayes,112,Sabbir Rahman,18,Mahmudullah,25,Mushfiqur Rahim,12,Shakib Al Hasan,79,Mosaddek Hossain,0,Mashrafe Mortaza,1,Mosharraf Hossain,7,Shafiul Islam,0,Taskin Ahmed,1
Tamim Iqbal,14,Imrul Kayes,11,Sabbir Rahman,3,Mahmudullah,75,Mushfiqur Rahim,21,Shakib Al Hasan,3,Mosaddek Hossain,29,Nasir Hossain,27,Mashrafe Mortaza,44,Shafiul Islam,0,Taskin Ahmed,0
Tamim Iqbal,45,Imrul Kayes,46,Sabbir Rahman,49,Mahmudullah,6,Mushfiqur Rahim,67,Shakib Al Hasan,4,Nasir Hossain,4,Mosaddek Hossain,38,Mashrafe Mortaza,0,Taskin Ahmed,0,Shafiul Islam,0
Tamim Iqbal,38,Imrul Kayes,16,Soumya Sarkar,1,Mahmudullah,0,Shakib Al Hasan,59,Mushfiqur Rahim,42,Sabbir Rahman,16,Mosaddek Hossain,50,Mashrafe Mortaza,14,Taskin Ahmed,2,Mustafizur Rahman,0
Tamim Iqbal,16,Imrul Kayes,59,Sabbir Rahman,38,Mahmudullah,1,Shakib Al Hasan,7,Mosaddek Hossain,3,Tanbir Hayder,2,Nurul Hasan,24,Mashrafe Mortaza,17,Taskin Ahmed,0,Subashis Roy,1
Tamim Iqbal,59,Imrul Kayes,44,Sabbir Rahman,19,Mahmudullah,3,Shakib Al Hasan,18,Mosaddek Hossain,11,Nurul Hasan,44,Tanbir Hayder,3,Mashrafe Mortaza,14,Taskin Ahmed,4,Mustafizur Rahman,0
Tamim Iqbal,127,Soumya Sarkar,10,Sabbir Rahman,54,Mushfiqur Rahim,1,Shakib Al Hasan,72,Mosaddek Hossain,24,Mahmudullah,13,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Taskin Ahmed,0,Mustafizur Rahman,0
