player-1,player-2,avg
Mosharraf Hossain,Nurul Hasan,0
Abu Hider,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,0
Mosharraf Hossain,Taskin Ahmed,6
Mohammad Mithun,Mosharraf Hossain,0
Mominul Haque,Mosharraf Hossain,0
Mosharraf Hossain,Mushfiqur Rahim,17.5
Al-Amin Hossain,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,0
Mashrafe Mortaza,Mosharraf Hossain,7
Sunzamul Islam,Mosharraf Hossain,0
Mosharraf Hossain,Mosaddek Hossain,7.5
Ariful Haque,Mosharraf Hossain,0
Fazle Mahmud,Mosharraf Hossain,0
Arafat Sunny,Mosharraf Hossain,0
Mosharraf Hossain,Rubel Hossain,0
Mehidy Hasan Miraz,Mosharraf Hossain,0
Taijul Islam,Mosharraf Hossain,0
Mahmudullah,Mosharraf Hossain,34
Mosharraf Hossain,Tamim Iqbal,73
Mosharraf Hossain,Soumya Sarkar,15
Subashis Roy,Mosharraf Hossain,0
Mosharraf Hossain,Liton Das,0
Shakib Al Hasan,Mosharraf Hossain,53.5
Mustafizur Rahman,Mosharraf Hossain,0
Mosharraf Hossain,Anamul Haque,0
Mohammad Naim,Mosharraf Hossain,0
Mosharraf Hossain,Sabbir Rahman,47
Mosharraf Hossain,Shafiul Islam,6.5
Abul Hasan,Mosharraf Hossain,0
Jubair Hossain,Mosharraf Hossain,0
Mosharraf Hossain,Abu Jayed,0
Mosharraf Hossain,Afif Hossain,0
Imrul Kayes,Mosharraf Hossain,119
Mosharraf Hossain,Mohammad Saifuddin,0
Mosharraf Hossain,Najmul Hossain Shanto,0
Abu Hider,Nurul Hasan,0
Nazmul Islam,Nurul Hasan,0
Nasir Hossain,Nurul Hasan,0
Taskin Ahmed,Nurul Hasan,36
Mohammad Mithun,Nurul Hasan,0
Mominul Haque,Nurul Hasan,0
Mushfiqur Rahim,Nurul Hasan,0
Al-Amin Hossain,Nurul Hasan,0
Tanbir Hayder,Nurul Hasan,36.5
Mashrafe Mortaza,Nurul Hasan,49.5
Sunzamul Islam,Nurul Hasan,0
Mosaddek Hossain,Nurul Hasan,41
Ariful Haque,Nurul Hasan,0
Fazle Mahmud,Nurul Hasan,0
Arafat Sunny,Nurul Hasan,0
Rubel Hossain,Nurul Hasan,0
Mehidy Hasan Miraz,Nurul Hasan,0
Taijul Islam,Nurul Hasan,0
Mahmudullah,Nurul Hasan,36
Tamim Iqbal,Nurul Hasan,71.5
Soumya Sarkar,Nurul Hasan,0
