player-1,player-2,player-3,avg
Abu Hider,Mosharraf Hossain,Nurul Hasan,0
Nazmul Islam,Mosharraf Hossain,Nurul Hasan,0
Nasir Hossain,Mosharraf Hossain,Nurul Hasan,0
Taskin Ahmed,Mosharraf Hossain,Nurul Hasan,0
Mohammad Mithun,Mosharraf Hossain,Nurul Hasan,0
Mominul Haque,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Mushfiqur Rahim,Nurul Hasan,0
Al-Amin Hossain,Mosharraf Hossain,Nurul Hasan,0
Tanbir Hayder,Mosharraf Hossain,Nurul Hasan,0
Mashrafe Mortaza,Mosharraf Hossain,Nurul Hasan,0
Sunzamul Islam,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Mosaddek Hossain,Nurul Hasan,0
Ariful Haque,Mosharraf Hossain,Nurul Hasan,0
Fazle Mahmud,Mosharraf Hossain,Nurul Hasan,0
Arafat Sunny,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Rubel Hossain,Nurul Hasan,0
Mehidy Hasan Miraz,Mosharraf Hossain,Nurul Hasan,0
Taijul Islam,Mosharraf Hossain,Nurul Hasan,0
Mahmudullah,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Tamim Iqbal,Nurul Hasan,0
Mosharraf Hossain,Soumya Sarkar,Nurul Hasan,0
Subashis Roy,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Liton Das,Nurul Hasan,0
Shakib Al Hasan,Mosharraf Hossain,Nurul Hasan,0
Mustafizur Rahman,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Anamul Haque,Nurul Hasan,0
Mohammad Naim,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Sabbir Rahman,Nurul Hasan,0
Mosharraf Hossain,Shafiul Islam,Nurul Hasan,0
Abul Hasan,Mosharraf Hossain,Nurul Hasan,0
Jubair Hossain,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Abu Jayed,Nurul Hasan,0
Mosharraf Hossain,Afif Hossain,Nurul Hasan,0
Imrul Kayes,Mosharraf Hossain,Nurul Hasan,0
Mosharraf Hossain,Mohammad Saifuddin,Nurul Hasan,0
Mosharraf Hossain,Najmul Hossain Shanto,Nurul Hasan,0
Nazmul Islam,Abu Hider,Mosharraf Hossain,0
Abu Hider,Mosharraf Hossain,Nasir Hossain,0
Abu Hider,Mosharraf Hossain,Taskin Ahmed,0
Abu Hider,Mosharraf Hossain,Mohammad Mithun,0
Mominul Haque,Abu Hider,Mosharraf Hossain,0
Abu Hider,Mosharraf Hossain,Mushfiqur Rahim,0
Al-Amin Hossain,Abu Hider,Mosharraf Hossain,0
Tanbir Hayder,Abu Hider,Mosharraf Hossain,0
Mashrafe Mortaza,Abu Hider,Mosharraf Hossain,0
Sunzamul Islam,Abu Hider,Mosharraf Hossain,0
Abu Hider,Mosharraf Hossain,Mosaddek Hossain,0
Ariful Haque,Abu Hider,Mosharraf Hossain,0
Fazle Mahmud,Abu Hider,Mosharraf Hossain,0
Abu Hider,Mosharraf Hossain,Arafat Sunny,0
Abu Hider,Mosharraf Hossain,Rubel Hossain,0
Mehidy Hasan Miraz,Abu Hider,Mosharraf Hossain,0
Abu Hider,Mosharraf Hossain,Taijul Islam,0
Mahmudullah,Abu Hider,Mosharraf Hossain,0
Abu Hider,Mosharraf Hossain,Tamim Iqbal,0
Abu Hider,Mosharraf Hossain,Soumya Sarkar,0
Abu Hider,Mosharraf Hossain,Subashis Roy,0
Abu Hider,Mosharraf Hossain,Liton Das,0
Abu Hider,Mosharraf Hossain,Shakib Al Hasan,0
Mustafizur Rahman,Abu Hider,Mosharraf Hossain,0
Abu Hider,Mosharraf Hossain,Anamul Haque,0
Abu Hider,Mosharraf Hossain,Mohammad Naim,0
Abu Hider,Mosharraf Hossain,Sabbir Rahman,0
Abu Hider,Mosharraf Hossain,Shafiul Islam,0
Abul Hasan,Abu Hider,Mosharraf Hossain,0
Jubair Hossain,Abu Hider,Mosharraf Hossain,0
Abu Hider,Mosharraf Hossain,Abu Jayed,0
Abu Hider,Mosharraf Hossain,Afif Hossain,0
Abu Hider,Mosharraf Hossain,Imrul Kayes,0
Abu Hider,Mosharraf Hossain,Mohammad Saifuddin,0
Abu Hider,Mosharraf Hossain,Najmul Hossain Shanto,0
Nazmul Islam,Nasir Hossain,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Taskin Ahmed,0
Nazmul Islam,Mohammad Mithun,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Mominul Haque,0
Nazmul Islam,Mosharraf Hossain,Mushfiqur Rahim,0
Al-Amin Hossain,Nazmul Islam,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Tanbir Hayder,0
Mashrafe Mortaza,Nazmul Islam,Mosharraf Hossain,0
Sunzamul Islam,Nazmul Islam,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Mosaddek Hossain,0
Nazmul Islam,Mosharraf Hossain,Ariful Haque,0
Nazmul Islam,Fazle Mahmud,Mosharraf Hossain,0
Nazmul Islam,Arafat Sunny,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Rubel Hossain,0
Nazmul Islam,Mehidy Hasan Miraz,Mosharraf Hossain,0
Nazmul Islam,Taijul Islam,Mosharraf Hossain,0
Mahmudullah,Nazmul Islam,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Tamim Iqbal,0
Nazmul Islam,Mosharraf Hossain,Soumya Sarkar,0
Nazmul Islam,Subashis Roy,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Liton Das,0
Nazmul Islam,Shakib Al Hasan,Mosharraf Hossain,0
Nazmul Islam,Mustafizur Rahman,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Anamul Haque,0
Nazmul Islam,Mohammad Naim,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Sabbir Rahman,0
Nazmul Islam,Mosharraf Hossain,Shafiul Islam,0
Abul Hasan,Nazmul Islam,Mosharraf Hossain,0
Jubair Hossain,Nazmul Islam,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Abu Jayed,0
Nazmul Islam,Mosharraf Hossain,Afif Hossain,0
Nazmul Islam,Imrul Kayes,Mosharraf Hossain,0
Nazmul Islam,Mosharraf Hossain,Mohammad Saifuddin,0
Nazmul Islam,Mosharraf Hossain,Najmul Hossain Shanto,0
Nasir Hossain,Mosharraf Hossain,Taskin Ahmed,0
Nasir Hossain,Mosharraf Hossain,Mohammad Mithun,0
Mominul Haque,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Mushfiqur Rahim,0
Al-Amin Hossain,Nasir Hossain,Mosharraf Hossain,0
Tanbir Hayder,Nasir Hossain,Mosharraf Hossain,0
Mashrafe Mortaza,Nasir Hossain,Mosharraf Hossain,0
Sunzamul Islam,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Mosaddek Hossain,0
Ariful Haque,Nasir Hossain,Mosharraf Hossain,0
Fazle Mahmud,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Arafat Sunny,0
Nasir Hossain,Mosharraf Hossain,Rubel Hossain,0
Mehidy Hasan Miraz,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Taijul Islam,0
Mahmudullah,Nasir Hossain,Mosharraf Hossain,0
