,player-1,player-2,combined_avg,sum_of_individual
0,Mahmudullah,Mosharraf Hossain,34.0,30.15
1,Mosharraf Hossain,Tamim Iqbal,73.0,49.28
2,Shakib Al Hasan,Mosharraf Hossain,53.5,41.91
3,Mosharraf Hossain,Sabbir Rahman,47.0,26.55
4,Imrul Kayes,Mosharraf Hossain,119.0,48.75
5,Taskin Ahmed,Nurul Hasan,36.0,35.58
6,Mashrafe Mortaza,Nurul Hasan,49.5,40.04
7,Mustafizur Rahman,Nurul Hasan,44.0,35.4
8,Sabbir Rahman,Nurul Hasan,62.5,55.05
9,Imrul Kayes,Nurul Hasan,85.5,77.25
10,Abu Hider,Mominul Haque,10.0,5.5
11,Abu Hider,Mosaddek Hossain,27.0,17.14
12,Abu Hider,Soumya Sarkar,117.0,34.46
13,Abu Hider,Imrul Kayes,115.0,43.75
14,Nazmul Islam,Rubel Hossain,7.0,2.67
15,Nazmul Islam,Soumya Sarkar,78.5,35.36
16,Nazmul Islam,Liton Das,51.2,31.369999999999997
17,Nazmul Islam,Imrul Kayes,86.0,44.65
18,Nazmul Islam,Mohammad Saifuddin,16.66666667,14.58
19,Nasir Hossain,Taskin Ahmed,12.09090909,11.88
20,Nasir Hossain,Mushfiqur Rahim,50.91304348,49.53
21,Al-Amin Hossain,Nasir Hossain,14.0,10.55
22,Nasir Hossain,Mosaddek Hossain,36.0,26.94
23,Nasir Hossain,Arafat Sunny,15.85714286,15.05
24,Nasir Hossain,Tamim Iqbal,56.72727273,54.08
25,Nasir Hossain,Soumya Sarkar,60.25,44.260000000000005
26,Mustafizur Rahman,Nasir Hossain,12.64285714,11.700000000000001
27,Nasir Hossain,Shafiul Islam,15.5,11.55
28,Nasir Hossain,Jubair Hossain,36.0,15.3
29,Nasir Hossain,Imrul Kayes,55.5,53.55
30,Mushfiqur Rahim,Taskin Ahmed,41.45833333,40.809999999999995
31,Tanbir Hayder,Taskin Ahmed,4.5,4.08
32,Mashrafe Mortaza,Taskin Ahmed,10.45833333,7.62
33,Mosaddek Hossain,Taskin Ahmed,22.16666667,18.22
34,Mehidy Hasan Miraz,Taskin Ahmed,27.33333333,11.55
35,Mahmudullah,Taskin Ahmed,33.45833333,26.229999999999997
36,Tamim Iqbal,Taskin Ahmed,46.41666667,45.36
37,Mustafizur Rahman,Taskin Ahmed,4.125,2.98
38,Anamul Haque,Taskin Ahmed,29.5,17.58
39,Sabbir Rahman,Taskin Ahmed,24.19230769,22.630000000000003
40,Mohammad Saifuddin,Taskin Ahmed,16.0,14.76
41,Mohammad Mithun,Mominul Haque,38.0,26.96
42,Mohammad Mithun,Mushfiqur Rahim,66.08695652,61.19
43,Al-Amin Hossain,Mohammad Mithun,32.0,22.21
44,Mashrafe Mortaza,Mohammad Mithun,28.40909091,28.0
45,Fazle Mahmud,Mohammad Mithun,30.5,21.96
46,Mehidy Hasan Miraz,Mohammad Mithun,32.875,31.93
47,Mohammad Mithun,Soumya Sarkar,64.0,55.92
48,Mohammad Mithun,Liton Das,67.33333333,51.93
49,Mustafizur Rahman,Mohammad Mithun,25.95238095,23.36
50,Mohammad Mithun,Abu Jayed,43.0,21.96
51,Mohammad Mithun,Imrul Kayes,93.83333333,65.21000000000001
52,Mominul Haque,Mushfiqur Rahim,70.5,44.23
53,Mashrafe Mortaza,Mominul Haque,11.66666667,11.04
54,Mominul Haque,Mosaddek Hossain,35.0,21.64
55,Mehidy Hasan Miraz,Mominul Haque,15.0,14.97
56,Mahmudullah,Mominul Haque,31.66666667,29.65
57,Mominul Haque,Anamul Haque,30.0,21.0
58,Mominul Haque,Sabbir Rahman,54.0,26.05
59,Al-Amin Hossain,Mushfiqur Rahim,53.0,39.48
60,Mosaddek Hossain,Mushfiqur Rahim,57.83333333,55.87
61,Arafat Sunny,Mushfiqur Rahim,65.875,43.98
62,Mushfiqur Rahim,Rubel Hossain,44.52272727,40.5
63,Mehidy Hasan Miraz,Mushfiqur Rahim,50.83333333,49.199999999999996
64,Mahmudullah,Mushfiqur Rahim,66.27142857,63.879999999999995
65,Shakib Al Hasan,Mushfiqur Rahim,78.77586207,75.63999999999999
66,Shafiul Islam,Mushfiqur Rahim,44.0,40.48
67,Abul Hasan,Mushfiqur Rahim,69.5,42.73
68,Abu Jayed,Mushfiqur Rahim,49.0,39.23
69,Imrul Kayes,Mushfiqur Rahim,84.40909091,82.47999999999999
70,Al-Amin Hossain,Mashrafe Mortaza,11.25,6.29
