,player-1,player-2,player-3,combined_avg,sum_of_individual
0,Mahmudullah,Mosharraf Hossain,Taskin Ahmed,34.5,31.729999999999997
1,Mosharraf Hossain,Tamim Iqbal,Taskin Ahmed,73.5,50.86
2,Shakib Al Hasan,Mosharraf Hossain,Taskin Ahmed,54.0,43.489999999999995
3,Mosharraf Hossain,Sabbir Rahman,Taskin Ahmed,47.5,28.130000000000003
4,Imrul Kayes,Mosharraf Hossain,Taskin Ahmed,120.0,50.33
5,Imrul Kayes,Mosharraf Hossain,Mushfiqur Rahim,131.0,87.97999999999999
6,Mashrafe Mortaza,Mosharraf Hossain,Tamim Iqbal,74.5,55.32
7,Mashrafe Mortaza,Shakib Al Hasan,Mosharraf Hossain,55.0,47.949999999999996
8,Mashrafe Mortaza,Mosharraf Hossain,Sabbir Rahman,48.5,32.59
9,Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,120.0,54.79
10,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,75.0,65.92
11,Mosharraf Hossain,Mosaddek Hossain,Sabbir Rahman,49.0,43.19
12,Imrul Kayes,Mosharraf Hossain,Mosaddek Hossain,119.0,65.39
13,Mahmudullah,Mosharraf Hossain,Tamim Iqbal,101.5,73.93
14,Mahmudullah,Shakib Al Hasan,Mosharraf Hossain,82.0,66.56
15,Mahmudullah,Mosharraf Hossain,Sabbir Rahman,75.5,51.2
16,Mahmudullah,Mosharraf Hossain,Shafiul Islam,35.0,31.4
17,Mahmudullah,Imrul Kayes,Mosharraf Hossain,144.0,73.4
18,Mosharraf Hossain,Tamim Iqbal,Soumya Sarkar,133.0,83.24000000000001
19,Shakib Al Hasan,Mosharraf Hossain,Tamim Iqbal,121.0,85.69
20,Mosharraf Hossain,Tamim Iqbal,Sabbir Rahman,114.5,70.33
21,Mosharraf Hossain,Tamim Iqbal,Shafiul Islam,74.0,50.53
22,Imrul Kayes,Mosharraf Hossain,Tamim Iqbal,136.0,92.53
23,Mosharraf Hossain,Soumya Sarkar,Sabbir Rahman,80.0,60.510000000000005
24,Shakib Al Hasan,Mosharraf Hossain,Sabbir Rahman,95.0,62.959999999999994
25,Shakib Al Hasan,Mosharraf Hossain,Shafiul Islam,54.5,43.16
26,Shakib Al Hasan,Mosharraf Hossain,Imrul Kayes,198.0,85.16
27,Mosharraf Hossain,Shafiul Islam,Sabbir Rahman,48.0,27.8
28,Imrul Kayes,Mosharraf Hossain,Sabbir Rahman,137.0,69.8
29,Imrul Kayes,Mosharraf Hossain,Shafiul Islam,119.0,50.0
