,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,Imrul Kayes,Mosharraf Hossain,Mushfiqur Rahim,Taskin Ahmed,132.0,89.55999999999999
1,Mashrafe Mortaza,Mosharraf Hossain,Tamim Iqbal,Taskin Ahmed,75.0,56.9
2,Mashrafe Mortaza,Shakib Al Hasan,Mosharraf Hossain,Taskin Ahmed,55.5,49.529999999999994
3,Mashrafe Mortaza,Mosharraf Hossain,Sabbir Rahman,Taskin Ahmed,49.0,34.17
4,Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,Taskin Ahmed,121.0,56.37
5,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,Taskin Ahmed,75.5,67.5
6,Mosharraf Hossain,Mosaddek Hossain,Sabbir Rahman,Taskin Ahmed,49.5,44.769999999999996
7,Imrul Kayes,Mosharraf Hossain,Mosaddek Hossain,Taskin Ahmed,120.0,66.97
8,Mahmudullah,Mosharraf Hossain,Tamim Iqbal,Taskin Ahmed,102.0,75.51
9,Mahmudullah,Shakib Al Hasan,Mosharraf Hossain,Taskin Ahmed,82.5,68.14
10,Mahmudullah,Mosharraf Hossain,Sabbir Rahman,Taskin Ahmed,76.0,52.78
11,Mahmudullah,Mosharraf Hossain,Shafiul Islam,Taskin Ahmed,35.5,32.98
12,Mahmudullah,Imrul Kayes,Mosharraf Hossain,Taskin Ahmed,145.0,74.98
13,Mosharraf Hossain,Tamim Iqbal,Soumya Sarkar,Taskin Ahmed,133.0,84.82000000000001
14,Shakib Al Hasan,Mosharraf Hossain,Tamim Iqbal,Taskin Ahmed,121.5,87.27
15,Mosharraf Hossain,Tamim Iqbal,Sabbir Rahman,Taskin Ahmed,115.0,71.91
16,Mosharraf Hossain,Tamim Iqbal,Shafiul Islam,Taskin Ahmed,74.5,52.11
17,Imrul Kayes,Mosharraf Hossain,Tamim Iqbal,Taskin Ahmed,137.0,94.11
18,Mosharraf Hossain,Sabbir Rahman,Soumya Sarkar,Taskin Ahmed,80.0,62.09
19,Shakib Al Hasan,Mosharraf Hossain,Sabbir Rahman,Taskin Ahmed,95.5,64.53999999999999
20,Shakib Al Hasan,Mosharraf Hossain,Shafiul Islam,Taskin Ahmed,55.0,44.739999999999995
21,Shakib Al Hasan,Mosharraf Hossain,Imrul Kayes,Taskin Ahmed,199.0,86.74
22,Mosharraf Hossain,Shafiul Islam,Sabbir Rahman,Taskin Ahmed,48.5,29.380000000000003
23,Imrul Kayes,Mosharraf Hossain,Sabbir Rahman,Taskin Ahmed,138.0,71.38
24,Imrul Kayes,Mosharraf Hossain,Shafiul Islam,Taskin Ahmed,120.0,51.58
25,Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,Mushfiqur Rahim,132.0,94.02
26,Imrul Kayes,Mosharraf Hossain,Mosaddek Hossain,Mushfiqur Rahim,131.0,104.62
27,Mahmudullah,Mosharraf Hossain,Tamim Iqbal,Mushfiqur Rahim,113.5,113.16
28,Mahmudullah,Imrul Kayes,Mosharraf Hossain,Mushfiqur Rahim,156.0,112.63
29,Soumya Sarkar,Mosharraf Hossain,Tamim Iqbal,Mushfiqur Rahim,145.0,122.47
30,Shakib Al Hasan,Mosharraf Hossain,Tamim Iqbal,Mushfiqur Rahim,133.0,124.91999999999999
31,Mosharraf Hossain,Tamim Iqbal,Mushfiqur Rahim,Sabbir Rahman,126.5,109.55999999999999
32,Imrul Kayes,Mosharraf Hossain,Tamim Iqbal,Mushfiqur Rahim,148.0,131.76
33,Shakib Al Hasan,Mosharraf Hossain,Mushfiqur Rahim,Sabbir Rahman,107.0,102.18999999999998
34,Imrul Kayes,Shakib Al Hasan,Mosharraf Hossain,Mushfiqur Rahim,210.0,124.38999999999999
35,Imrul Kayes,Mosharraf Hossain,Mushfiqur Rahim,Sabbir Rahman,149.0,109.02999999999999
36,Imrul Kayes,Mosharraf Hossain,Mushfiqur Rahim,Shafiul Islam,131.0,89.22999999999999
37,Mashrafe Mortaza,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,76.5,71.96000000000001
38,Mashrafe Mortaza,Mosharraf Hossain,Mosaddek Hossain,Sabbir Rahman,50.5,49.230000000000004
39,Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,Mosaddek Hossain,120.0,71.43
40,Mashrafe Mortaza,Mosharraf Hossain,Tamim Iqbal,Mahmudullah,103.0,79.97
41,Mashrafe Mortaza,Shakib Al Hasan,Mosharraf Hossain,Mahmudullah,83.5,72.6
42,Mashrafe Mortaza,Mosharraf Hossain,Sabbir Rahman,Mahmudullah,77.0,57.24
43,Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,Mahmudullah,145.0,79.44
44,Mashrafe Mortaza,Mosharraf Hossain,Tamim Iqbal,Soumya Sarkar,135.0,89.28
45,Mashrafe Mortaza,Shakib Al Hasan,Mosharraf Hossain,Tamim Iqbal,122.5,91.72999999999999
46,Mashrafe Mortaza,Mosharraf Hossain,Tamim Iqbal,Sabbir Rahman,116.0,76.37
47,Mashrafe Mortaza,Mosharraf Hossain,Tamim Iqbal,Shafiul Islam,75.5,56.57
48,Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,Tamim Iqbal,137.0,98.57
49,Mashrafe Mortaza,Mosharraf Hossain,Soumya Sarkar,Sabbir Rahman,82.0,66.55
50,Mashrafe Mortaza,Shakib Al Hasan,Mosharraf Hossain,Sabbir Rahman,96.5,69.0
51,Mashrafe Mortaza,Shakib Al Hasan,Mosharraf Hossain,Shafiul Islam,56.0,49.199999999999996
52,Mashrafe Mortaza,Shakib Al Hasan,Mosharraf Hossain,Imrul Kayes,199.0,91.19999999999999
53,Mashrafe Mortaza,Mosharraf Hossain,Shafiul Islam,Sabbir Rahman,49.5,33.84
54,Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,Sabbir Rahman,138.0,75.84
55,Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,Shafiul Islam,120.0,56.04
56,Mahmudullah,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,103.5,90.57000000000001
57,Mahmudullah,Shakib Al Hasan,Mosharraf Hossain,Mosaddek Hossain,84.0,83.2
58,Mahmudullah,Mosharraf Hossain,Mosaddek Hossain,Sabbir Rahman,77.5,67.84
59,Mahmudullah,Imrul Kayes,Mosharraf Hossain,Mosaddek Hossain,144.0,90.04
60,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,Soumya Sarkar,137.0,99.88
61,Shakib Al Hasan,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,123.0,102.33
62,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,Sabbir Rahman,116.5,86.97
63,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,Shafiul Islam,76.0,67.17
64,Imrul Kayes,Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,136.0,109.17
