,player-1,player-2,avg
0,TK Curran,JM Vince,56.0
1,SW Billings,JM Vince,70.75
2,LE Plunkett,JM Vince,34.25
3,JL Denly,JM Vince,43.0
4,C Overton,JM Vince,0.0
5,MW Parkinson,JM Vince,0.0
6,SCJ Broad,JM Vince,0.0
7,JM Vince,JE Root,85.625
8,JM Vince,AD Hales,0.0
9,SM Curran,JM Vince,0.0
10,TS Roland-Jones,JM Vince,0.0
11,MM Ali,JM Vince,26.5
12,DJ Malan,JM Vince,42.0
13,CJ Jordan,JM Vince,51.0
14,DJ Willey,JM Vince,38.666666666666664
15,JM Vince,S Mahmood,23.0
16,AU Rashid,JM Vince,28.428571428571427
17,RJW Topley,JM Vince,16.0
18,JM Vince,BA Stokes,67.66666666666667
19,CR Woakes,JM Vince,35.75
20,JM Vince,JWA Taylor,0.0
21,JM Vince,EJG Morgan,72.5
22,JM Vince,JJ Roy,57.0
23,JC Tredwell,JM Vince,0.0
24,JM Vince,JC Buttler,53.3
25,JC Archer,JM Vince,21.0
26,JM Vince,GS Ballance,0.0
27,ST Finn,JM Vince,0.0
28,JT Ball,JM Vince,27.0
29,JM Anderson,JM Vince,0.0
30,JM Bairstow,JM Vince,50.0
31,OP Stone,JM Vince,0.0
32,BM Duckett,JM Vince,58.666666666666664
33,JM Vince,IR Bell,0.0
34,JM Vince,BT Foakes,79.0
35,JM Vince,T Banton,47.0
36,JM Vince,RS Bopara,0.0
37,MA Wood,JM Vince,22.2
38,JM Vince,LA Dawson,0.0
39,TK Curran,SW Billings,49.0
40,TK Curran,LE Plunkett,11.0
41,TK Curran,JL Denly,55.2
42,TK Curran,C Overton,0.0
43,TK Curran,MW Parkinson,15.0
44,TK Curran,SCJ Broad,0.0
45,TK Curran,JE Root,45.19047619047619
46,TK Curran,AD Hales,30.166666666666668
47,TK Curran,SM Curran,21.0
48,TK Curran,TS Roland-Jones,0.0
49,TK Curran,MM Ali,20.63157894736842
50,TK Curran,DJ Malan,71.0
51,TK Curran,CJ Jordan,10.5
52,TK Curran,DJ Willey,27.875
53,TK Curran,S Mahmood,18.333333333333332
54,TK Curran,AU Rashid,19.142857142857142
55,TK Curran,RJW Topley,0.0
56,TK Curran,BA Stokes,42.38461538461539
57,TK Curran,CR Woakes,28.5
58,TK Curran,JWA Taylor,0.0
59,TK Curran,EJG Morgan,44.0
60,TK Curran,JJ Roy,45.05263157894737
61,TK Curran,JC Tredwell,0.0
62,TK Curran,JC Buttler,26.705882352941178
63,TK Curran,JC Archer,35.0
64,TK Curran,GS Ballance,0.0
65,TK Curran,ST Finn,0.0
66,TK Curran,JT Ball,5.5
67,TK Curran,JM Anderson,0.0
68,TK Curran,JM Bairstow,55.526315789473685
69,TK Curran,OP Stone,0.0
70,TK Curran,BM Duckett,0.0
71,TK Curran,IR Bell,0.0
72,TK Curran,BT Foakes,108.0
73,TK Curran,T Banton,44.25
74,TK Curran,RS Bopara,0.0
