,player-1,player-2,player-3,avg
0,SW Billings,SCJ Broad,JC Tredwell,0.0
1,SW Billings,JC Tredwell,LE Plunkett,0.0
2,SW Billings,JC Tredwell,JM Bairstow,0.0
3,SW Billings,JC Archer,JC Tredwell,0.0
4,SW Billings,JL Denly,JC Tredwell,0.0
5,SW Billings,SM Curran,JC Tredwell,0.0
6,SW Billings,JWA Taylor,JC Tredwell,0.0
7,SW Billings,TS Roland-Jones,JC Tredwell,0.0
8,SW Billings,JJ Roy,JC Tredwell,0.0
9,SW Billings,JE Root,JC Tredwell,0.0
10,SW Billings,BM Duckett,JC Tredwell,0.0
11,SW Billings,AU Rashid,JC Tredwell,0.0
12,SW Billings,CJ Jordan,JC Tredwell,0.0
13,SW Billings,ST Finn,JC Tredwell,0.0
14,SW Billings,IR Bell,JC Tredwell,0.0
15,SW Billings,CR Woakes,JC Tredwell,0.0
16,SW Billings,T Banton,JC Tredwell,0.0
17,SW Billings,RJW Topley,JC Tredwell,0.0
18,SW Billings,JM Vince,JC Tredwell,0.0
19,SW Billings,JC Tredwell,RS Bopara,0.0
20,SW Billings,JC Tredwell,GS Ballance,0.0
21,SW Billings,DJ Willey,JC Tredwell,0.0
22,SW Billings,JC Tredwell,TK Curran,0.0
23,SW Billings,MM Ali,JC Tredwell,0.0
24,SW Billings,JC Tredwell,LA Dawson,0.0
25,SW Billings,JC Tredwell,JC Buttler,0.0
26,SW Billings,MW Parkinson,JC Tredwell,0.0
27,SW Billings,OP Stone,JC Tredwell,0.0
28,SW Billings,JC Tredwell,JM Anderson,0.0
29,SW Billings,JC Tredwell,C Overton,0.0
30,SW Billings,DJ Malan,JC Tredwell,0.0
31,SW Billings,AD Hales,JC Tredwell,0.0
32,SW Billings,JC Tredwell,MA Wood,0.0
33,SW Billings,S Mahmood,JC Tredwell,0.0
34,SW Billings,BA Stokes,JC Tredwell,0.0
35,SW Billings,BT Foakes,JC Tredwell,0.0
36,SW Billings,JC Tredwell,EJG Morgan,0.0
37,SW Billings,JC Tredwell,JT Ball,0.0
38,SW Billings,SCJ Broad,LE Plunkett,0.0
39,SW Billings,SCJ Broad,JM Bairstow,0.0
40,SW Billings,JC Archer,SCJ Broad,0.0
41,SW Billings,SCJ Broad,JL Denly,0.0
42,SW Billings,SM Curran,SCJ Broad,0.0
43,SW Billings,JWA Taylor,SCJ Broad,0.0
44,SW Billings,TS Roland-Jones,SCJ Broad,0.0
45,SW Billings,JJ Roy,SCJ Broad,0.0
46,SW Billings,SCJ Broad,JE Root,0.0
47,SW Billings,SCJ Broad,BM Duckett,0.0
48,SW Billings,AU Rashid,SCJ Broad,0.0
49,SW Billings,SCJ Broad,CJ Jordan,0.0
50,SW Billings,ST Finn,SCJ Broad,0.0
51,SW Billings,IR Bell,SCJ Broad,0.0
52,SW Billings,CR Woakes,SCJ Broad,0.0
53,SW Billings,SCJ Broad,T Banton,0.0
54,SW Billings,RJW Topley,SCJ Broad,0.0
55,SW Billings,JM Vince,SCJ Broad,0.0
56,SW Billings,SCJ Broad,RS Bopara,0.0
57,SW Billings,SCJ Broad,GS Ballance,0.0
58,SW Billings,SCJ Broad,DJ Willey,0.0
59,SW Billings,SCJ Broad,TK Curran,0.0
60,SW Billings,SCJ Broad,MM Ali,0.0
61,SW Billings,SCJ Broad,LA Dawson,0.0
62,SW Billings,SCJ Broad,JC Buttler,0.0
63,SW Billings,MW Parkinson,SCJ Broad,0.0
64,SW Billings,OP Stone,SCJ Broad,0.0
65,SW Billings,SCJ Broad,JM Anderson,0.0
66,SW Billings,SCJ Broad,C Overton,0.0
67,SW Billings,DJ Malan,SCJ Broad,0.0
68,SW Billings,SCJ Broad,AD Hales,0.0
69,SW Billings,SCJ Broad,MA Wood,0.0
70,SW Billings,SCJ Broad,S Mahmood,0.0
71,SW Billings,BA Stokes,SCJ Broad,0.0
72,SW Billings,SCJ Broad,BT Foakes,0.0
73,SW Billings,SCJ Broad,EJG Morgan,0.0
74,SW Billings,SCJ Broad,JT Ball,0.0
75,SW Billings,JM Bairstow,LE Plunkett,70.57142857142857
76,SW Billings,JC Archer,LE Plunkett,0.0
77,SW Billings,JL Denly,LE Plunkett,0.0
78,SW Billings,SM Curran,LE Plunkett,0.0
79,SW Billings,JWA Taylor,LE Plunkett,0.0
80,SW Billings,TS Roland-Jones,LE Plunkett,0.0
81,SW Billings,JJ Roy,LE Plunkett,67.0
82,SW Billings,JE Root,LE Plunkett,61.44444444444444
83,SW Billings,BM Duckett,LE Plunkett,125.0
84,SW Billings,AU Rashid,LE Plunkett,34.9
85,SW Billings,CJ Jordan,LE Plunkett,38.5
86,SW Billings,ST Finn,LE Plunkett,32.5
87,SW Billings,IR Bell,LE Plunkett,0.0
88,SW Billings,CR Woakes,LE Plunkett,56.2
89,SW Billings,T Banton,LE Plunkett,0.0
90,SW Billings,RJW Topley,LE Plunkett,0.0
91,SW Billings,JM Vince,LE Plunkett,94.0
92,SW Billings,RS Bopara,LE Plunkett,0.0
93,SW Billings,GS Ballance,LE Plunkett,0.0
94,SW Billings,DJ Willey,LE Plunkett,16.75
95,SW Billings,TK Curran,LE Plunkett,0.0
96,SW Billings,MM Ali,LE Plunkett,36.714285714285715
97,SW Billings,LA Dawson,LE Plunkett,0.0
98,SW Billings,JC Buttler,LE Plunkett,65.55555555555556
99,SW Billings,MW Parkinson,LE Plunkett,0.0
100,SW Billings,OP Stone,LE Plunkett,0.0
101,SW Billings,JM Anderson,LE Plunkett,0.0
102,SW Billings,C Overton,LE Plunkett,0.0
103,SW Billings,DJ Malan,LE Plunkett,0.0
