,player-1,player-2,combined_avg,sum_of_individual
0,S Mahmood,SW Billings,56.5,22.27
1,MM Ali,SW Billings,40.888888888888886,33.980000000000004
2,JM Vince,SW Billings,82.66666666666667,50.97
3,CR Woakes,SW Billings,52.333333333333336,32.83
4,DJ Willey,SW Billings,34.125,28.83
5,BM Duckett,SW Billings,125.0,83.77
6,JM Bairstow,SW Billings,74.63636363636364,69.54
7,TK Curran,SW Billings,37.333333333333336,33.84
8,T Banton,SW Billings,69.5,41.599999999999994
9,BA Stokes,SW Billings,57.0,55.400000000000006
10,AU Rashid,SW Billings,32.42857142857143,26.54
11,RJW Topley,SW Billings,46.0,22.27
12,JWA Taylor,SCJ Broad,49.666666666666664,48.12
13,MM Ali,SCJ Broad,14.0,12.71
14,RS Bopara,SCJ Broad,2.3333333333333335,2.33
15,ST Finn,SCJ Broad,1.5,1.22
16,JWA Taylor,MM Ali,60.285714285714285,58.83
17,JWA Taylor,JM Bairstow,95.0,94.39
18,JWA Taylor,RS Bopara,50.0,48.449999999999996
19,JWA Taylor,JM Anderson,48.666666666666664,47.12
20,IR Bell,JWA Taylor,98.66666666666667,97.12
21,ST Finn,JWA Taylor,79.66666666666667,47.339999999999996
22,JWA Taylor,JJ Roy,98.6,93.41999999999999
23,LE Plunkett,JWA Taylor,80.0,49.989999999999995
24,BA Stokes,JWA Taylor,98.5,80.25
25,S Mahmood,JE Root,49.0,48.71
26,S Mahmood,DJ Willey,23.5,6.56
27,S Mahmood,T Banton,19.333333333333332,19.33
28,S Mahmood,JL Denly,66.0,22.75
29,DJ Willey,DJ Malan,44.0,30.56
30,DJ Malan,TK Curran,71.0,35.57
31,JE Root,MM Ali,60.80392156862745,60.42
32,JE Root,JM Vince,101.0,77.41
33,JE Root,LA Dawson,75.0,52.71
34,JE Root,CR Woakes,59.97560975609756,59.27
35,JE Root,JC Buttler,82.75862068965517,81.30000000000001
36,DJ Willey,JE Root,55.74074074074074,55.27
37,JE Root,CJ Jordan,54.57142857142857,51.0
38,JE Root,JM Bairstow,97.34146341463415,95.98
39,ST Finn,JE Root,51.75,48.93
40,JE Root,T Banton,81.0,68.03999999999999
41,JE Root,AD Hales,96.35135135135135,93.74000000000001
42,EJG Morgan,JE Root,88.07936507936508,88.03
43,JE Root,MA Wood,54.625,48.74
44,JE Root,JJ Roy,97.53703703703704,95.00999999999999
45,LE Plunkett,JE Root,56.73809523809524,51.58
46,JT Ball,JE Root,49.7,48.79
47,BA Stokes,JE Root,87.1,81.84
48,JE Root,AU Rashid,54.46666666666667,52.980000000000004
49,DJ Willey,MM Ali,19.5,18.27
50,CJ Jordan,MM Ali,29.0,14.0
51,RS Bopara,MM Ali,14.5,13.040000000000001
52,JC Archer,MM Ali,13.666666666666666,13.110000000000001
53,JM Anderson,MM Ali,12.5,11.71
54,AD Hales,MM Ali,59.81818181818182,56.74
55,SM Curran,MM Ali,31.0,19.71
56,EJG Morgan,MM Ali,53.77777777777778,51.03
57,JL Denly,MM Ali,48.666666666666664,34.46
58,JJ Roy,MM Ali,58.520833333333336,58.01
59,LE Plunkett,MM Ali,16.444444444444443,14.580000000000002
60,BA Stokes,MM Ali,50.0,44.84
61,C Overton,JC Buttler,54.0,32.59
62,JM Bairstow,C Overton,79.0,47.27
63,JJ Roy,C Overton,101.0,46.3
64,CR Woakes,JM Vince,46.4,39.26
65,DJ Willey,JM Vince,38.142857142857146,35.26
66,CJ Jordan,JM Vince,51.0,30.99
67,TK Curran,JM Vince,56.5,40.269999999999996
68,EJG Morgan,JM Vince,80.57142857142857,68.02
69,MA Wood,JM Vince,32.0,28.73
70,LE Plunkett,JM Vince,34.25,31.57
71,BA Stokes,JM Vince,69.83333333333333,61.83
72,OP Stone,LA Dawson,13.0,7.0
73,EJG Morgan,LA Dawson,96.0,43.32
74,AU Rashid,LA Dawson,23.0,8.27
75,CR Woakes,CJ Jordan,17.0,12.850000000000001
76,BM Duckett,CR Woakes,83.0,72.06
77,CR Woakes,JC Archer,15.375,11.96
78,ST Finn,CR Woakes,16.833333333333332,10.780000000000001
79,AD Hales,CR Woakes,59.95,55.59
80,CR Woakes,SM Curran,27.0,18.560000000000002
81,EJG Morgan,CR Woakes,51.55813953488372,49.88
82,CR Woakes,MA Wood,10.666666666666666,10.59
83,JJ Roy,CR Woakes,64.41666666666667,56.86
84,LE Plunkett,CR Woakes,15.9,13.43
85,JT Ball,CR Woakes,15.4,10.64
86,DJ Willey,JC Buttler,42.65217391304348,39.150000000000006
87,CJ Jordan,JC Buttler,73.6,34.88
88,BM Duckett,JC Buttler,105.5,94.09
89,AD Hales,JC Buttler,90.39393939393939,77.62
90,SM Curran,JC Buttler,64.5,40.59
91,EJG Morgan,JC Buttler,73.15789473684211,71.91
92,JJ Roy,JC Buttler,84.4,78.89
93,LE Plunkett,JC Buttler,36.82051282051282,35.46
94,JT Ball,JC Buttler,39.0,32.67
95,AU Rashid,JC Buttler,38.17857142857143,36.86
96,RJW Topley,JC Buttler,65.8,32.59
97,DJ Willey,JM Bairstow,55.76,53.830000000000005
98,DJ Willey,JC Archer,20.0,7.959999999999999
99,DJ Willey,TK Curran,20.5,18.13
100,DJ Willey,T Banton,36.5,25.889999999999997
101,DJ Willey,MA Wood,10.636363636363637,6.59
102,DJ Willey,BT Foakes,81.0,67.56
103,DJ Willey,JJ Roy,56.333333333333336,52.86
104,DJ Willey,LE Plunkett,9.722222222222221,9.43
105,DJ Willey,BA Stokes,42.25,39.690000000000005
106,DJ Willey,RJW Topley,8.666666666666666,6.56
107,JC Tredwell,IR Bell,52.0,50.0
108,T Banton,CJ Jordan,32.0,21.619999999999997
109,AD Hales,CJ Jordan,47.4,47.32
110,JL Denly,CJ Jordan,66.0,25.04
111,LE Plunkett,CJ Jordan,8.0,5.16
