,player-1,player-2,player-3,combined_avg,sum_of_individual
0,S Mahmood,MM Ali,SW Billings,56.5,33.980000000000004
1,S Mahmood,JM Vince,SW Billings,77.0,50.97
2,S Mahmood,DJ Willey,SW Billings,80.0,28.83
3,S Mahmood,JM Bairstow,SW Billings,98.5,69.54
4,S Mahmood,TK Curran,SW Billings,67.0,33.84
5,S Mahmood,T Banton,SW Billings,69.5,41.599999999999994
6,S Mahmood,EJG Morgan,SW Billings,74.5,61.59
7,S Mahmood,AU Rashid,SW Billings,56.5,26.54
8,S Mahmood,RJW Topley,SW Billings,46.0,22.27
9,JE Root,CJ Jordan,SW Billings,109.0,73.27
10,ST Finn,JE Root,SW Billings,80.8,71.2
11,JE Root,AU Rashid,SW Billings,75.45454545454545,75.25
12,MM Ali,JM Vince,SW Billings,83.0,62.67999999999999
13,MM Ali,CR Woakes,SW Billings,73.0,44.540000000000006
14,MM Ali,DJ Willey,SW Billings,56.75,40.54
15,MM Ali,BM Duckett,SW Billings,126.0,95.48
16,MM Ali,JM Bairstow,SW Billings,94.14285714285714,81.25
17,MM Ali,ST Finn,SW Billings,43.0,34.2
18,MM Ali,T Banton,SW Billings,69.5,53.31
19,MM Ali,JJ Roy,SW Billings,94.875,80.28
20,MM Ali,JT Ball,SW Billings,37.5,34.06
21,MM Ali,BA Stokes,SW Billings,86.5,67.11
22,MM Ali,AU Rashid,SW Billings,41.375,38.25
23,MM Ali,RJW Topley,SW Billings,46.0,33.980000000000004
24,CR Woakes,JM Vince,SW Billings,121.0,61.53
25,JC Buttler,JM Vince,SW Billings,119.0,83.56
26,DJ Willey,JM Vince,SW Billings,100.5,57.53
27,BM Duckett,JM Vince,SW Billings,157.0,112.47
28,JM Bairstow,JM Vince,SW Billings,115.66666666666667,98.24
29,TK Curran,JM Vince,SW Billings,92.0,62.53999999999999
30,T Banton,JM Vince,SW Billings,90.0,70.3
31,EJG Morgan,JM Vince,SW Billings,95.0,90.28999999999999
32,LE Plunkett,JM Vince,SW Billings,94.0,53.84
33,JT Ball,JM Vince,SW Billings,94.0,51.05
34,BA Stokes,JM Vince,SW Billings,141.0,84.1
35,AU Rashid,JM Vince,SW Billings,82.66666666666667,55.239999999999995
36,RJW Topley,JM Vince,SW Billings,62.0,50.97
37,CR Woakes,JC Buttler,SW Billings,68.33333333333333,65.42
38,DJ Willey,CR Woakes,SW Billings,69.0,39.39
39,BM Duckett,CR Woakes,SW Billings,152.0,94.33
40,JC Archer,CR Woakes,SW Billings,40.0,34.230000000000004
41,ST Finn,CR Woakes,SW Billings,60.0,33.05
42,CR Woakes,TK Curran,SW Billings,71.0,44.400000000000006
43,EJG Morgan,CR Woakes,SW Billings,88.6,72.15
44,JJ Roy,CR Woakes,SW Billings,92.0,79.13
45,LE Plunkett,CR Woakes,SW Billings,56.2,35.7
46,JT Ball,CR Woakes,SW Billings,53.333333333333336,32.91
47,BA Stokes,CR Woakes,SW Billings,109.5,65.96000000000001
48,CR Woakes,AU Rashid,SW Billings,56.0,37.1
49,CJ Jordan,JC Buttler,SW Billings,134.0,57.150000000000006
50,BM Duckett,JC Buttler,SW Billings,150.0,116.36
51,AD Hales,JC Buttler,SW Billings,115.66666666666667,99.89
52,LE Plunkett,JC Buttler,SW Billings,61.625,57.730000000000004
53,AU Rashid,JC Buttler,SW Billings,60.77777777777778,59.129999999999995
54,DJ Willey,JM Bairstow,SW Billings,88.57142857142857,76.10000000000001
55,DJ Willey,TK Curran,SW Billings,67.0,40.4
56,DJ Willey,T Banton,SW Billings,93.0,48.16
57,DJ Willey,EJG Morgan,SW Billings,75.57142857142857,68.15
58,DJ Willey,AU Rashid,SW Billings,41.285714285714285,33.099999999999994
59,DJ Willey,RJW Topley,SW Billings,93.0,28.83
60,AU Rashid,CJ Jordan,SW Billings,74.0,28.83
61,JM Bairstow,BM Duckett,SW Billings,140.0,131.04000000000002
62,LE Plunkett,BM Duckett,SW Billings,125.0,86.64
63,JT Ball,BM Duckett,SW Billings,125.0,83.85
64,BA Stokes,BM Duckett,SW Billings,172.0,116.89999999999999
65,BM Duckett,AU Rashid,SW Billings,125.0,88.03999999999999
66,ST Finn,JM Bairstow,SW Billings,124.0,69.76
67,JM Bairstow,TK Curran,SW Billings,85.0,81.11
68,JM Bairstow,T Banton,SW Billings,111.5,88.86999999999999
69,JJ Roy,JM Bairstow,SW Billings,118.6,115.83999999999999
70,JT Ball,JM Bairstow,SW Billings,73.16666666666667,69.62
71,BA Stokes,JM Bairstow,SW Billings,137.66666666666666,102.67
72,JM Bairstow,AU Rashid,SW Billings,81.6,73.81
73,JM Bairstow,RJW Topley,SW Billings,128.0,69.54
74,JC Archer,TK Curran,SW Billings,51.0,35.24
75,JC Archer,AU Rashid,SW Billings,49.0,27.939999999999998
76,EJG Morgan,ST Finn,SW Billings,74.6,61.81
77,ST Finn,AU Rashid,SW Billings,35.4,26.759999999999998
78,T Banton,TK Curran,SW Billings,78.0,53.17
79,SM Curran,TK Curran,SW Billings,46.0,41.84
80,JJ Roy,TK Curran,SW Billings,84.33333333333333,80.14
81,AU Rashid,TK Curran,SW Billings,49.0,38.11
82,EJG Morgan,T Banton,SW Billings,87.5,80.92
83,AU Rashid,T Banton,SW Billings,69.5,45.87
84,T Banton,RJW Topley,SW Billings,61.0,41.599999999999994
85,AU Rashid,SM Curran,SW Billings,44.0,34.54
86,EJG Morgan,MA Wood,SW Billings,61.75,61.620000000000005
87,EJG Morgan,BA Stokes,SW Billings,101.66666666666667,94.72
88,EJG Morgan,AU Rashid,SW Billings,70.08333333333333,65.86
89,LE Plunkett,BA Stokes,SW Billings,67.2,58.269999999999996
90,JT Ball,BA Stokes,SW Billings,100.5,55.480000000000004
91,BA Stokes,AU Rashid,SW Billings,64.66666666666667,59.67
92,AU Rashid,RJW Topley,SW Billings,46.0,26.54
93,MM Ali,JWA Taylor,SCJ Broad,83.0,59.83
94,JWA Taylor,CR Woakes,SCJ Broad,72.5,58.68
95,JWA Taylor,RS Bopara,SCJ Broad,51.0,49.449999999999996
96,JWA Taylor,JM Anderson,SCJ Broad,49.666666666666664,48.12
97,IR Bell,JWA Taylor,SCJ Broad,99.66666666666667,98.12
98,ST Finn,JWA Taylor,SCJ Broad,70.5,48.339999999999996
99,MM Ali,JC Buttler,SCJ Broad,47.5,45.300000000000004
100,MM Ali,RS Bopara,SCJ Broad,16.0,14.040000000000001
101,MM Ali,JM Anderson,SCJ Broad,14.0,12.71
102,MM Ali,IR Bell,SCJ Broad,63.0,62.71
103,MM Ali,ST Finn,SCJ Broad,14.0,12.930000000000001
104,ST Finn,JC Buttler,SCJ Broad,35.0,33.81
105,JC Tredwell,IR Bell,SCJ Broad,52.0,51.0
106,RS Bopara,JM Anderson,SCJ Broad,2.3333333333333335,2.33
107,IR Bell,RS Bopara,SCJ Broad,52.333333333333336,52.33
108,ST Finn,RS Bopara,SCJ Broad,3.5,2.55
109,ST Finn,JM Anderson,SCJ Broad,1.5,1.22
110,JWA Taylor,JC Buttler,MM Ali,100.2,91.42000000000002
111,JWA Taylor,RS Bopara,MM Ali,83.5,60.16
112,JWA Taylor,JM Anderson,MM Ali,81.5,58.83
113,IR Bell,JWA Taylor,MM Ali,130.5,108.83000000000001
114,ST Finn,JWA Taylor,MM Ali,88.33333333333333,59.05
115,JWA Taylor,MA Wood,MM Ali,62.0,58.86
116,LE Plunkett,JWA Taylor,MM Ali,91.0,61.699999999999996
117,BA Stokes,JWA Taylor,MM Ali,109.5,91.96000000000001
118,JWA Taylor,CR Woakes,JC Buttler,94.8,90.27000000000001
119,JM Bairstow,JWA Taylor,CR Woakes,132.0,104.95
120,JWA Taylor,CR Woakes,RS Bopara,73.0,59.01
121,JWA Taylor,CR Woakes,JM Anderson,71.0,57.68
122,IR Bell,JWA Taylor,CR Woakes,120.0,107.68
123,ST Finn,JWA Taylor,CR Woakes,85.66666666666667,57.9
124,JWA Taylor,CR Woakes,JJ Roy,107.5,103.97999999999999
125,LE Plunkett,JWA Taylor,CR Woakes,116.0,60.55
126,BA Stokes,JWA Taylor,CR Woakes,129.0,90.81
127,DJ Willey,JWA Taylor,JC Buttler,88.33333333333333,86.27000000000001
128,ST Finn,JWA Taylor,JC Buttler,102.5,79.93
129,JWA Taylor,JC Buttler,JJ Roy,142.66666666666666,126.01
130,JWA Taylor,AU Rashid,JC Buttler,88.33333333333333,83.98
131,RJW Topley,JWA Taylor,JC Buttler,88.33333333333333,79.71000000000001
132,DJ Willey,LE Plunkett,JWA Taylor,70.0,56.55
133,DJ Willey,BA Stokes,JWA Taylor,94.0,86.81
134,ST Finn,JWA Taylor,JM Bairstow,118.0,94.61
135,EJG Morgan,JWA Taylor,JM Bairstow,172.0,133.71
136,JWA Taylor,JM Bairstow,JJ Roy,144.5,140.69
137,LE Plunkett,JWA Taylor,JM Bairstow,104.0,97.25999999999999
138,JWA Taylor,RS Bopara,JM Anderson,50.0,48.449999999999996
139,IR Bell,JWA Taylor,RS Bopara,100.0,98.45
140,ST Finn,JWA Taylor,RS Bopara,71.0,48.669999999999995
141,IR Bell,JWA Taylor,JM Anderson,98.66666666666667,97.12
142,ST Finn,JWA Taylor,JM Anderson,69.0,47.339999999999996
143,ST Finn,IR Bell,JWA Taylor,118.0,97.34
144,ST Finn,JWA Taylor,AD Hales,110.0,92.37
145,EJG Morgan,ST Finn,JWA Taylor,101.0,86.66
146,ST Finn,JWA Taylor,JJ Roy,164.0,93.63999999999999
147,ST Finn,JWA Taylor,LE Plunkett,102.0,50.209999999999994
148,ST Finn,JWA Taylor,BA Stokes,115.0,80.47
149,ST Finn,JWA Taylor,AU Rashid,102.0,51.61
150,EJG Morgan,JWA Taylor,MA Wood,133.0,86.47
151,EJG Morgan,JWA Taylor,JJ Roy,145.0,132.74
152,EJG Morgan,LE Plunkett,JWA Taylor,157.0,89.31
153,EJG Morgan,BA Stokes,JWA Taylor,175.5,119.57
154,EJG Morgan,JWA Taylor,AU Rashid,92.8,90.71
155,LE Plunkett,JWA Taylor,MA Wood,58.0,50.019999999999996
156,BA Stokes,JWA Taylor,MA Wood,82.0,80.28
157,LE Plunkett,JWA Taylor,JJ Roy,129.5,96.28999999999999
158,BA Stokes,JWA Taylor,JJ Roy,148.0,126.55
159,JWA Taylor,AU Rashid,JJ Roy,98.8,97.69
160,LE Plunkett,JWA Taylor,BA Stokes,107.5,83.12
161,LE Plunkett,JWA Taylor,AU Rashid,80.5,54.25999999999999
162,BA Stokes,JWA Taylor,AU Rashid,99.0,84.52
163,S Mahmood,JE Root,MM Ali,66.0,60.42
164,S Mahmood,JE Root,T Banton,81.0,68.03999999999999
165,S Mahmood,JE Root,JL Denly,115.0,71.46000000000001
166,S Mahmood,DJ Willey,MM Ali,23.5,18.27
167,S Mahmood,CJ Jordan,MM Ali,17.0,14.0
168,S Mahmood,JL Denly,MM Ali,83.0,34.46
169,S Mahmood,DJ Willey,JM Vince,44.0,35.26
170,S Mahmood,DJ Willey,JM Bairstow,65.5,53.830000000000005
171,S Mahmood,DJ Willey,T Banton,36.5,25.889999999999997
172,S Mahmood,DJ Willey,AU Rashid,23.5,10.829999999999998
173,S Mahmood,DJ Willey,RJW Topley,47.0,6.56
174,S Mahmood,T Banton,CJ Jordan,32.0,21.619999999999997
175,S Mahmood,JL Denly,CJ Jordan,66.0,25.04
176,S Mahmood,JM Bairstow,JL Denly,109.0,70.02000000000001
177,S Mahmood,JM Bairstow,RJW Topley,82.0,47.27
178,S Mahmood,JL Denly,TK Curran,71.0,34.32
179,S Mahmood,T Banton,JL Denly,98.0,42.08
180,S Mahmood,EJG Morgan,JL Denly,75.0,62.07
181,S Mahmood,JJ Roy,JL Denly,87.0,69.05
182,S Mahmood,AU Rashid,JL Denly,68.0,27.02
183,DJ Willey,DJ Malan,JM Vince,62.0,59.26
184,DJ Malan,TK Curran,JM Vince,89.0,64.27
185,DJ Willey,DJ Malan,JC Archer,44.0,31.959999999999997
186,DJ Willey,DJ Malan,TK Curran,91.0,42.129999999999995
187,DJ Willey,DJ Malan,BT Foakes,105.0,91.56
188,DJ Willey,DJ Malan,LE Plunkett,44.0,33.43
189,DJ Willey,DJ Malan,AU Rashid,44.0,34.83
190,DJ Malan,JC Archer,TK Curran,71.0,36.97
191,DJ Malan,JL Denly,TK Curran,79.0,58.32
192,BT Foakes,DJ Malan,TK Curran,132.0,96.57
193,DJ Malan,TK Curran,LE Plunkett,71.0,38.44
194,DJ Malan,AU Rashid,TK Curran,71.0,39.84
195,JE Root,JM Vince,MM Ali,117.0,89.12
196,LA Dawson,JE Root,MM Ali,75.0,64.42
197,DJ Willey,JE Root,MM Ali,68.61904761904762,66.98
198,JE Root,CJ Jordan,MM Ali,71.25,62.71
199,JE Root,JM Bairstow,MM Ali,108.41935483870968,107.69
200,JE Root,JC Archer,MM Ali,72.0,61.82
201,JE Root,T Banton,MM Ali,98.0,79.75
202,JE Root,AD Hales,MM Ali,110.48387096774194,105.45000000000002
203,EJG Morgan,JE Root,MM Ali,102.89795918367346,99.74000000000001
204,JE Root,MA Wood,MM Ali,66.78260869565217,60.45
205,JE Root,JL Denly,MM Ali,91.33333333333333,83.17000000000002
206,JJ Roy,JE Root,MM Ali,108.61904761904762,106.72
207,LE Plunkett,JE Root,MM Ali,70.4375,63.29
208,JT Ball,JE Root,MM Ali,61.25,60.5
