,player-1,player-2,combined_avg,sum_of_individual
0,TK Curran,JM Vince,56.0,35.7
1,SW Billings,JM Vince,70.75,51.7
2,LE Plunkett,JM Vince,34.25,27.75
3,JM Vince,JE Root,85.625,68.72
4,CJ Jordan,JM Vince,51.0,27.23
5,DJ Willey,JM Vince,38.66666666666666,31.25
6,JM Vince,BA Stokes,67.66666666666667,57.57
7,JM Vince,EJG Morgan,72.5,59.68
8,JM Vince,JC Buttler,53.3,51.78
9,JT Ball,JM Vince,27.0,25.11
10,TK Curran,SW Billings,49.0,41.4
11,TK Curran,JL Denly,55.2,48.3
12,TK Curran,MW Parkinson,15.0,12.7
13,TK Curran,SM Curran,21.0,18.95
14,TK Curran,DJ Malan,71.0,36.7
15,TK Curran,DJ Willey,27.875,20.95
16,TK Curran,S Mahmood,18.33333333333333,15.7
17,TK Curran,AU Rashid,19.142857142857142,18.99
18,TK Curran,CR Woakes,28.5,25.64
19,TK Curran,JC Archer,35.0,14.5
20,TK Curran,BT Foakes,108.0,73.7
21,TK Curran,T Banton,44.25,39.5
22,SW Billings,MM Ali,46.54545454545455,42.2
23,SW Billings,DJ Willey,38.5,36.95
24,SW Billings,S Mahmood,48.0,31.7
25,SW Billings,AU Rashid,39.31578947368421,34.99
26,SW Billings,RJW Topley,46.0,29.34
27,CR Woakes,SW Billings,69.0,41.64
28,SW Billings,EJG Morgan,73.05555555555556,65.38
29,JC Archer,SW Billings,65.66666666666667,30.5
30,SW Billings,JM Bairstow,86.7857142857143,72.79
31,BM Duckett,SW Billings,125.0,69.7
32,SW Billings,T Banton,72.0,55.5
33,SW Billings,MA Wood,33.875,29.82
34,LE Plunkett,JE Root,54.875,50.47
35,LE Plunkett,AD Hales,45.90625,43.82
36,LE Plunkett,MM Ali,19.404761904761905,18.25
37,LE Plunkett,CJ Jordan,17.75,8.98
38,LE Plunkett,BA Stokes,40.3421052631579,39.32
39,LE Plunkett,JWA Taylor,75.66666666666667,40.22
40,LE Plunkett,EJG Morgan,48.88,41.43
41,LE Plunkett,JJ Roy,53.32608695652174,44.75
42,LE Plunkett,JC Buttler,36.91304347826087,33.53
43,JC Archer,LE Plunkett,8.571428571428571,6.55
44,ST Finn,LE Plunkett,14.571428571428573,6.2
45,LE Plunkett,JM Bairstow,50.52777777777778,48.84
46,BM Duckett,LE Plunkett,63.0,45.75
47,MW Parkinson,JL Denly,87.0,35.6
48,SM Curran,JL Denly,94.0,41.85
49,CJ Jordan,JL Denly,77.0,39.83
50,JL Denly,S Mahmood,66.0,38.6
51,CR Woakes,JL Denly,63.5,48.54
52,JL Denly,JJ Roy,103.25,75.6
53,JM Bairstow,JL Denly,114.33333333333331,79.69
54,JL Denly,T Banton,101.5,62.400000000000006
55,C Overton,JJ Roy,101.0,40.0
56,C Overton,JC Buttler,54.0,28.78
57,JM Bairstow,C Overton,79.0,44.09
58,SM Curran,MW Parkinson,7.0,6.25
59,CR Woakes,MW Parkinson,40.0,12.94
60,SCJ Broad,AD Hales,63.5,43.99
61,SCJ Broad,MM Ali,23.45454545454545,18.42
62,SCJ Broad,AU Rashid,33.5,11.21
63,SCJ Broad,RJW Topley,10.0,5.56
64,JE Root,AD Hales,87.34615384615385,84.78999999999999
65,MM Ali,JE Root,61.97368421052632,59.22
66,DJ Willey,JE Root,55.38888888888889,53.97
67,JE Root,S Mahmood,49.0,48.72
68,AU Rashid,JE Root,53.382716049382715,52.01
69,RJW Topley,JE Root,55.22222222222222,46.36
70,JE Root,BA Stokes,88.74137931034483,80.28999999999999
71,CR Woakes,JE Root,59.859375,58.66
72,JE Root,JJ Roy,88.97297297297297,85.72
73,JE Root,JC Buttler,76.14942528735631,74.5
74,JE Root,GS Ballance,66.0,54.39
75,JT Ball,JE Root,49.0,47.83
76,JM Bairstow,JE Root,90.05357142857143,89.81
77,MA Wood,JE Root,48.10869565217392,46.839999999999996
78,MM Ali,AD Hales,55.21276595744681,52.57
79,CJ Jordan,AD Hales,47.444444444444436,43.3
80,AU Rashid,AD Hales,45.846153846153854,45.36
81,RJW Topley,AD Hales,56.5,39.71
82,BA Stokes,AD Hales,74.02777777777777,73.64
83,CR Woakes,AD Hales,55.67741935483871,52.01
84,AD Hales,EJG Morgan,77.0,75.75
85,JC Buttler,AD Hales,73.95918367346937,67.85
86,IR Bell,AD Hales,89.5,84.57
87,SM Curran,MM Ali,35.0,19.75
88,SM Curran,AU Rashid,25.66666666666667,12.54
89,SM Curran,BA Stokes,69.0,40.82
90,SM Curran,CR Woakes,37.0,19.189999999999998
91,SM Curran,JC Buttler,43.66666666666666,35.03
92,SM Curran,JT Ball,16.0,8.36
93,TS Roland-Jones,DJ Willey,63.0,45.25
94,ST Finn,TS Roland-Jones,40.0,38.45
95,TS Roland-Jones,JT Ball,44.0,39.11
96,TS Roland-Jones,JM Bairstow,88.0,81.09
97,CJ Jordan,MM Ali,25.714285714285715,17.73
98,DJ Willey,MM Ali,22.142857142857146,21.75
99,MM Ali,BA Stokes,50.14285714285714,48.07
100,MM Ali,JWA Taylor,50.77777777777778,48.97
101,MM Ali,EJG Morgan,51.5609756097561,50.18
102,MM Ali,JC Buttler,42.607594936708864,42.28
103,MM Ali,GS Ballance,23.66666666666667,22.17
104,ST Finn,MM Ali,17.428571428571427,14.95
105,JT Ball,MM Ali,16.866666666666667,15.61
106,JM Anderson,MM Ali,21.875,15.06
107,MM Ali,IR Bell,65.1111111111111,59.0
108,MM Ali,RS Bopara,35.2,23.0
109,DJ Malan,DJ Willey,44.0,32.25
110,CJ Jordan,AU Rashid,17.75,10.52
111,CJ Jordan,RJW Topley,5.666666666666668,4.87
