,player-1,player-2,player-3,combined_avg,sum_of_individual
0,SW Billings,BM Duckett,LE Plunkett,125.0,74.45
1,SW Billings,CJ Jordan,LE Plunkett,38.5,37.68
2,SW Billings,CR Woakes,LE Plunkett,56.2,46.39
3,SW Billings,JM Vince,LE Plunkett,94.0,56.45
4,SW Billings,JC Buttler,LE Plunkett,65.55555555555556,62.230000000000004
5,SW Billings,BA Stokes,LE Plunkett,70.0,68.02
6,SW Billings,JC Archer,JM Bairstow,131.0,74.59
7,SW Billings,JJ Roy,JM Bairstow,121.84615384615385,112.79
8,SW Billings,JE Root,JM Bairstow,119.44444444444444,118.51
9,SW Billings,BM Duckett,JM Bairstow,140.0,113.79
10,SW Billings,AU Rashid,JM Bairstow,94.53846153846152,79.08000000000001
11,SW Billings,ST Finn,JM Bairstow,124.0,74.24000000000001
12,SW Billings,CR Woakes,JM Bairstow,123.0,85.73
13,SW Billings,T Banton,JM Bairstow,101.33333333333331,99.59
14,SW Billings,RJW Topley,JM Bairstow,128.0,73.43
15,SW Billings,JM Vince,JM Bairstow,96.5,95.79
16,SW Billings,DJ Willey,JM Bairstow,86.75,81.04
17,SW Billings,JM Bairstow,TK Curran,100.8,85.49000000000001
18,SW Billings,MM Ali,JM Bairstow,99.0,86.29
19,SW Billings,JM Bairstow,JC Buttler,120.5,101.57000000000001
20,SW Billings,MA Wood,JM Bairstow,106.16666666666669,73.91
21,SW Billings,S Mahmood,JM Bairstow,77.33333333333333,75.79
22,SW Billings,BA Stokes,JM Bairstow,137.66666666666666,107.36
23,SW Billings,EJG Morgan,JM Bairstow,121.91666666666669,109.47
24,SW Billings,JC Archer,JJ Roy,73.66666666666667,70.5
25,SW Billings,JC Archer,JE Root,79.0,76.22
26,SW Billings,JC Archer,AU Rashid,82.66666666666667,36.79
27,SW Billings,CR Woakes,JC Archer,95.33333333333331,43.44
28,SW Billings,JC Archer,TK Curran,63.5,43.2
29,SW Billings,JC Archer,MM Ali,132.0,44.0
30,SW Billings,JC Archer,JC Buttler,69.66666666666667,59.28
31,SW Billings,JC Archer,MA Wood,91.5,31.62
32,SW Billings,JC Archer,EJG Morgan,95.0,67.18
33,SW Billings,SM Curran,AU Rashid,44.0,41.24
34,SW Billings,CR Woakes,JJ Roy,100.14285714285714,81.64
35,SW Billings,JJ Roy,MM Ali,90.7,82.2
36,SW Billings,CR Woakes,JE Root,90.33333333333331,87.36
37,SW Billings,AU Rashid,BM Duckett,125.0,75.99000000000001
38,SW Billings,CR Woakes,BM Duckett,152.0,82.64
39,SW Billings,JM Vince,BM Duckett,157.0,92.7
40,SW Billings,BM Duckett,MM Ali,126.0,83.2
41,SW Billings,BM Duckett,JC Buttler,150.0,98.48
42,SW Billings,BA Stokes,BM Duckett,172.0,104.27
43,SW Billings,BM Duckett,JT Ball,125.0,71.81
44,SW Billings,AU Rashid,CJ Jordan,61.5,39.22
