,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,TS Roland-Jones,DJ Willey,JM Bairstow,AU Rashid,114.0,95.63000000000001
1,TS Roland-Jones,DJ Willey,AU Rashid,JT Ball,70.0,53.65
2,TS Roland-Jones,DJ Willey,AU Rashid,ST Finn,66.0,52.99
3,TS Roland-Jones,DJ Willey,JM Bairstow,JT Ball,121.0,91.45
4,TS Roland-Jones,DJ Willey,JM Bairstow,ST Finn,117.0,90.79
5,TS Roland-Jones,DJ Willey,JT Ball,ST Finn,73.0,48.81
6,TS Roland-Jones,JM Bairstow,AU Rashid,JT Ball,95.0,89.49000000000001
7,TS Roland-Jones,JM Bairstow,AU Rashid,ST Finn,91.0,88.83000000000001
8,TS Roland-Jones,JT Ball,AU Rashid,ST Finn,47.0,46.85
9,TS Roland-Jones,JM Bairstow,JT Ball,ST Finn,98.0,84.65
10,DJ Willey,JWA Taylor,CR Woakes,JC Buttler,93.0,85.44
11,DJ Willey,AU Rashid,CR Woakes,JC Buttler,57.8125,56.26
12,RJW Topley,DJ Willey,CR Woakes,JC Buttler,55.75,50.61
13,BM Duckett,DJ Willey,CR Woakes,JC Buttler,106.0,90.97
14,DJ Willey,CJ Jordan,CR Woakes,JC Buttler,87.0,54.2
15,JT Ball,DJ Willey,CR Woakes,JC Buttler,59.0,52.08
16,DJ Willey,SW Billings,CR Woakes,JC Buttler,80.0,78.67
17,DJ Willey,CR Woakes,BA Stokes,JC Buttler,93.1818181818182,84.53999999999999
18,DJ Willey,CR Woakes,MM Ali,JC Buttler,64.23529411764707,63.47
19,DJ Willey,JE Root,CR Woakes,JC Buttler,101.26666666666668,95.69
20,JJ Roy,DJ Willey,CR Woakes,JC Buttler,115.33333333333331,89.97
21,TK Curran,DJ Willey,CR Woakes,JC Buttler,75.66666666666667,62.67
22,DJ Willey,CR Woakes,JM Vince,JC Buttler,101.25,72.97
23,MA Wood,LA Dawson,DJ Willey,CR Woakes,34.0,29.310000000000002
24,LA Dawson,DJ Willey,CJ Jordan,CR Woakes,41.0,32.42
25,LA Dawson,DJ Willey,CR Woakes,BA Stokes,101.0,62.76
26,JJ Roy,LA Dawson,DJ Willey,CR Woakes,113.0,68.19
27,JT Ball,DJ Willey,AU Rashid,CR Woakes,37.333333333333336,29.589999999999996
28,JJ Roy,DJ Willey,AU Rashid,CR Woakes,70.61538461538461,67.48
29,DJ Willey,AU Rashid,CR Woakes,JM Vince,54.0,50.48
30,JT Ball,DJ Willey,CR Woakes,EJG Morgan,78.66666666666667,59.98
31,DJ Willey,SW Billings,CR Woakes,EJG Morgan,112.0,86.57
32,JJ Roy,DJ Willey,CR Woakes,EJG Morgan,113.26666666666668,97.87
33,JM Vince,DJ Willey,CR Woakes,EJG Morgan,112.0,80.87
34,MA Wood,DJ Willey,CJ Jordan,CR Woakes,39.0,26.54
35,MA Wood,DJ Willey,CR Woakes,BA Stokes,99.0,56.88
36,MA Wood,DJ Willey,JJ Roy,CR Woakes,111.0,62.31
37,DJ Willey,CJ Jordan,CR Woakes,BA Stokes,106.0,59.99
38,DJ Willey,CJ Jordan,CR Woakes,JE Root,75.0,71.14
39,JJ Roy,DJ Willey,CJ Jordan,CR Woakes,84.5,65.42
40,DJ Willey,CJ Jordan,CR Woakes,JM Vince,68.0,48.42
41,JM Bairstow,DJ Willey,SW Billings,CR Woakes,125.0,93.98
42,JM Bairstow,DJ Willey,CR Woakes,BA Stokes,101.54545454545456,99.85
43,JJ Roy,JM Bairstow,DJ Willey,CR Woakes,113.63636363636364,105.28
44,JM Bairstow,DJ Willey,JL Denly,CR Woakes,128.0,100.88
45,JT Ball,DJ Willey,SW Billings,CR Woakes,69.0,52.0
46,JT Ball,DJ Willey,CR Woakes,BA Stokes,68.8,57.87
47,JT Ball,DJ Willey,CR Woakes,MM Ali,43.6,36.8
48,JT Ball,DJ Willey,JE Root,CR Woakes,80.5,69.02
49,JJ Roy,JT Ball,DJ Willey,CR Woakes,79.4,63.3
50,JT Ball,DJ Willey,CR Woakes,LE Plunkett,35.5,28.049999999999997
51,DJ Willey,SW Billings,CR Woakes,BA Stokes,126.0,84.46000000000001
52,DJ Willey,SW Billings,CR Woakes,MM Ali,71.0,63.39
53,JJ Roy,DJ Willey,SW Billings,CR Woakes,134.0,89.89
54,DJ Willey,SW Billings,CR Woakes,LE Plunkett,70.0,54.64
55,JJ Roy,DJ Willey,AD Hales,CR Woakes,124.44444444444444,100.25999999999999
56,DJ Willey,CR Woakes,MM Ali,BA Stokes,75.0,69.25999999999999
57,DJ Willey,JE Root,CR Woakes,BA Stokes,102.2,101.47999999999999
58,JJ Roy,DJ Willey,CR Woakes,BA Stokes,112.2,95.75999999999999
59,JJ Roy,DJ Willey,CR Woakes,MM Ali,85.2,74.69
60,DJ Willey,LE Plunkett,CR Woakes,MM Ali,40.25,39.44
61,JJ Roy,DJ Willey,JE Root,CR Woakes,119.28571428571428,106.91
62,DJ Willey,JE Root,CR Woakes,JM Vince,152.5,89.91
63,JJ Roy,DJ Willey,CR Woakes,LE Plunkett,102.14285714285714,65.94
64,JM Vince,DJ Willey,CR Woakes,LE Plunkett,77.0,48.94
65,TK Curran,DJ Willey,CR Woakes,JM Vince,89.0,56.89
66,DJ Willey,JWA Taylor,AU Rashid,JC Buttler,86.5,78.78999999999999
67,DJ Willey,JWA Taylor,EJG Morgan,JC Buttler,123.25,109.18
68,RJW Topley,DJ Willey,JWA Taylor,JC Buttler,84.75,73.14
69,DJ Willey,AD Hales,JWA Taylor,JC Buttler,127.5,111.57
70,DJ Willey,JWA Taylor,MM Ali,JC Buttler,88.0,86.0
71,DJ Willey,JE Root,JWA Taylor,JC Buttler,121.0,118.22
72,JJ Roy,DJ Willey,JWA Taylor,JC Buttler,125.5,112.5
73,RJW Topley,DJ Willey,AU Rashid,JC Buttler,54.714285714285715,43.96
74,BM Duckett,DJ Willey,AU Rashid,JC Buttler,111.0,84.32
75,C Overton,DJ Willey,AU Rashid,JC Buttler,54.0,43.32
76,DJ Willey,AU Rashid,CJ Jordan,JC Buttler,68.25,47.55
77,JM Bairstow,DJ Willey,AU Rashid,JC Buttler,88.3,87.41
78,JT Ball,DJ Willey,AU Rashid,JC Buttler,60.6,45.43
79,DJ Willey,AD Hales,AU Rashid,JC Buttler,83.9,82.39
80,DJ Willey,AU Rashid,BA Stokes,JC Buttler,85.0,77.89
81,DJ Willey,AU Rashid,MM Ali,JC Buttler,60.884615384615394,56.82
82,DJ Willey,JE Root,AU Rashid,JC Buttler,97.07142857142857,89.03999999999999
83,JJ Roy,DJ Willey,AU Rashid,JC Buttler,101.6153846153846,83.32
84,TK Curran,DJ Willey,AU Rashid,JC Buttler,62.75,56.019999999999996
85,DJ Willey,AU Rashid,JM Vince,JC Buttler,82.8,66.32
86,RJW Topley,DJ Willey,EJG Morgan,JC Buttler,82.14285714285714,74.35
87,MA Wood,DJ Willey,EJG Morgan,JC Buttler,92.125,74.83
88,DJ Willey,CJ Jordan,EJG Morgan,JC Buttler,84.5,77.94
89,DJ Willey,SW Billings,EJG Morgan,JC Buttler,109.33333333333331,102.41
90,DJ Willey,AD Hales,EJG Morgan,JC Buttler,112.9,112.78
91,DJ Willey,BA Stokes,EJG Morgan,JC Buttler,118.94117647058823,108.28
92,DJ Willey,MM Ali,EJG Morgan,JC Buttler,90.68,87.21000000000001
93,DJ Willey,JE Root,EJG Morgan,JC Buttler,132.67857142857142,119.43
94,JJ Roy,DJ Willey,EJG Morgan,JC Buttler,132.36,113.71000000000001
95,TK Curran,DJ Willey,EJG Morgan,JC Buttler,96.5,86.41
96,DJ Willey,ST Finn,EJG Morgan,JC Buttler,82.0,75.16
97,JM Vince,DJ Willey,EJG Morgan,JC Buttler,137.66666666666666,96.71000000000001
98,RJW Topley,DJ Willey,CJ Jordan,JC Buttler,62.66666666666666,41.900000000000006
99,RJW Topley,DJ Willey,AD Hales,JC Buttler,107.57142857142857,76.74000000000001
100,RJW Topley,DJ Willey,BA Stokes,JC Buttler,93.66666666666669,72.24000000000001
101,RJW Topley,DJ Willey,MM Ali,JC Buttler,59.57142857142857,51.17
102,RJW Topley,DJ Willey,JE Root,JC Buttler,103.0,83.39
103,JJ Roy,RJW Topley,DJ Willey,JC Buttler,86.57142857142857,77.67
104,MA Wood,C Overton,DJ Willey,JC Buttler,54.0,38.150000000000006
105,MA Wood,JM Bairstow,DJ Willey,JC Buttler,102.0,82.24000000000001
106,MA Wood,DJ Willey,AD Hales,JC Buttler,89.66666666666669,77.22
107,MA Wood,DJ Willey,MM Ali,JC Buttler,56.14285714285714,51.650000000000006
108,MA Wood,DJ Willey,JE Root,JC Buttler,91.44444444444444,83.87
109,MA Wood,DJ Willey,JJ Roy,JC Buttler,96.5,78.15
110,MA Wood,DJ Willey,LE Plunkett,JC Buttler,46.66666666666666,42.900000000000006
111,BM Duckett,JT Ball,DJ Willey,JC Buttler,108.5,80.14
112,BM Duckett,DJ Willey,BA Stokes,JC Buttler,145.0,112.6
113,BM Duckett,DJ Willey,MM Ali,JC Buttler,99.5,91.53
114,BM Duckett,DJ Willey,JJ Roy,JC Buttler,121.5,118.03
115,BM Duckett,DJ Willey,JM Vince,JC Buttler,105.0,101.03
116,C Overton,JM Bairstow,DJ Willey,JC Buttler,133.0,81.12
117,C Overton,DJ Willey,AD Hales,JC Buttler,88.0,76.1
118,C Overton,DJ Willey,MM Ali,JC Buttler,54.0,50.53
119,C Overton,DJ Willey,JJ Roy,JC Buttler,155.0,77.03
120,JM Bairstow,DJ Willey,CJ Jordan,JC Buttler,92.0,85.35000000000001
121,DJ Willey,AD Hales,CJ Jordan,JC Buttler,136.33333333333334,80.33
122,DJ Willey,CJ Jordan,BA Stokes,JC Buttler,99.33333333333331,75.83
123,DJ Willey,CJ Jordan,MM Ali,JC Buttler,77.0,54.760000000000005
124,DJ Willey,JE Root,CJ Jordan,JC Buttler,141.5,86.98
125,JJ Roy,DJ Willey,CJ Jordan,JC Buttler,93.5,81.26
126,DJ Willey,CJ Jordan,LE Plunkett,JC Buttler,79.0,46.010000000000005
127,DJ Willey,CJ Jordan,JM Vince,JC Buttler,121.0,64.26
128,JM Bairstow,DJ Willey,SW Billings,JC Buttler,128.5,109.82000000000001
129,JM Bairstow,DJ Willey,AD Hales,JC Buttler,124.6,120.19
130,JM Bairstow,DJ Willey,MM Ali,JC Buttler,95.0,94.62
131,JM Bairstow,DJ Willey,JE Root,JC Buttler,133.72222222222223,126.84
132,JJ Roy,JM Bairstow,DJ Willey,JC Buttler,149.05882352941177,121.12
133,JM Bairstow,DJ Willey,ST Finn,JC Buttler,84.0,82.57000000000001
134,JT Ball,DJ Willey,BA Stokes,JC Buttler,89.0,73.71000000000001
135,JT Ball,DJ Willey,MM Ali,JC Buttler,58.0,52.64
136,JJ Roy,JT Ball,DJ Willey,JC Buttler,87.2857142857143,79.14
137,JT Ball,DJ Willey,JM Vince,JC Buttler,89.0,62.14
138,DJ Willey,SW Billings,MM Ali,JC Buttler,84.5,79.23
139,JE Root,DJ Willey,SW Billings,JC Buttler,116.66666666666669,111.45
140,JJ Roy,DJ Willey,SW Billings,JC Buttler,111.5,105.73
141,DJ Willey,SW Billings,LE Plunkett,JC Buttler,80.5,70.48
142,DJ Willey,AD Hales,MM Ali,JC Buttler,100.38888888888887,89.6
143,DJ Willey,JE Root,AD Hales,JC Buttler,127.90476190476191,121.82
144,JJ Roy,DJ Willey,AD Hales,JC Buttler,141.21052631578948,116.1
145,DJ Willey,MM Ali,BA Stokes,JC Buttler,96.76470588235294,85.1
146,DJ Willey,JE Root,BA Stokes,JC Buttler,138.4375,117.32
147,JJ Roy,DJ Willey,BA Stokes,JC Buttler,127.0,111.6
148,TK Curran,DJ Willey,BA Stokes,JC Buttler,99.66666666666669,84.3
149,JM Vince,DJ Willey,BA Stokes,JC Buttler,95.0,94.6
150,DJ Willey,JE Root,MM Ali,JC Buttler,107.76,96.25
151,JJ Roy,DJ Willey,MM Ali,JC Buttler,115.83333333333331,90.53
152,TK Curran,DJ Willey,MM Ali,JC Buttler,67.75,63.230000000000004
153,JJ Roy,DJ Willey,JE Root,JC Buttler,147.2,122.75
154,DJ Willey,JE Root,LE Plunkett,JC Buttler,93.92307692307692,87.5
155,TK Curran,DJ Willey,JE Root,JC Buttler,115.75,95.45
156,DJ Willey,JE Root,JM Vince,JC Buttler,168.66666666666666,105.75
157,JJ Roy,DJ Willey,LE Plunkett,JC Buttler,123.72727272727272,81.78
158,JJ Roy,DJ Willey,JM Vince,JC Buttler,119.66666666666669,100.03
159,JM Vince,DJ Willey,LE Plunkett,JC Buttler,78.5,64.78
160,TK Curran,DJ Willey,JM Vince,JC Buttler,110.0,72.73
161,MA Wood,DJ Willey,JWA Taylor,AU Rashid,56.5,51.13
162,DJ Willey,JWA Taylor,AU Rashid,BA Stokes,91.5,84.58
163,DJ Willey,JWA Taylor,AU Rashid,LE Plunkett,70.0,54.76
164,MA Wood,DJ Willey,JWA Taylor,EJG Morgan,85.5,81.52000000000001
165,DJ Willey,JWA Taylor,EJG Morgan,BA Stokes,120.5,114.97
166,DJ Willey,LE Plunkett,JWA Taylor,EJG Morgan,162.0,85.15
167,MA Wood,DJ Willey,JWA Taylor,BA Stokes,80.5,79.41
168,MA Wood,DJ Willey,JWA Taylor,LE Plunkett,70.0,49.59
169,JM Bairstow,DJ Willey,JWA Taylor,LE Plunkett,101.0,92.56
170,DJ Willey,JWA Taylor,LE Plunkett,BA Stokes,111.0,83.03999999999999
171,DJ Willey,LE Plunkett,JWA Taylor,MM Ali,91.0,61.97
172,JJ Roy,DJ Willey,JWA Taylor,LE Plunkett,106.0,88.47
173,LA Dawson,DJ Willey,EJG Morgan,BA Stokes,101.0,86.5
174,JJ Roy,LA Dawson,DJ Willey,EJG Morgan,113.0,91.93
175,MA Wood,LA Dawson,DJ Willey,CJ Jordan,39.0,20.6
176,MA Wood,LA Dawson,DJ Willey,BA Stokes,99.0,50.94
177,MA Wood,LA Dawson,DJ Willey,JJ Roy,111.0,56.370000000000005
178,LA Dawson,DJ Willey,JM Bairstow,CJ Jordan,64.0,63.57000000000001
179,LA Dawson,DJ Willey,CJ Jordan,BA Stokes,106.0,54.05
180,JJ Roy,LA Dawson,DJ Willey,CJ Jordan,118.0,59.480000000000004
181,LA Dawson,DJ Willey,JM Bairstow,BA Stokes,124.0,93.91
182,JJ Roy,LA Dawson,DJ Willey,JM Bairstow,136.0,99.34
183,LA Dawson,DJ Willey,AD Hales,BA Stokes,114.0,88.89
184,JJ Roy,LA Dawson,DJ Willey,AD Hales,126.0,94.32
185,LA Dawson,DJ Willey,JE Root,BA Stokes,100.0,95.53999999999999
186,JJ Roy,LA Dawson,DJ Willey,BA Stokes,178.0,89.82
187,JJ Roy,LA Dawson,DJ Willey,JE Root,112.0,100.97
188,MA Wood,DJ Willey,AU Rashid,EJG Morgan,70.23076923076923,52.34
189,DJ Willey,SW Billings,AU Rashid,EJG Morgan,99.25,79.92
190,DJ Willey,AU Rashid,EJG Morgan,BA Stokes,87.84210526315788,85.78999999999999
191,T Banton,DJ Willey,AU Rashid,EJG Morgan,109.0,78.02
192,TK Curran,DJ Willey,AU Rashid,EJG Morgan,75.85714285714286,63.92
193,S Mahmood,DJ Willey,AU Rashid,EJG Morgan,85.0,54.22
194,DJ Willey,AU Rashid,EJG Morgan,ST Finn,62.0,52.67
195,JM Vince,DJ Willey,AU Rashid,EJG Morgan,92.71428571428572,74.22
196,MA Wood,RJW Topley,DJ Willey,AU Rashid,54.0,16.3
197,RJW Topley,DJ Willey,JM Bairstow,AU Rashid,90.0,59.27
198,RJW Topley,DJ Willey,SW Billings,AU Rashid,93.0,43.88
199,RJW Topley,DJ Willey,AD Hales,AU Rashid,61.25,54.25
200,RJW Topley,DJ Willey,AU Rashid,BA Stokes,56.5,49.75
201,RJW Topley,DJ Willey,AU Rashid,T Banton,62.0,41.980000000000004
202,RJW Topley,DJ Willey,AU Rashid,S Mahmood,47.0,18.18
203,RJW Topley,DJ Willey,AU Rashid,JM Vince,63.0,38.18
204,JC Archer,DJ Willey,AU Rashid,DJ Malan,44.0,40.34
205,BT Foakes,DJ Willey,AU Rashid,DJ Malan,105.0,99.54
206,DJ Willey,AU Rashid,LE Plunkett,DJ Malan,44.0,43.29
207,TK Curran,DJ Willey,AU Rashid,DJ Malan,91.0,51.239999999999995
208,DJ Willey,AU Rashid,JM Vince,DJ Malan,62.0,61.54
209,MA Wood,JM Bairstow,DJ Willey,AU Rashid,69.91666666666667,59.75
210,MA Wood,JT Ball,DJ Willey,AU Rashid,20.0,17.77
211,MA Wood,DJ Willey,AU Rashid,BA Stokes,50.625,50.230000000000004
212,MA Wood,DJ Willey,AU Rashid,MM Ali,31.0,29.16
213,MA Wood,DJ Willey,JE Root,AU Rashid,66.25,61.38
