InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1022,DN,England,IR Bell,0,MM Ali,22,JWA Taylor,0,JE Root,5,EJG Morgan,121,RS Bopara,13,JC Buttler,28,CR Woakes,8,CJ Jordan,17,SCJ Broad,0,ST Finn,0
1033,DN,England,IR Bell,88,MM Ali,8,JWA Taylor,56,JE Root,0,EJG Morgan,0,RS Bopara,0,JC Buttler,0,CR Woakes,0,SCJ Broad,0,JM Anderson,0,ST Finn,0
1040,DN,England,MM Ali,46,IR Bell,141,JWA Taylor,5,JE Root,69,EJG Morgan,0,JC Buttler,25,RS Bopara,7,CR Woakes,0,SCJ Broad,0,JM Anderson,0,ST Finn,0
1049,D,England,IR Bell,10,MM Ali,17,JWA Taylor,82,JE Root,3,EJG Morgan,2,RS Bopara,4,JC Buttler,67,CR Woakes,4,SCJ Broad,3,JM Anderson,0,ST Finn,0
1054,D,England,MM Ali,26,IR Bell,8,JWA Taylor,4,JE Root,25,EJG Morgan,0,RS Bopara,33,JC Buttler,17,CR Woakes,0,SCJ Broad,24,ST Finn,6,JM Anderson,5
1060,D,England,MM Ali,10,IR Bell,36,GS Ballance,10,JE Root,5,EJG Morgan,0,JWA Taylor,98,JC Buttler,10,CR Woakes,37,SCJ Broad,0,ST Finn,1,JM Anderson,8
1070,DN,England,IR Bell,8,MM Ali,20,GS Ballance,10,JE Root,46,EJG Morgan,17,JWA Taylor,0,JC Buttler,3,CR Woakes,1,SCJ Broad,4,ST Finn,0,JM Anderson,1
1086,D,England,MM Ali,15,IR Bell,49,GS Ballance,6,JE Root,121,EJG Morgan,27,JWA Taylor,25,JC Buttler,39,CR Woakes,9,SCJ Broad,0,ST Finn,0,JM Anderson,0
1104,DN,England,MM Ali,19,IR Bell,63,AD Hales,27,JE Root,29,EJG Morgan,0,JWA Taylor,1,JC Buttler,65,CR Woakes,42,CJ Jordan,0,SCJ Broad,9,JM Anderson,0
1109,DN,England,AD Hales,37,IR Bell,52,JWA Taylor,8,JE Root,0,EJG Morgan,0,JC Buttler,0,RS Bopara,0,CJ Jordan,0,JC Tredwell,0,SCJ Broad,0,JM Anderson,0
1139,DN,England,JJ Roy,0,AD Hales,20,JE Root,104,EJG Morgan,50,BA Stokes,10,JC Buttler,129,SW Billings,3,AU Rashid,69,CJ Jordan,2,LE Plunkett,13,ST Finn,0
1142,DN,England,JJ Roy,39,AD Hales,54,JE Root,6,EJG Morgan,88,BA Stokes,28,JC Buttler,41,SW Billings,12,AU Rashid,34,LE Plunkett,44,CJ Jordan,3,ST Finn,6
1144,D,England,JJ Roy,9,AD Hales,23,JE Root,54,EJG Morgan,71,BA Stokes,68,JC Buttler,13,SW Billings,34,AU Rashid,0,DJ Willey,8,MA Wood,3,ST Finn,0
1145,DN,England,JJ Roy,38,AD Hales,67,JE Root,106,EJG Morgan,113,BA Stokes,19,JC Buttler,0,SW Billings,0,AU Rashid,0,DJ Willey,0,MA Wood,0,ST Finn,0
1149,D,England,JJ Roy,12,AD Hales,1,JE Root,4,EJG Morgan,0,BA Stokes,17,JM Bairstow,83,SW Billings,41,DJ Willey,7,AU Rashid,12,MA Wood,0,ST Finn,0
1192,DN,England,JJ Roy,67,AD Hales,22,JWA Taylor,49,EJG Morgan,38,BA Stokes,13,JC Buttler,4,MM Ali,17,CR Woakes,0,AU Rashid,11,MA Wood,10,ST Finn,10
1194,D,England,JJ Roy,31,AD Hales,18,JWA Taylor,43,EJG Morgan,85,BA Stokes,10,JC Buttler,0,MM Ali,8,CR Woakes,6,AU Rashid,2,LE Plunkett,24,ST Finn,1
1195,DN,England,JJ Roy,63,AD Hales,9,JWA Taylor,101,EJG Morgan,62,BA Stokes,14,JM Bairstow,17,MM Ali,1,LE Plunkett,1,CR Woakes,14,AU Rashid,1,ST Finn,0
1197,D,England,JJ Roy,36,AD Hales,0,JWA Taylor,41,EJG Morgan,92,BA Stokes,41,JM Bairstow,31,MM Ali,21,LE Plunkett,17,DJ Willey,12,AU Rashid,0,MA Wood,0
1200,D,England,JJ Roy,4,AD Hales,4,JWA Taylor,12,EJG Morgan,1,BA Stokes,42,JM Bairstow,10,MM Ali,5,DJ Willey,0,AU Rashid,35,MA Wood,13,RJW Topley,6
1246,DN,England,JJ Roy,0,AD Hales,10,JE Root,0,EJG Morgan,76,JWA Taylor,60,JC Buttler,1,MM Ali,7,CR Woakes,33,AU Rashid,7,DJ Willey,13,RJW Topley,0
