,player-1,player-2,combined_avg,sum_of_individual
0,Harbhajan Singh,MM Sharma,8.4,8.0
1,KM Jadhav,MM Sharma,105.0,20.73
2,R Ashwin,MM Sharma,5.125,4.29
3,MS Dhoni,MM Sharma,35.23076923076923,28.349999999999998
4,SK Raina,MM Sharma,31.384615384615383,28.15
5,RA Jadeja,MM Sharma,12.444444444444445,12.41
6,S Dhawan,MM Sharma,45.15384615384615,42.98
7,AR Patel,MM Sharma,7.5,6.33
8,B Kumar,MM Sharma,8.5,6.6
9,Mohammed Shami,MM Sharma,5.0,3.24
10,KM Jadhav,S Dube,49.0,28.44
11,RA Jadeja,S Dube,30.0,20.119999999999997
12,DL Chahar,S Dube,15.0,12.0
13,SS Iyer,S Dube,79.0,53.0
14,RR Pant,S Dube,80.0,34.5
15,Harbhajan Singh,KM Jadhav,43.666666666666664,26.150000000000002
16,Harbhajan Singh,V Kohli,69.0,62.730000000000004
17,MS Dhoni,Harbhajan Singh,55.75,33.769999999999996
18,Harbhajan Singh,UT Yadav,26.0,7.74
19,AM Rahane,Harbhajan Singh,49.42857142857143,43.2
20,Harbhajan Singh,MK Pandey,71.0,26.07
21,Harbhajan Singh,AR Patel,12.428571428571429,11.75
22,HH Pandya,DS Kulkarni,34.0,21.439999999999998
23,DS Kulkarni,UT Yadav,16.0,4.41
24,SK Raina,DS Kulkarni,37.0,30.24
25,AM Rahane,DS Kulkarni,59.666666666666664,39.870000000000005
26,AT Rayudu,DS Kulkarni,44.857142857142854,32.86
27,DS Kulkarni,RA Jadeja,21.0,14.5
28,A Mishra,DS Kulkarni,39.0,5.49
29,DS Kulkarni,S Dhawan,65.0,45.07
30,DS Kulkarni,AR Patel,9.75,8.42
31,YS Chahal,Shubman Gill,17.0,8.98
32,YS Chahal,V Kohli,62.578947368421055,57.0
33,YS Chahal,KK Ahmed,7.25,1.98
34,YS Chahal,HH Pandya,19.941176470588236,19.04
35,YS Chahal,UT Yadav,3.5,2.01
36,YS Chahal,PP Shaw,37.0,28.98
37,YS Chahal,NA Saini,31.5,11.58
38,YS Chahal,RA Jadeja,19.77777777777778,12.1
39,YS Chahal,S Dhawan,49.705882352941174,42.669999999999995
40,YS Chahal,SN Thakur,11.4,8.68
41,YS Chahal,S Kaul,6.5,1.48
42,YS Chahal,KD Karthik,18.5,18.22
43,YS Chahal,Kuldeep Yadav,3.125,2.96
44,YS Chahal,B Kumar,7.027027027027027,6.289999999999999
45,KK Ahmed,Shubman Gill,14.0,9.0
46,HH Pandya,Shubman Gill,38.5,26.06
47,Shubman Gill,AT Rayudu,53.0,37.480000000000004
48,V Shankar,Shubman Gill,52.0,26.58
49,Kuldeep Yadav,Shubman Gill,24.0,9.98
50,R Ashwin,KM Jadhav,38.875,22.44
51,KM Jadhav,V Kohli,79.19642857142857,75.46000000000001
52,KM Jadhav,UT Yadav,30.153846153846153,20.470000000000002
53,NA Saini,KM Jadhav,31.5,30.04
54,AM Rahane,KM Jadhav,65.45454545454545,55.93000000000001
55,KM Jadhav,RA Jadeja,34.96296296296296,30.560000000000002
56,KM Jadhav,Yuvraj Singh,68.7,56.239999999999995
57,KM Jadhav,MK Pandey,44.4,38.8
58,KM Jadhav,DL Chahar,31.0,22.44
59,SN Thakur,KM Jadhav,31.6,27.14
60,V Shankar,KM Jadhav,48.333333333333336,38.019999999999996
61,SS Iyer,KM Jadhav,79.42857142857143,63.44
62,KM Jadhav,MA Agarwal,35.0,31.44
63,Mohammed Shami,KM Jadhav,27.523809523809526,21.39
64,KM Jadhav,RR Pant,48.375,44.94
65,RG Sharma,R Ashwin,66.6470588235294,59.16
66,MS Dhoni,R Ashwin,34.68181818181818,30.06
67,HH Pandya,R Ashwin,26.5,21.06
68,SK Raina,R Ashwin,41.5,29.86
69,AM Rahane,R Ashwin,40.0,39.49
70,R Ashwin,Yuvraj Singh,40.625,39.8
71,R Ashwin,AR Patel,9.333333333333334,8.04
72,R Ashwin,Mohammed Shami,6.75,4.95
73,RG Sharma,V Kohli,114.2235294117647,112.18
74,MS Dhoni,V Kohli,86.36144578313252,83.08
75,KK Ahmed,V Kohli,76.57142857142857,57.02
76,HH Pandya,V Kohli,79.59574468085107,74.08
77,Gurkeerat Singh,V Kohli,81.33333333333333,60.35
78,AM Rahane,V Kohli,93.21428571428571,92.51
79,A Mishra,V Kohli,67.77777777777777,58.13
80,JJ Bumrah,V Kohli,60.370370370370374,56.32
81,MK Pandey,V Kohli,84.44444444444444,75.38
82,R Dhawan,V Kohli,81.0,60.02
83,S Dhawan,V Kohli,99.98611111111111,97.71000000000001
84,V Kohli,I Sharma,72.5,56.02
85,BB Sran,V Kohli,89.0,56.02
86,SN Thakur,V Kohli,69.4,63.720000000000006
