,player-1,player-2,combined_avg,sum_of_individual
0,SK Raina,AM Rahane,64.1875,63.35
1,R Ashwin,SK Raina,41.5,29.86
2,SK Raina,DS Kulkarni,37.0,30.24
3,SK Raina,MS Dhoni,61.095238095238095,53.92
4,SK Raina,Mohammed Shami,37.3,28.81
5,UT Yadav,SK Raina,31.266666666666666,27.89
6,MM Sharma,SK Raina,31.384615384615383,28.15
7,SK Raina,RA Jadeja,47.2,37.98
8,SN Thakur,KM Jadhav,31.6,27.14
9,MK Pandey,SN Thakur,45.0,27.06
10,YS Chahal,SN Thakur,11.4,8.68
11,SN Thakur,KL Rahul,70.28571428571429,45.730000000000004
12,KD Karthik,SN Thakur,43.0,24.939999999999998
13,SN Thakur,Mohammed Shami,10.0,9.65
14,SN Thakur,NA Saini,31.666666666666668,18.3
15,SN Thakur,RR Pant,34.666666666666664,33.2
16,V Kohli,SN Thakur,69.4,63.720000000000006
17,SN Thakur,B Kumar,21.5,13.01
18,SN Thakur,RA Jadeja,30.333333333333332,18.82
19,M Vijay,KM Jadhav,70.66666666666667,48.11
20,DL Chahar,KM Jadhav,31.0,22.44
21,J Yadav,KM Jadhav,40.0,20.44
22,Yuvraj Singh,KM Jadhav,68.7,56.239999999999995
23,MK Pandey,KM Jadhav,44.4,38.8
24,MK Tiwary,KM Jadhav,53.333333333333336,30.770000000000003
25,AM Rahane,KM Jadhav,65.45454545454545,55.93000000000001
26,RV Uthappa,KM Jadhav,56.666666666666664,34.11
27,R Ashwin,KM Jadhav,38.875,22.44
28,Mohammed Shami,KM Jadhav,27.523809523809526,21.39
29,NA Saini,KM Jadhav,31.5,30.04
30,STR Binny,KM Jadhav,82.0,46.58
31,Harbhajan Singh,KM Jadhav,43.666666666666664,26.150000000000002
32,RR Pant,KM Jadhav,48.375,44.94
33,UT Yadav,KM Jadhav,30.153846153846153,20.470000000000002
34,V Kohli,KM Jadhav,79.19642857142857,75.46000000000001
35,V Shankar,KM Jadhav,48.333333333333336,38.019999999999996
36,SS Iyer,KM Jadhav,79.42857142857143,63.44
37,MM Sharma,KM Jadhav,105.0,20.73
38,RA Jadeja,KM Jadhav,34.96296296296296,30.560000000000002
39,MK Pandey,M Vijay,84.0,48.03
40,M Vijay,AM Rahane,66.0,65.16
41,M Vijay,AT Rayudu,119.0,58.150000000000006
42,M Vijay,DS Kulkarni,36.5,32.050000000000004
43,STR Binny,M Vijay,68.66666666666667,55.81
44,DL Chahar,KL Rahul,57.0,41.03
45,DL Chahar,RR Pant,58.0,28.5
46,DL Chahar,RG Sharma,100.5,59.16
47,DL Chahar,SS Iyer,64.5,47.0
48,J Yadav,MS Dhoni,42.0,28.06
49,AR Patel,J Yadav,25.0,6.04
50,J Yadav,RG Sharma,71.0,57.16
51,V Kohli,J Yadav,66.0,57.02
52,Yuvraj Singh,S Dhawan,82.0,78.49
53,Yuvraj Singh,AM Rahane,91.33333333333333,73.28999999999999
54,Yuvraj Singh,KL Rahul,78.0,74.83
55,Yuvraj Singh,R Ashwin,40.625,39.8
56,Yuvraj Singh,MS Dhoni,69.1,63.86
57,Yuvraj Singh,JJ Bumrah,39.5,37.099999999999994
58,Yuvraj Singh,HH Pandya,59.2,54.86
59,MK Pandey,MK Tiwary,81.0,30.689999999999998
60,MK Pandey,RV Uthappa,102.0,34.03
61,MK Pandey,Gurkeerat Singh,104.0,23.689999999999998
62,MK Pandey,KL Rahul,74.28571428571429,57.39
63,MK Pandey,R Dhawan,104.0,23.36
64,MK Pandey,STR Binny,89.0,46.5
65,MK Pandey,Harbhajan Singh,71.0,26.07
66,MK Pandey,UT Yadav,27.333333333333332,20.39
67,MK Pandey,AR Patel,27.416666666666668,24.4
68,MK Pandey,RG Sharma,83.9,75.52
69,MK Pandey,V Kohli,84.44444444444444,75.38
70,MK Pandey,HH Pandya,39.61538461538461,37.42
71,MK Pandey,MM Sharma,71.0,20.65
72,MK Pandey,I Sharma,55.0,19.36
73,MK Pandey,RA Jadeja,34.166666666666664,30.479999999999997
74,S Dhawan,Gurkeerat Singh,95.0,46.019999999999996
75,YS Chahal,S Dhawan,49.705882352941174,42.669999999999995
76,S Dhawan,DS Kulkarni,65.0,45.07
77,S Dhawan,MS Dhoni,69.26388888888889,68.75
78,S Dhawan,R Dhawan,94.66666666666667,45.69
79,S Dhawan,Washington Sundar,68.0,41.69
80,S Dhawan,JJ Bumrah,48.146341463414636,41.989999999999995
81,S Dhawan,RG Sharma,100.94520547945206,97.85
82,S Dhawan,V Kohli,99.98611111111111,97.71000000000001
83,S Dhawan,B Kumar,49.4,47.0
84,S Dhawan,MM Sharma,45.15384615384615,42.98
85,S Dhawan,I Sharma,69.5,41.69
86,MK Tiwary,AM Rahane,48.666666666666664,47.82
87,MK Tiwary,AT Rayudu,94.5,40.81
88,STR Binny,MK Tiwary,51.333333333333336,38.47
89,BB Sran,AT Rayudu,34.333333333333336,29.48
90,BB Sran,KL Rahul,65.33333333333333,38.03
91,RV Uthappa,AM Rahane,52.0,51.160000000000004
92,Kuldeep Yadav,AM Rahane,40.93333333333333,38.47
93,AM Rahane,AT Rayudu,100.75,65.97
94,AM Rahane,A Mishra,39.77777777777778,38.6
95,KD Karthik,AM Rahane,75.5,53.730000000000004
96,R Ashwin,AM Rahane,40.0,39.49
97,DS Kulkarni,AM Rahane,59.666666666666664,39.870000000000005
98,AM Rahane,Mohammed Shami,40.07692307692308,38.440000000000005
99,STR Binny,AM Rahane,75.16666666666667,63.63
100,Harbhajan Singh,AM Rahane,49.42857142857143,43.2
101,UT Yadav,AM Rahane,39.19230769230769,37.52
102,AR Patel,AM Rahane,47.0,41.53
103,V Kohli,AM Rahane,93.21428571428571,92.51
104,HH Pandya,AM Rahane,57.75,54.55
105,RV Uthappa,AT Rayudu,89.0,44.15
106,RV Uthappa,STR Binny,54.666666666666664,41.81
107,RV Uthappa,MM Sharma,31.0,15.96
108,Mohammed Siraj,KD Karthik,25.0,17.24
109,Mohammed Siraj,MS Dhoni,55.0,27.06
110,Mohammed Siraj,V Kohli,104.0,56.02
111,YS Chahal,Kuldeep Yadav,3.125,2.96
112,Kuldeep Yadav,KL Rahul,42.833333333333336,40.01
113,KD Karthik,Kuldeep Yadav,21.6,19.22
114,Kuldeep Yadav,RR Pant,31.8,27.48
115,Kuldeep Yadav,JJ Bumrah,2.6052631578947367,2.28
116,Kuldeep Yadav,KK Ahmed,6.833333333333333,2.98
117,Kuldeep Yadav,S Kaul,4.5,2.48
118,Kuldeep Yadav,V Kohli,65.25,58.0
119,Kuldeep Yadav,B Kumar,8.777777777777779,7.289999999999999
120,KL Rahul,AT Rayudu,99.66666666666667,67.51
121,Shubman Gill,AT Rayudu,53.0,37.480000000000004
122,DS Kulkarni,AT Rayudu,44.857142857142854,32.86
123,KK Nair,AT Rayudu,74.5,52.480000000000004
124,STR Binny,AT Rayudu,82.8,56.620000000000005
125,Harbhajan Singh,AT Rayudu,85.0,36.19
126,AR Patel,AT Rayudu,40.111111111111114,34.52
127,B Kumar,AT Rayudu,36.5,34.79
128,HH Pandya,AT Rayudu,55.5,47.54
129,V Shankar,AT Rayudu,51.0,48.06
130,R Dhawan,Gurkeerat Singh,8.333333333333334,8.33
131,V Kohli,Gurkeerat Singh,81.33333333333333,60.35
132,I Sharma,Gurkeerat Singh,4.333333333333333,4.33
133,YS Chahal,KD Karthik,18.5,18.22
134,YS Chahal,Shubman Gill,17.0,8.98
135,YS Chahal,UT Yadav,3.5,2.01
136,YS Chahal,KK Ahmed,7.25,1.98
137,YS Chahal,S Kaul,6.5,1.48
138,YS Chahal,V Kohli,62.578947368421055,57.0
139,YS Chahal,B Kumar,7.027027027027027,6.289999999999999
140,YS Chahal,HH Pandya,19.941176470588236,19.04
141,YS Chahal,RA Jadeja,19.77777777777778,12.1
142,KD Karthik,KL Rahul,67.66666666666667,55.269999999999996
143,DS Kulkarni,KL Rahul,65.33333333333333,41.410000000000004
144,KK Nair,KL Rahul,89.5,61.03
145,Mohammed Shami,KL Rahul,53.36363636363637,39.980000000000004
146,NA Saini,KL Rahul,69.0,48.63
147,RR Pant,KL Rahul,82.66666666666667,63.53
148,RG Sharma,KL Rahul,107.5,94.19
149,FY Fazal,KL Rahul,118.0,93.03
150,V Shankar,KL Rahul,61.25,56.61
151,SS Iyer,KL Rahul,104.11111111111111,82.03
152,RA Jadeja,KL Rahul,68.21428571428571,49.15
153,DS Kulkarni,A Mishra,39.0,5.49
154,MS Dhoni,A Mishra,36.77777777777778,29.169999999999998
155,UT Yadav,A Mishra,6.666666666666667,3.1399999999999997
156,AR Patel,A Mishra,15.25,7.15
157,V Kohli,A Mishra,67.77777777777777,58.13
158,KD Karthik,MS Dhoni,47.73684210526316,44.3
