,player-1,player-2,player-3,combined_avg,sum_of_individual
0,Harbhajan Singh,MM Sharma,V Kohli,69.0,64.021
1,MS Dhoni,Harbhajan Singh,MM Sharma,55.75,35.064
2,Harbhajan Singh,MM Sharma,UT Yadav,26.0,9.029
3,AM Rahane,Harbhajan Singh,MM Sharma,48.8,44.489
4,Harbhajan Singh,MM Sharma,MK Pandey,71.0,27.36
5,Harbhajan Singh,AR Patel,MM Sharma,15.8,13.036
6,AM Rahane,KM Jadhav,MM Sharma,120.0,57.215999999999994
7,KM Jadhav,STR Binny,MM Sharma,123.0,47.870000000000005
8,KM Jadhav,AR Patel,MM Sharma,105.0,25.762999999999998
9,B Kumar,KM Jadhav,MM Sharma,105.0,26.036
10,MS Dhoni,R Ashwin,MM Sharma,35.375,31.35
11,R Ashwin,MM Sharma,UT Yadav,5.375,5.3149999999999995
12,SK Raina,R Ashwin,MM Sharma,45.625,31.143
13,R Ashwin,RA Jadeja,MM Sharma,16.25,15.404
14,S Dhawan,R Ashwin,MM Sharma,58.625,45.977000000000004
15,B Kumar,R Ashwin,MM Sharma,36.0,9.595
16,A Mishra,MM Sharma,V Kohli,75.33333333333333,59.418
17,MS Dhoni,MM Sharma,UT Yadav,39.0,29.379
18,MS Dhoni,SK Raina,MM Sharma,65.23076923076923,55.207
19,MS Dhoni,MM Sharma,AM Rahane,71.92307692307692,64.839
20,MS Dhoni,RA Jadeja,MM Sharma,41.22222222222222,39.468
21,MS Dhoni,MM Sharma,A Mishra,31.0,30.461000000000002
22,S Dhawan,MS Dhoni,MM Sharma,79.0,70.041
23,MS Dhoni,AR Patel,MM Sharma,48.6,33.386
24,B Kumar,MS Dhoni,MM Sharma,47.4,33.659
25,MS Dhoni,Mohammed Shami,MM Sharma,36.75,30.297
26,SK Raina,MM Sharma,UT Yadav,37.888888888888886,29.172
27,S Dhawan,MM Sharma,UT Yadav,52.0,44.006
28,B Kumar,MM Sharma,UT Yadav,28.0,7.6240000000000006
29,SK Raina,MM Sharma,AM Rahane,68.07692307692308,64.632
30,SK Raina,RA Jadeja,MM Sharma,48.55555555555556,39.261
31,S Dhawan,SK Raina,MM Sharma,75.15384615384616,69.834
32,SK Raina,Mohammed Shami,MM Sharma,40.625,30.09
33,AM Rahane,AT Rayudu,MM Sharma,92.0,67.256
34,AM Rahane,MM Sharma,A Mishra,46.666666666666664,39.885999999999996
35,S Dhawan,AM Rahane,MM Sharma,81.84615384615384,79.46600000000001
36,AM Rahane,AR Patel,MM Sharma,53.333333333333336,42.811
37,B Kumar,AM Rahane,MM Sharma,43.666666666666664,43.083999999999996
38,AM Rahane,Mohammed Shami,MM Sharma,40.125,39.722
39,Mohammed Shami,AT Rayudu,MM Sharma,44.0,32.714
40,S Dhawan,RA Jadeja,MM Sharma,64.22222222222223,54.095000000000006
41,B Kumar,RA Jadeja,MM Sharma,68.0,17.713
42,A Mishra,AR Patel,MM Sharma,9.333333333333334,8.433
43,STR Binny,MM Sharma,MK Pandey,89.0,47.789
44,Mohammed Shami,STR Binny,MM Sharma,39.0,30.376
45,AR Patel,MM Sharma,MK Pandey,71.0,25.682
46,B Kumar,MM Sharma,MK Pandey,71.0,25.955
47,S Dhawan,Mohammed Shami,MM Sharma,59.5,44.92400000000001
48,Mohammed Shami,AR Patel,MM Sharma,33.0,8.269
49,RG Sharma,KM Jadhav,S Dube,85.0,84.601
50,KM Jadhav,RA Jadeja,S Dube,70.0,39.559
51,KM Jadhav,DL Chahar,S Dube,55.0,31.441
52,SS Iyer,KM Jadhav,S Dube,119.0,72.441
53,Kuldeep Yadav,KM Jadhav,S Dube,49.0,30.423
54,Mohammed Shami,KM Jadhav,S Dube,49.0,30.387999999999998
55,KM Jadhav,RR Pant,S Dube,120.0,53.941
56,RG Sharma,SS Iyer,S Dube,115.0,109.16
57,RG Sharma,RR Pant,S Dube,116.0,90.66
58,DL Chahar,RA Jadeja,S Dube,36.0,23.118000000000002
59,SS Iyer,RA Jadeja,S Dube,100.0,64.118
60,Kuldeep Yadav,RA Jadeja,S Dube,30.0,22.1
61,Mohammed Shami,RA Jadeja,S Dube,30.0,22.065
62,RR Pant,RA Jadeja,S Dube,101.0,45.618
63,RR Pant,KL Rahul,S Dube,86.0,72.532
64,SS Iyer,DL Chahar,S Dube,85.0,56.0
65,Kuldeep Yadav,DL Chahar,S Dube,15.0,13.982
66,Mohammed Shami,DL Chahar,S Dube,15.0,13.947
67,RR Pant,DL Chahar,S Dube,86.0,37.5
68,Kuldeep Yadav,SS Iyer,S Dube,79.0,54.982
69,SS Iyer,Mohammed Shami,S Dube,79.0,54.947
70,SS Iyer,RR Pant,S Dube,150.0,78.5
71,Kuldeep Yadav,RR Pant,S Dube,80.0,36.482
72,Mohammed Shami,RR Pant,S Dube,80.0,36.447
73,Harbhajan Singh,AT Rayudu,DS Kulkarni,85.0,39.57
74,AM Rahane,Harbhajan Singh,KM Jadhav,81.0,62.64399999999999
75,Harbhajan Singh,KM Jadhav,STR Binny,83.66666666666667,53.298
76,Harbhajan Singh,KM Jadhav,AR Patel,44.666666666666664,31.191000000000003
77,B Kumar,Harbhajan Singh,KM Jadhav,43.666666666666664,31.464
78,MS Dhoni,Harbhajan Singh,V Kohli,114.25,89.799
79,AM Rahane,Harbhajan Singh,V Kohli,115.75,99.22399999999999
80,A Mishra,Harbhajan Singh,V Kohli,82.0,64.846
81,Harbhajan Singh,AR Patel,V Kohli,78.25,67.771
82,B Kumar,Harbhajan Singh,V Kohli,72.75,68.044
83,MS Dhoni,Harbhajan Singh,UT Yadav,118.0,34.807
84,MS Dhoni,Harbhajan Singh,SK Raina,72.0,60.635
85,MS Dhoni,Harbhajan Singh,AM Rahane,102.5,70.267
86,MS Dhoni,Harbhajan Singh,A Mishra,37.666666666666664,35.888999999999996
87,MS Dhoni,Harbhajan Singh,S Dhawan,81.5,75.469
88,MS Dhoni,Harbhajan Singh,AR Patel,65.0,38.814
89,B Kumar,MS Dhoni,Harbhajan Singh,59.5,39.086999999999996
90,AM Rahane,Harbhajan Singh,UT Yadav,77.0,44.232
91,Harbhajan Singh,AR Patel,UT Yadav,39.0,12.779
92,B Kumar,Harbhajan Singh,UT Yadav,40.0,13.052
93,SK Raina,Harbhajan Singh,AM Rahane,73.5,70.06
94,AM Rahane,Harbhajan Singh,A Mishra,53.333333333333336,45.31399999999999
95,AM Rahane,Harbhajan Singh,MK Pandey,86.0,62.562999999999995
96,AM Rahane,Harbhajan Singh,AR Patel,55.142857142857146,48.239
97,B Kumar,AM Rahane,Harbhajan Singh,51.57142857142857,48.51199999999999
98,A Mishra,Harbhajan Singh,AR Patel,16.0,13.861
99,Harbhajan Singh,STR Binny,MK Pandey,89.0,53.217
100,Harbhajan Singh,AR Patel,MK Pandey,71.0,31.11
101,B Kumar,Harbhajan Singh,MK Pandey,71.0,31.383
102,YS Chahal,AT Rayudu,DS Kulkarni,34.333333333333336,33.836
103,KM Jadhav,DS Kulkarni,UT Yadav,32.0,23.845
104,AM Rahane,KM Jadhav,DS Kulkarni,66.66666666666667,59.30499999999999
105,A Mishra,KM Jadhav,DS Kulkarni,39.0,24.927
106,MS Dhoni,R Ashwin,DS Kulkarni,61.0,33.439
107,SK Raina,R Ashwin,DS Kulkarni,39.0,33.232
108,R Ashwin,DS Kulkarni,RA Jadeja,25.0,17.493000000000002
109,R Ashwin,DS Kulkarni,S Dhawan,67.0,48.066
110,HH Pandya,DS Kulkarni,V Kohli,79.0,77.453
111,AM Rahane,DS Kulkarni,V Kohli,127.0,95.88499999999999
112,A Mishra,DS Kulkarni,V Kohli,84.0,61.507000000000005
113,DS Kulkarni,MK Pandey,V Kohli,82.0,78.756
114,MS Dhoni,DS Kulkarni,UT Yadav,56.0,31.468
115,MS Dhoni,SK Raina,DS Kulkarni,95.0,57.296
116,MS Dhoni,DS Kulkarni,AM Rahane,93.0,66.928
117,MS Dhoni,DS Kulkarni,RA Jadeja,68.0,41.557
118,MS Dhoni,DS Kulkarni,A Mishra,50.0,32.55
119,MS Dhoni,DS Kulkarni,S Dhawan,123.0,72.13
120,B Kumar,MS Dhoni,DS Kulkarni,52.0,35.748
121,HH Pandya,DS Kulkarni,UT Yadav,41.0,22.461
122,AM Rahane,HH Pandya,DS Kulkarni,91.0,57.92099999999999
123,A Mishra,HH Pandya,DS Kulkarni,48.0,23.543
124,HH Pandya,DS Kulkarni,MK Pandey,46.0,40.792
125,HH Pandya,DS Kulkarni,AR Patel,72.0,26.467999999999996
126,SK Raina,DS Kulkarni,UT Yadav,38.0,31.261
127,AM Rahane,DS Kulkarni,UT Yadav,89.0,40.893
128,A Mishra,DS Kulkarni,UT Yadav,46.0,6.515000000000001
129,DS Kulkarni,MK Pandey,UT Yadav,44.0,23.764
130,DS Kulkarni,S Dhawan,UT Yadav,75.0,46.095
131,DS Kulkarni,AR Patel,UT Yadav,40.0,9.44
132,SK Raina,DS Kulkarni,RA Jadeja,55.0,41.35
133,SK Raina,DS Kulkarni,S Dhawan,101.0,71.923
134,SK Raina,DS Kulkarni,AR Patel,42.0,35.268
135,B Kumar,SK Raina,DS Kulkarni,39.0,35.541
136,AM Rahane,DS Kulkarni,A Mishra,96.0,41.974999999999994
137,AM Rahane,DS Kulkarni,MK Pandey,94.0,59.224
138,AM Rahane,DS Kulkarni,AR Patel,73.33333333333333,44.9
139,B Kumar,AM Rahane,DS Kulkarni,48.5,45.172999999999995
140,AT Rayudu,DS Kulkarni,STR Binny,109.33333333333333,59.999
141,AT Rayudu,DS Kulkarni,KL Rahul,99.66666666666667,70.888
142,AT Rayudu,DS Kulkarni,S Dhawan,87.0,74.547
143,BB Sran,AT Rayudu,DS Kulkarni,34.333333333333336,32.856
144,AT Rayudu,DS Kulkarni,AR Patel,46.714285714285715,37.892
145,B Kumar,AT Rayudu,DS Kulkarni,56.666666666666664,38.165
146,DS Kulkarni,S Dhawan,RA Jadeja,74.0,56.184000000000005
147,DS Kulkarni,AR Patel,RA Jadeja,21.0,19.529
148,B Kumar,DS Kulkarni,RA Jadeja,24.0,19.802
149,A Mishra,DS Kulkarni,MK Pandey,51.0,24.846
150,A Mishra,DS Kulkarni,AR Patel,77.0,10.522
151,DS Kulkarni,S Dhawan,STR Binny,92.0,72.209
152,DS Kulkarni,MK Pandey,KL Rahul,66.66666666666667,60.766999999999996
153,DS Kulkarni,AR Patel,KL Rahul,65.33333333333333,46.443
154,AR Patel,DS Kulkarni,S Dhawan,70.0,50.102000000000004
155,B Kumar,DS Kulkarni,S Dhawan,58.0,50.375
156,YS Chahal,Shubman Gill,KM Jadhav,34.5,28.421
157,YS Chahal,Shubman Gill,KK Ahmed,32.0,9.98
158,YS Chahal,Shubman Gill,HH Pandya,47.5,27.037
159,YS Chahal,Shubman Gill,AT Rayudu,62.0,38.461
160,YS Chahal,V Shankar,Shubman Gill,52.0,27.563
161,YS Chahal,Shubman Gill,KD Karthik,27.0,26.218
162,YS Chahal,Shubman Gill,Kuldeep Yadav,42.0,10.962
163,YS Chahal,B Kumar,Shubman Gill,20.5,14.289
164,YS Chahal,KM Jadhav,V Kohli,76.77777777777777,76.44200000000001
165,YS Chahal,KM Jadhav,KK Ahmed,21.5,21.421
166,YS Chahal,KM Jadhav,UT Yadav,69.0,21.45
167,YS Chahal,NA Saini,KM Jadhav,64.0,31.021
168,YS Chahal,AM Rahane,KM Jadhav,59.5,56.91
169,YS Chahal,KM Jadhav,RA Jadeja,33.333333333333336,31.539
170,YS Chahal,KM Jadhav,SN Thakur,50.0,28.121
171,YS Chahal,V Shankar,KM Jadhav,40.5,39.004
172,YS Chahal,SS Iyer,KM Jadhav,77.5,64.42099999999999
173,YS Chahal,Mohammed Shami,KM Jadhav,28.2,22.368
174,YS Chahal,RG Sharma,V Kohli,116.38888888888889,113.161
175,YS Chahal,MS Dhoni,V Kohli,91.12121212121212,84.065
176,YS Chahal,KK Ahmed,V Kohli,122.33333333333333,58.001
177,YS Chahal,HH Pandya,V Kohli,81.85714285714286,75.05799999999999
178,YS Chahal,V Kohli,UT Yadav,73.75,58.03
179,YS Chahal,AM Rahane,V Kohli,103.45454545454545,93.49
180,YS Chahal,AT Rayudu,V Kohli,108.4,86.482
181,YS Chahal,RA Jadeja,V Kohli,80.0,68.119
182,YS Chahal,JJ Bumrah,V Kohli,61.535714285714285,57.298
183,YS Chahal,S Dhawan,V Kohli,121.32,98.69200000000001
184,YS Chahal,SN Thakur,V Kohli,78.2,64.701
185,YS Chahal,S Kaul,V Kohli,66.5,57.501
186,YS Chahal,KD Karthik,V Kohli,81.25,74.239
187,YS Chahal,SS Iyer,V Kohli,102.5,101.001
188,YS Chahal,V Kohli,Kuldeep Yadav,71.48,58.983
189,YS Chahal,B Kumar,V Kohli,68.64285714285714,62.31
190,YS Chahal,Mohammed Shami,V Kohli,64.36363636363636,58.948
191,YS Chahal,RR Pant,V Kohli,91.57142857142857,82.501
192,YS Chahal,RG Sharma,UT Yadav,95.75,58.169
193,YS Chahal,RA Jadeja,RG Sharma,74.14285714285714,68.258
194,YS Chahal,RG Sharma,S Dhawan,103.02941176470588,98.83099999999999
