,player-1,player-2,player-3,combined_avg,sum_of_individual
0,SN Thakur,SK Raina,MS Dhoni,65.0,61.621
1,SN Thakur,V Kohli,SK Raina,94.0,90.578
2,SN Thakur,SK Raina,B Kumar,44.0,39.866
3,S Dhawan,R Ashwin,SK Raina,89.91666666666667,71.548
4,S Dhawan,SK Raina,DS Kulkarni,101.0,71.923
5,S Dhawan,SK Raina,MS Dhoni,101.23809523809524,95.612
6,S Dhawan,SK Raina,Mohammed Shami,81.2,70.495
7,S Dhawan,UT Yadav,SK Raina,73.13333333333334,69.577
8,S Dhawan,SK Raina,MM Sharma,75.15384615384616,69.834
9,S Dhawan,SK Raina,RA Jadeja,99.1,79.666
10,SK Raina,AM Rahane,A Mishra,67.0,65.457
11,R Ashwin,SK Raina,AM Rahane,71.1,66.346
12,SK Raina,AM Rahane,MS Dhoni,96.9375,90.41
13,SK Raina,AM Rahane,Mohammed Shami,69.9,65.29299999999999
14,SK Raina,Harbhajan Singh,AM Rahane,73.5,70.06
15,MM Sharma,SK Raina,AM Rahane,68.07692307692308,64.632
16,SK Raina,RA Jadeja,AM Rahane,78.77777777777777,74.464
17,R Ashwin,SK Raina,AT Rayudu,60.0,59.338
18,YS Chahal,UT Yadav,SK Raina,29.0,28.866
19,YS Chahal,SK Raina,S Kaul,29.5,28.337
20,R Ashwin,SK Raina,DS Kulkarni,39.0,33.232
21,R Ashwin,SK Raina,MS Dhoni,75.5,56.921
22,R Ashwin,SK Raina,Mohammed Shami,48.625,31.804
23,R Ashwin,UT Yadav,SK Raina,42.0,30.886
24,R Ashwin,AR Patel,SK Raina,50.333333333333336,34.893
25,R Ashwin,SK Raina,RG Sharma,95.91666666666667,86.017
26,R Ashwin,SK Raina,B Kumar,43.75,35.166
27,R Ashwin,SK Raina,MM Sharma,45.625,31.143
28,R Ashwin,SK Raina,RA Jadeja,55.55555555555556,40.975
29,SK Raina,DS Kulkarni,MS Dhoni,95.0,57.296
30,UT Yadav,SK Raina,DS Kulkarni,38.0,31.261
31,AR Patel,SK Raina,DS Kulkarni,42.0,35.268
32,SK Raina,DS Kulkarni,B Kumar,39.0,35.541
33,RA Jadeja,SK Raina,DS Kulkarni,55.0,41.35
34,SK Raina,Mohammed Shami,MS Dhoni,68.0,55.867999999999995
35,SK Raina,Harbhajan Singh,MS Dhoni,72.0,60.635
36,UT Yadav,SK Raina,MS Dhoni,66.2,54.95
37,AR Patel,SK Raina,MS Dhoni,67.22222222222223,58.957
38,SK Raina,RG Sharma,MS Dhoni,112.73684210526316,110.08099999999999
39,SK Raina,B Kumar,MS Dhoni,62.4,59.23
40,MM Sharma,SK Raina,MS Dhoni,65.23076923076923,55.207
41,SK Raina,RA Jadeja,MS Dhoni,77.8,65.039
42,UT Yadav,SK Raina,Mohammed Shami,38.55555555555556,29.833
43,SK Raina,RG Sharma,Mohammed Shami,94.5,84.964
44,MM Sharma,SK Raina,Mohammed Shami,40.625,30.09
45,SK Raina,RA Jadeja,Mohammed Shami,47.5,39.922000000000004
46,STR Binny,SK Raina,RG Sharma,119.5,110.16
47,UT Yadav,SK Raina,RG Sharma,91.14285714285714,84.04599999999999
48,MM Sharma,UT Yadav,SK Raina,37.888888888888886,29.172
49,UT Yadav,SK Raina,RA Jadeja,51.875,39.004
50,S Kaul,SK Raina,RG Sharma,99.5,83.517
51,V Kohli,SK Raina,S Kaul,83.5,83.378
52,SK Raina,RA Jadeja,B Kumar,76.5,43.284
53,MM Sharma,SK Raina,RA Jadeja,48.55555555555556,39.261
54,MK Pandey,SN Thakur,KM Jadhav,99.0,46.501
55,SN Thakur,AM Rahane,KM Jadhav,68.0,63.629999999999995
56,Kuldeep Yadav,SN Thakur,KM Jadhav,32.75,29.122999999999998
