,player-1,player-2,player-3,avg
0,AM Rahane,S Dhawan,SK Raina,101.375
1,AM Rahane,S Dhawan,MA Agarwal,0.0
2,AM Rahane,S Dhawan,RV Uthappa,0.0
3,AM Rahane,S Dhawan,M Vijay,0.0
4,AM Rahane,S Dhawan,B Kumar,78.58823529411765
5,AM Rahane,S Dhawan,Yuvraj Singh,146.5
6,AM Rahane,S Dhawan,Gurkeerat Singh,129.5
7,V Kohli,AM Rahane,S Dhawan,134.0
8,AM Rahane,S Dhawan,SS Iyer,86.33333333333333
9,AM Rahane,S Dhawan,R Ashwin,80.78571428571429
10,AM Rahane,S Dhawan,J Yadav,0.0
11,AM Rahane,S Dhawan,YS Chahal,77.16666666666667
12,AM Rahane,S Dhawan,KK Nair,0.0
13,AM Rahane,S Dhawan,MK Tiwary,0.0
14,AM Rahane,S Dhawan,MK Pandey,55.0
15,AM Rahane,S Dhawan,Mohammed Siraj,0.0
16,AM Rahane,S Dhawan,KM Jadhav,94.85714285714286
17,AM Rahane,S Dhawan,UT Yadav,77.8
18,Kuldeep Yadav,AM Rahane,S Dhawan,81.5
19,AM Rahane,S Dhawan,RG Sharma,128.58333333333334
20,AM Rahane,S Dhawan,STR Binny,93.66666666666667
21,AM Rahane,S Dhawan,BB Sran,74.0
22,AM Rahane,S Dhawan,SN Thakur,52.0
23,AM Rahane,S Dhawan,S Kaul,0.0
24,AM Rahane,S Dhawan,NA Saini,0.0
25,KL Rahul,AM Rahane,S Dhawan,0.0
26,AM Rahane,S Dhawan,PP Shaw,0.0
27,AM Rahane,S Dhawan,A Mishra,75.75
28,AM Rahane,S Dhawan,R Dhawan,129.0
29,KD Karthik,AM Rahane,S Dhawan,80.0
30,AM Rahane,S Dhawan,JJ Bumrah,77.16666666666667
31,AM Rahane,S Dhawan,Mohammed Shami,75.83333333333333
32,AM Rahane,S Dhawan,MM Sharma,81.84615384615384
33,AM Rahane,S Dhawan,Washington Sundar,0.0
34,AM Rahane,S Dhawan,RR Pant,0.0
35,AM Rahane,S Dhawan,DS Kulkarni,0.0
36,AM Rahane,S Dhawan,HH Pandya,86.1
37,AM Rahane,S Dhawan,Harbhajan Singh,83.0
38,AM Rahane,S Dhawan,DL Chahar,0.0
39,AM Rahane,S Dhawan,KK Ahmed,0.0
40,AM Rahane,S Dhawan,Shubman Gill,0.0
41,AM Rahane,S Dhawan,MS Dhoni,104.26666666666667
42,AM Rahane,S Dhawan,AT Rayudu,90.0
43,AM Rahane,S Dhawan,FY Fazal,0.0
44,AM Rahane,S Dhawan,V Shankar,0.0
45,AM Rahane,S Dhawan,I Sharma,113.66666666666667
46,AM Rahane,S Dhawan,RA Jadeja,90.93333333333334
47,AM Rahane,S Dhawan,AR Patel,69.57142857142857
48,AM Rahane,S Dhawan,S Dube,0.0
49,AM Rahane,SK Raina,MA Agarwal,0.0
50,AM Rahane,SK Raina,RV Uthappa,0.0
51,AM Rahane,SK Raina,M Vijay,0.0
52,AM Rahane,SK Raina,B Kumar,63.375
53,AM Rahane,SK Raina,Yuvraj Singh,0.0
