Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
lost,RG Sharma,138,S Dhawan,2,AM Rahane,12,V Kohli,9,SK Raina,51,MS Dhoni,19,AR Patel,0,R Ashwin,14,B Kumar,0,Mohammed Shami,2,UT Yadav,0
lost,AM Rahane,33,S Dhawan,1,AT Rayudu,23,V Kohli,4,SK Raina,1,MS Dhoni,34,STR Binny,44,AR Patel,0,B Kumar,5,Mohammed Shami,1,UT Yadav,0
lost,AM Rahane,73,S Dhawan,38,V Kohli,8,SK Raina,1,AT Rayudu,12,MS Dhoni,17,STR Binny,7,RA Jadeja,5,AR Patel,1,MM Sharma,7,Mohammed Shami,25
won,RG Sharma,15,S Dhawan,73,V Kohli,107,SK Raina,74,MS Dhoni,18,RA Jadeja,3,AM Rahane,0,R Ashwin,1,Mohammed Shami,3,UT Yadav,0,MM Sharma,0
won,RG Sharma,0,S Dhawan,137,V Kohli,46,AM Rahane,79,SK Raina,6,MS Dhoni,18,RA Jadeja,2,R Ashwin,5,Mohammed Shami,4,UT Yadav,0,MM Sharma,0
won,RG Sharma,7,S Dhawan,9,V Kohli,33,AM Rahane,14,SK Raina,22,MS Dhoni,45,RA Jadeja,13,R Ashwin,16,MM Sharma,0,Mohammed Shami,0,UT Yadav,0
won,RG Sharma,64,S Dhawan,100,V Kohli,44,AM Rahane,33,SK Raina,0,MS Dhoni,0,RA Jadeja,0,R Ashwin,0,Mohammed Shami,0,MM Sharma,0,UT Yadav,0
won,RG Sharma,16,S Dhawan,4,V Kohli,38,AM Rahane,19,SK Raina,110,MS Dhoni,85,RA Jadeja,0,R Ashwin,0,MM Sharma,0,Mohammed Shami,0,UT Yadav,0
won,RG Sharma,137,S Dhawan,30,V Kohli,3,AM Rahane,19,SK Raina,65,MS Dhoni,6,RA Jadeja,23,R Ashwin,3,Mohammed Shami,0,MM Sharma,0,UT Yadav,0
lost,RG Sharma,34,S Dhawan,45,V Kohli,1,AM Rahane,44,SK Raina,7,MS Dhoni,65,RA Jadeja,16,R Ashwin,5,Mohammed Shami,1,MM Sharma,0,UT Yadav,0
lost,RG Sharma,63,S Dhawan,30,V Kohli,1,AM Rahane,9,SK Raina,40,MS Dhoni,5,RA Jadeja,32,R Ashwin,0,B Kumar,25,MM Sharma,11,UT Yadav,2
lost,RG Sharma,0,S Dhawan,53,V Kohli,23,MS Dhoni,47,AT Rayudu,0,SK Raina,34,RA Jadeja,19,AR Patel,0,R Ashwin,4,B Kumar,3,DS Kulkarni,2
won,RG Sharma,29,S Dhawan,75,V Kohli,25,MS Dhoni,69,AT Rayudu,44,SK Raina,38,STR Binny,17,AR Patel,10,R Ashwin,0,DS Kulkarni,0,UT Yadav,0
won,AM Rahane,34,M Vijay,1,AT Rayudu,124,MK Tiwary,2,RV Uthappa,0,KM Jadhav,5,STR Binny,77,AR Patel,2,Harbhajan Singh,0,B Kumar,0,DS Kulkarni,0
won,AM Rahane,63,M Vijay,72,AT Rayudu,41,MK Tiwary,22,RV Uthappa,13,STR Binny,25,KM Jadhav,16,Harbhajan Singh,5,AR Patel,1,B Kumar,0,DS Kulkarni,0
won,AM Rahane,15,M Vijay,13,RV Uthappa,31,MK Tiwary,10,MK Pandey,71,KM Jadhav,105,STR Binny,18,Harbhajan Singh,0,AR Patel,0,B Kumar,0,MM Sharma,0
lost,RG Sharma,150,S Dhawan,23,AM Rahane,60,V Kohli,11,MS Dhoni,31,SK Raina,3,STR Binny,2,B Kumar,1,A Mishra,0,R Ashwin,0,UT Yadav,0
won,RG Sharma,3,S Dhawan,23,AM Rahane,51,V Kohli,12,MS Dhoni,92,SK Raina,0,AR Patel,13,B Kumar,14,Harbhajan Singh,22,UT Yadav,4,MM Sharma,0
lost,RG Sharma,65,S Dhawan,13,V Kohli,77,MS Dhoni,47,SK Raina,0,AM Rahane,4,AR Patel,15,Harbhajan Singh,20,B Kumar,0,MM Sharma,0,A Mishra,0
won,RG Sharma,21,S Dhawan,7,V Kohli,138,AM Rahane,45,SK Raina,53,MS Dhoni,15,Harbhajan Singh,0,AR Patel,4,B Kumar,0,MM Sharma,0,A Mishra,0
lost,RG Sharma,16,S Dhawan,60,V Kohli,7,AM Rahane,87,SK Raina,12,MS Dhoni,27,AR Patel,5,Harbhajan Singh,0,B Kumar,1,A Mishra,4,MM Sharma,0
lost,RG Sharma,171,S Dhawan,9,V Kohli,91,MS Dhoni,18,RA Jadeja,10,AM Rahane,0,MK Pandey,0,R Ashwin,0,UT Yadav,0,B Kumar,0,BB Sran,0
lost,RG Sharma,124,S Dhawan,6,V Kohli,59,AM Rahane,89,MS Dhoni,11,MK Pandey,6,RA Jadeja,5,R Ashwin,1,UT Yadav,0,I Sharma,0,BB Sran,0
