,player-1,player-2,combined_avg,sum_of_individual
0,AM Rahane,SK Raina,64.1875,63.35
1,AM Rahane,RV Uthappa,52.0,51.160000000000004
2,AM Rahane,M Vijay,66.0,65.16
3,AM Rahane,Yuvraj Singh,91.33333333,73.28999999999999
4,V Kohli,AM Rahane,93.21428571,92.51
5,AM Rahane,R Ashwin,40.0,39.49
6,AM Rahane,MK Tiwary,48.66666667,47.82
7,AM Rahane,KM Jadhav,65.45454545,55.93000000000001
8,AM Rahane,UT Yadav,39.19230769,37.52
9,AM Rahane,Kuldeep Yadav,40.93333333,38.47
10,AM Rahane,STR Binny,75.16666667,63.63
11,AM Rahane,BB Sran,46.33333333,36.49
12,AM Rahane,A Mishra,39.77777778,38.6
13,KD Karthik,AM Rahane,75.5,53.730000000000004
14,AM Rahane,Mohammed Shami,40.07692308,38.440000000000005
15,AM Rahane,DS Kulkarni,59.66666667,39.870000000000005
16,AM Rahane,HH Pandya,57.75,54.55
17,AM Rahane,Harbhajan Singh,49.42857143,43.2
18,AM Rahane,AT Rayudu,100.75,65.97
19,AM Rahane,I Sharma,47.0,36.49
20,AM Rahane,AR Patel,47.0,41.53
21,S Dhawan,B Kumar,49.4,47.0
22,S Dhawan,Yuvraj Singh,82.0,78.49
23,S Dhawan,Gurkeerat Singh,95.0,46.019999999999996
24,V Kohli,S Dhawan,99.98611111,97.71000000000001
25,S Dhawan,YS Chahal,49.70588235,42.669999999999995
26,S Dhawan,RG Sharma,100.9452055,97.85
27,S Dhawan,R Dhawan,94.66666667,45.69
28,JJ Bumrah,S Dhawan,48.14634146,41.989999999999995
29,S Dhawan,MM Sharma,45.15384615,42.98
30,S Dhawan,Washington Sundar,68.0,41.69
31,S Dhawan,DS Kulkarni,65.0,45.07
32,S Dhawan,MS Dhoni,69.26388889,68.75
33,S Dhawan,I Sharma,69.5,41.69
34,SK Raina,R Ashwin,41.5,29.86
35,SK Raina,UT Yadav,31.26666667,27.89
36,SK Raina,Mohammed Shami,37.3,28.81
37,SK Raina,MM Sharma,31.38461538,28.15
38,SK Raina,DS Kulkarni,37.0,30.24
39,SK Raina,MS Dhoni,61.0952381,53.92
40,SK Raina,RA Jadeja,47.2,37.98
41,SS Iyer,MA Agarwal,84.33333333,56.0
42,MA Agarwal,MK Pandey,43.0,31.36
43,MA Agarwal,KM Jadhav,35.0,31.44
44,Kuldeep Yadav,MA Agarwal,32.0,13.98
45,SN Thakur,MA Agarwal,20.33333333,19.7
46,MA Agarwal,NA Saini,28.5,22.6
47,KL Rahul,MA Agarwal,80.0,50.03
48,Mohammed Shami,MA Agarwal,32.0,13.95
49,RA Jadeja,MA Agarwal,33.0,23.119999999999997
50,RV Uthappa,MK Pandey,102.0,34.03
51,RV Uthappa,KM Jadhav,56.66666667,34.11
52,STR Binny,RV Uthappa,54.66666667,41.81
53,MM Sharma,RV Uthappa,31.0,15.96
54,AT Rayudu,RV Uthappa,89.0,44.15
55,M Vijay,MK Pandey,84.0,48.03
56,M Vijay,KM Jadhav,70.66666667,48.11
57,M Vijay,STR Binny,68.66666667,55.81
