,player-1,player-2,player-3,combined_avg,sum_of_individual
0,AM Rahane,S Dhawan,Yuvraj Singh,146.5,114.98
1,AM Rahane,S Dhawan,Gurkeerat Singh,129.5,82.51
2,Kuldeep Yadav,AM Rahane,S Dhawan,81.5,80.16
3,AM Rahane,S Dhawan,R Dhawan,129.0,82.18
4,AM Rahane,S Dhawan,MM Sharma,81.84615384615384,79.47000000000001
5,AM Rahane,S Dhawan,I Sharma,113.66666666666669,78.18
6,AM Rahane,S Dhawan,RA Jadeja,90.93333333333334,89.30000000000001
7,AM Rahane,SK Raina,R Ashwin,71.1,66.35
8,AM Rahane,SK Raina,A Mishra,67.0,65.46000000000001
9,AM Rahane,SK Raina,Mohammed Shami,69.9,65.3
10,AM Rahane,SK Raina,MM Sharma,68.07692307692308,64.64
11,AM Rahane,SK Raina,Harbhajan Singh,73.5,70.06
12,AM Rahane,SK Raina,MS Dhoni,96.9375,90.41
13,AM Rahane,SK Raina,RA Jadeja,78.77777777777777,74.47
14,AM Rahane,RV Uthappa,M Vijay,80.66666666666667,79.83000000000001
15,AM Rahane,RV Uthappa,MK Tiwary,63.33333333333334,62.49
16,AM Rahane,RV Uthappa,MK Pandey,117.0,70.52000000000001
17,AM Rahane,RV Uthappa,KM Jadhav,94.0,70.60000000000001
18,AM Rahane,STR Binny,RV Uthappa,92.0,78.3
19,AM Rahane,DS Kulkarni,RV Uthappa,55.0,54.540000000000006
20,AM Rahane,AT Rayudu,RV Uthappa,137.5,80.64
21,AM Rahane,M Vijay,MK Tiwary,77.33333333333333,76.49
22,AM Rahane,M Vijay,MK Pandey,99.0,84.52
23,KM Jadhav,AM Rahane,M Vijay,108.0,84.60000000000001
24,AM Rahane,STR Binny,M Vijay,106.0,92.30000000000001
25,AM Rahane,DS Kulkarni,M Vijay,85.0,68.54
26,AM Rahane,AT Rayudu,M Vijay,167.5,94.64
27,AM Rahane,B Kumar,Yuvraj Singh,91.33333333333331,78.6
28,AM Rahane,B Kumar,KM Jadhav,74.71428571428571,61.24000000000001
29,AM Rahane,B Kumar,UT Yadav,44.111111111111114,42.830000000000005
30,AM Rahane,Kuldeep Yadav,B Kumar,47.58333333333334,43.78
31,AM Rahane,B Kumar,STR Binny,75.4,68.94
32,AM Rahane,B Kumar,A Mishra,50.5,43.910000000000004
33,AM Rahane,B Kumar,MM Sharma,43.66666666666666,43.09
34,AM Rahane,B Kumar,DS Kulkarni,48.5,45.18000000000001
35,AM Rahane,B Kumar,HH Pandya,69.33333333333333,59.86
36,AM Rahane,B Kumar,Harbhajan Singh,51.57142857142857,48.510000000000005
37,AM Rahane,B Kumar,AT Rayudu,107.66666666666669,71.28
38,V Kohli,AM Rahane,Yuvraj Singh,142.33333333333334,129.31
39,AM Rahane,R Ashwin,Yuvraj Singh,91.66666666666669,76.28999999999999
40,AM Rahane,Yuvraj Singh,KM Jadhav,139.0,92.72999999999999
41,AM Rahane,Yuvraj Singh,UT Yadav,114.0,74.32
42,AM Rahane,Kuldeep Yadav,Yuvraj Singh,114.0,75.27
43,AM Rahane,HH Pandya,Yuvraj Singh,111.33333333333331,91.35
44,AM Rahane,MS Dhoni,Yuvraj Singh,130.0,100.35
45,V Kohli,AM Rahane,Gurkeerat Singh,144.0,96.84
46,AM Rahane,Gurkeerat Singh,BB Sran,58.0,40.82
47,V Kohli,AM Rahane,YS Chahal,103.45454545454544,93.49000000000001
48,V Kohli,AM Rahane,MK Pandey,113.84615384615385,111.87
49,V Kohli,AM Rahane,KM Jadhav,128.1578947368421,111.95
50,V Kohli,AM Rahane,Kuldeep Yadav,110.2,94.49000000000001
51,V Kohli,AM Rahane,BB Sran,135.33333333333334,92.51
52,V Kohli,AM Rahane,SN Thakur,139.0,100.21000000000001
53,V Kohli,AM Rahane,A Mishra,105.44444444444444,94.62
54,V Kohli,AM Rahane,R Dhawan,143.5,96.51
55,V Kohli,AM Rahane,KD Karthik,132.5,109.75
56,V Kohli,AM Rahane,JJ Bumrah,101.75,92.81
57,V Kohli,AM Rahane,DS Kulkarni,127.0,95.89
58,V Kohli,AM Rahane,HH Pandya,122.65,110.57000000000001
59,V Kohli,AM Rahane,Harbhajan Singh,115.75,99.22
60,V Kohli,AM Rahane,MS Dhoni,119.59523809523809,119.57000000000001
61,V Kohli,AM Rahane,I Sharma,141.0,92.51
62,AM Rahane,R Ashwin,KM Jadhav,106.66666666666669,58.93000000000001
63,AM Rahane,R Ashwin,UT Yadav,42.857142857142854,40.52
