,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,R Ashwin,AM Rahane,S Dhawan,SK Raina,116.4,108.04
1,AM Rahane,S Dhawan,SK Raina,Mohammed Shami,113.8,106.99000000000001
2,AM Rahane,S Dhawan,SK Raina,MM Sharma,111.84615384615385,106.33000000000001
3,AM Rahane,S Dhawan,SK Raina,MS Dhoni,134.125,132.1
4,AM Rahane,S Dhawan,SK Raina,RA Jadeja,130.55555555555554,116.16000000000001
5,AM Rahane,S Dhawan,B Kumar,Yuvraj Singh,146.5,120.29
6,AM Rahane,S Dhawan,B Kumar,Gurkeerat Singh,135.0,87.82000000000001
7,AM Rahane,S Dhawan,B Kumar,YS Chahal,90.2,84.47000000000001
8,AM Rahane,S Dhawan,B Kumar,KM Jadhav,112.4,102.93
9,Kuldeep Yadav,AM Rahane,S Dhawan,B Kumar,99.0,85.47
10,AM Rahane,S Dhawan,B Kumar,R Dhawan,139.0,87.49000000000001
11,AM Rahane,S Dhawan,B Kumar,JJ Bumrah,90.2,83.79
12,AM Rahane,S Dhawan,B Kumar,HH Pandya,103.0,101.55000000000001
13,AM Rahane,S Dhawan,B Kumar,I Sharma,130.0,83.49000000000001
14,V Kohli,AM Rahane,S Dhawan,Yuvraj Singh,195.5,171.0
15,AM Rahane,S Dhawan,R Ashwin,Yuvraj Singh,146.5,117.98
16,AM Rahane,S Dhawan,Yuvraj Singh,KM Jadhav,173.0,134.42000000000002
17,AM Rahane,S Dhawan,Yuvraj Singh,UT Yadav,146.5,116.01
18,Kuldeep Yadav,AM Rahane,S Dhawan,Yuvraj Singh,146.5,116.96
19,AM Rahane,S Dhawan,HH Pandya,Yuvraj Singh,148.5,133.04000000000002
20,AM Rahane,S Dhawan,MS Dhoni,Yuvraj Singh,192.0,142.04000000000002
21,V Kohli,AM Rahane,S Dhawan,Gurkeerat Singh,241.0,138.53
22,AM Rahane,S Dhawan,Gurkeerat Singh,UT Yadav,130.5,83.54
