,player-1,player-2,combined_avg,sum_of_individual
0,LJ Tucker,WB Rankin,24.333333333333332,17.94
1,WB Rankin,Simi Singh,18.454545454545453,16.5
2,WB Rankin,J Anderson,37.0,27.290000000000003
3,WB Rankin,A Balbirnie,36.13636363636363,34.37
4,BJ McCarthy,WB Rankin,10.636363636363637,9.370000000000001
5,WB Rankin,SW Poynter,20.555555555555557,15.739999999999998
6,WB Rankin,GH Dockrell,16.818181818181817,15.620000000000001
7,WB Rankin,JB Little,4.666666666666667,4.62
8,WB Rankin,AR McBrine,17.27777777777778,14.309999999999999
9,MR Adair,WB Rankin,17.1,15.580000000000002
10,WB Rankin,PR Stirling,47.6,42.33
11,WB Rankin,GJ Delany,23.5,16.52
12,TJ Murtagh,SP Terry,12.2,9.38
13,GH Dockrell,SP Terry,20.0,18.9
14,KJ O'Brien,SP Terry,41.2,28.17
15,SP Terry,CA Young,16.0,9.2
16,EC Joyce,SP Terry,97.66666666666667,43.3
17,GC Wilson,SR Thompson,28.8,26.07
18,Simi Singh,GC Wilson,33.857142857142854,30.15
19,JF Mooney,GC Wilson,30.8,24.97
20,TJ Murtagh,GC Wilson,20.714285714285715,19.75
21,AR McBrine,GC Wilson,33.125,27.96
22,MR Adair,GC Wilson,31.833333333333332,29.23
23,GC Wilson,KJ O'Brien,39.51282051282051,38.54
24,EC Joyce,GC Wilson,53.964285714285715,53.67
25,GC Wilson,WTS Porterfield,43.02272727272727,41.33
26,GC Wilson,AR Cusack,26.6,25.57
27,TJ Murtagh,SR Thompson,12.5,12.280000000000001
28,AR McBrine,SR Thompson,21.0,20.490000000000002
29,PKD Chase,SR Thompson,13.0,11.24
30,SR Thompson,CA Young,24.0,12.100000000000001
31,SR Thompson,PR Stirling,52.3,48.510000000000005
32,SR Thompson,NJ O'Brien,38.875,34.620000000000005
33,SR Thompson,WTS Porterfield,49.8,33.86
34,LJ Tucker,JA McCollum,67.75,35.379999999999995
35,A Balbirnie,JA McCollum,61.333333333333336,51.81
36,TJ Murtagh,JA McCollum,23.571428571428573,23.54
37,AR McBrine,JA McCollum,34.666666666666664,31.75
38,CA Young,JA McCollum,29.0,23.36
39,PR Stirling,JA McCollum,83.11111111111111,59.769999999999996
40,WTS Porterfield,JA McCollum,48.888888888888886,45.12
41,HT Tector,A Balbirnie,62.666666666666664,50.25
42,HT Tector,JB Little,28.5,20.5
43,HT Tector,AR McBrine,40.333333333333336,30.189999999999998
44,HT Tector,CA Young,23.333333333333332,21.8
45,HT Tector,PR Stirling,71.0,58.21
46,HT Tector,C Campher,61.333333333333336,61.33
47,LJ Tucker,Simi Singh,28.6,28.200000000000003
48,LJ Tucker,A Balbirnie,51.27272727272727,46.07
49,LJ Tucker,TJ Murtagh,23.6,17.8
50,LJ Tucker,AR McBrine,29.0,26.009999999999998
51,LJ Tucker,MR Adair,28.11111111111111,27.28
52,Simi Singh,A Balbirnie,45.1875,44.63
53,Simi Singh,GH Dockrell,26.0,25.880000000000003
54,JB Little,Simi Singh,25.0,14.88
55,Simi Singh,AR McBrine,28.583333333333332,24.57
56,Simi Singh,PKD Chase,19.4,15.32
57,MR Adair,Simi Singh,31.333333333333332,25.840000000000003
58,Simi Singh,NJ O'Brien,39.142857142857146,38.7
59,Simi Singh,GJ Delany,29.75,26.78
60,Simi Singh,C Campher,76.0,55.71
61,BJ McCarthy,J Anderson,33.2,30.42
62,TJ Murtagh,J Anderson,30.0,27.150000000000002
63,SW Poynter,J Anderson,42.666666666666664,36.79
64,AR McBrine,J Anderson,88.0,35.36
65,KJ O'Brien,J Anderson,55.333333333333336,45.94
66,JF Mooney,NJ O'Brien,45.44444444444444,33.519999999999996
67,JF Mooney,EC Joyce,47.7,45.099999999999994
68,JF Mooney,WTS Porterfield,35.6,32.76
69,JF Mooney,MC Sorensen,26.5,17.53
70,J Cameron-Dow,A Balbirnie,73.33333333333333,33.58
71,A Balbirnie,SW Poynter,45.0,43.87
72,JB Little,A Balbirnie,58.333333333333336,32.75
73,A Balbirnie,AR McBrine,42.54838709677419,42.44
74,MR Adair,A Balbirnie,55.69230769230769,43.71
75,A Balbirnie,CA Young,34.888888888888886,34.05
76,A Balbirnie,PR Stirling,72.4375,70.46000000000001
77,A Balbirnie,GJ Delany,44.8,44.65
78,A Balbirnie,C Campher,86.0,73.58
79,A Balbirnie,AR Cusack,46.2,40.05
80,A Balbirnie,MC Sorensen,44.5,40.58
81,BJ McCarthy,GH Dockrell,23.454545454545453,18.75
82,BJ McCarthy,AR McBrine,27.153846153846153,17.439999999999998
83,BJ McCarthy,PKD Chase,9.1,8.19
84,BJ McCarthy,MR Adair,23.333333333333332,18.71
85,BJ McCarthy,KJ O'Brien,28.652173913043477,28.02
86,BJ McCarthy,CA Young,16.0,9.05
87,BJ McCarthy,NJ O'Brien,33.25,31.57
88,BJ McCarthy,GJ Delany,29.333333333333332,19.65
89,BJ McCarthy,C Campher,62.0,48.58
90,BJ McCarthy,EC Joyce,45.45454545454545,43.15
91,BJ McCarthy,WTS Porterfield,31.82608695652174,30.81
92,TJ Murtagh,GH Dockrell,18.22222222222222,15.48
93,TJ Murtagh,JB Little,10.333333333333334,4.48
94,TJ Murtagh,PKD Chase,5.588235294117647,4.92
95,MR Adair,TJ Murtagh,16.625,15.440000000000001
96,TJ Murtagh,KJ O'Brien,26.58974358974359,24.75
97,TJ Murtagh,CA Young,11.333333333333334,5.779999999999999
98,TJ Murtagh,PR Stirling,42.81395348837209,42.19
99,J Cameron-Dow,GH Dockrell,23.0,14.83
100,J Cameron-Dow,KJ O'Brien,29.0,24.1
101,GH Dockrell,SW Poynter,28.1,25.119999999999997
102,AR McBrine,SW Poynter,32.333333333333336,23.81
103,SW Poynter,KJ O'Brien,38.3125,34.39
104,EC Joyce,SW Poynter,69.71428571428571,49.519999999999996
105,SW Poynter,MC Sorensen,26.0,21.95
106,GH Dockrell,J Mulder,17.666666666666668,17.5
107,GH Dockrell,PKD Chase,17.916666666666668,14.44
108,MR Adair,GH Dockrell,25.8,24.96
109,GH Dockrell,KJ O'Brien,34.53125,34.269999999999996
110,GH Dockrell,PR Stirling,55.666666666666664,51.71
111,GH Dockrell,NJ O'Brien,39.5,37.82
112,GH Dockrell,WTS Porterfield,41.05555555555556,37.06
113,GH Dockrell,MC Sorensen,23.5,21.83
114,MR Adair,JB Little,17.4,13.96
115,JB Little,KJ O'Brien,28.5,23.27
116,JB Little,PR Stirling,67.16666666666667,40.71
117,JB Little,WTS Porterfield,33.75,26.06
118,PKD Chase,J Mulder,23.0,6.9399999999999995
119,KJ O'Brien,J Mulder,50.0,26.77
120,PR Stirling,J Mulder,54.0,44.21
121,WTS Porterfield,J Mulder,58.0,29.56
122,AR McBrine,KJ O'Brien,34.45454545454545,32.96
123,AR McBrine,CA Young,22.0,13.989999999999998
124,AR McBrine,GJ Delany,28.6,24.59
125,AR McBrine,C Campher,63.666666666666664,53.519999999999996
126,AR McBrine,EC Joyce,59.21052631578947,48.089999999999996
127,PKD Chase,CA Young,7.5,4.74
128,EC Joyce,PKD Chase,49.27272727272727,38.839999999999996
129,PKD Chase,WTS Porterfield,29.333333333333332,26.5
130,MR Adair,KJ O'Brien,35.92307692307692,34.230000000000004
131,MR Adair,PR Stirling,68.38461538461539,51.67
132,MR Adair,GJ Delany,29.0,25.86
133,MR Adair,WTS Porterfield,40.75,37.019999999999996
134,EC Joyce,KJ O'Brien,60.75,58.67
135,KJ O'Brien,WTS Porterfield,46.54,46.33
136,MC Sorensen,KJ O'Brien,46.666666666666664,31.1
137,CA Young,C Campher,46.666666666666664,45.129999999999995
138,CA Young,AR Cusack,17.5,11.600000000000001
139,PR Stirling,GJ Delany,60.2,52.61
140,PR Stirling,C Campher,94.33333333333333,81.53999999999999
141,MC Sorensen,PR Stirling,52.0,48.54
142,NJ O'Brien,WTS Porterfield,54.035714285714285,49.879999999999995
143,NJ O'Brien,AR Cusack,37.6,34.120000000000005
144,MC Sorensen,NJ O'Brien,57.5,34.65
145,WTS Porterfield,GJ Delany,38.5,37.96
146,EC Joyce,WTS Porterfield,64.82758620689656,61.459999999999994
147,EC Joyce,AR Cusack,48.2,45.7
148,AR Cusack,WTS Porterfield,52.4,33.36
149,MC Sorensen,WTS Porterfield,45.333333333333336,33.89
