,player-1,player-2,combined_avg,sum_of_individual
0,C Campher,CA Young,46.666666666666664,45.129999999999995
1,C Campher,A Balbirnie,86.0,73.58
2,HT Tector,C Campher,61.333333333333336,61.33
3,C Campher,PR Stirling,94.33333333333333,81.53999999999999
4,C Campher,AR McBrine,63.666666666666664,53.519999999999996
5,MC Sorensen,SW Poynter,26.0,21.95
6,MC Sorensen,KJ O'Brien,46.666666666666664,31.1
7,MC Sorensen,NJ O'Brien,57.5,34.65
8,MC Sorensen,A Balbirnie,44.5,40.58
9,MC Sorensen,PR Stirling,52.0,48.54
10,MC Sorensen,GH Dockrell,23.5,21.83
11,MC Sorensen,JF Mooney,26.5,17.53
12,MC Sorensen,WTS Porterfield,45.333333333333336,33.89
13,KJ O'Brien,SW Poynter,38.3125,34.39
14,A Balbirnie,SW Poynter,45.0,43.87
15,GH Dockrell,SW Poynter,28.1,25.119999999999997
16,EC Joyce,SW Poynter,69.71428571428571,49.519999999999996
17,AR McBrine,SW Poynter,32.333333333333336,23.81
18,SW Poynter,WB Rankin,20.555555555555557,15.739999999999998
19,KJ O'Brien,J Cameron-Dow,29.0,24.1
20,A Balbirnie,J Cameron-Dow,73.33333333333333,33.58
21,GH Dockrell,J Cameron-Dow,23.0,14.83
22,KJ O'Brien,JB Little,28.5,23.27
23,KJ O'Brien,GC Wilson,39.51282051282051,38.54
24,KJ O'Brien,SP Terry,41.2,28.17
25,KJ O'Brien,TJ Murtagh,26.58974358974359,24.75
26,KJ O'Brien,BJ McCarthy,28.652173913043477,28.02
27,KJ O'Brien,MR Adair,35.92307692307692,34.230000000000004
28,KJ O'Brien,J Mulder,50.0,26.77
29,KJ O'Brien,GH Dockrell,34.53125,34.269999999999996
30,KJ O'Brien,EC Joyce,60.75,58.67
31,KJ O'Brien,WTS Porterfield,46.54,46.33
32,KJ O'Brien,AR McBrine,34.45454545454545,32.96
33,A Balbirnie,JB Little,58.333333333333336,32.75
34,HT Tector,JB Little,28.5,20.5
35,JB Little,PR Stirling,67.16666666666667,40.71
36,JB Little,MR Adair,17.4,13.96
37,WTS Porterfield,JB Little,33.75,26.06
38,JA McCollum,CA Young,29.0,23.36
39,A Balbirnie,CA Young,34.888888888888886,34.05
40,HT Tector,CA Young,23.333333333333332,21.8
41,TJ Murtagh,CA Young,11.333333333333334,5.779999999999999
42,AR Cusack,CA Young,17.5,11.600000000000001
43,AR McBrine,CA Young,22.0,13.989999999999998
44,NJ O'Brien,SR Thompson,38.875,34.620000000000005
45,NJ O'Brien,BJ McCarthy,33.25,31.57
46,NJ O'Brien,AR Cusack,37.6,34.120000000000005
47,NJ O'Brien,Simi Singh,39.142857142857146,38.7
48,GH Dockrell,NJ O'Brien,39.5,37.82
49,NJ O'Brien,JF Mooney,45.44444444444444,33.519999999999996
50,NJ O'Brien,WTS Porterfield,54.035714285714285,49.879999999999995
51,PKD Chase,SR Thompson,13.0,11.24
52,GC Wilson,SR Thompson,28.8,26.07
53,TJ Murtagh,SR Thompson,12.5,12.280000000000001
54,SR Thompson,PR Stirling,52.3,48.510000000000005
55,WTS Porterfield,SR Thompson,49.8,33.86
56,AR McBrine,SR Thompson,21.0,20.490000000000002
57,JA McCollum,A Balbirnie,61.333333333333336,51.81
58,JA McCollum,TJ Murtagh,23.571428571428573,23.54
59,JA McCollum,PR Stirling,83.11111111111111,59.769999999999996
60,SC Getkate,JA McCollum,57.0,28.229999999999997
61,JA McCollum,LJ Tucker,67.75,35.379999999999995
62,JA McCollum,WTS Porterfield,48.888888888888886,45.12
63,JA McCollum,AR McBrine,34.666666666666664,31.75
64,PKD Chase,TJ Murtagh,5.588235294117647,4.92
65,PKD Chase,BJ McCarthy,9.1,8.19
66,PKD Chase,Simi Singh,19.4,15.32
67,GH Dockrell,PKD Chase,17.916666666666668,14.44
68,PKD Chase,EC Joyce,49.27272727272727,38.839999999999996
69,PKD Chase,WTS Porterfield,29.333333333333332,26.5
70,HT Tector,A Balbirnie,62.666666666666664,50.25
71,A Balbirnie,PR Stirling,72.4375,70.46000000000001
72,SC Getkate,A Balbirnie,46.0,38.92
73,A Balbirnie,AR Cusack,46.2,40.05
74,GJ Delany,A Balbirnie,44.8,44.65
75,LJ Tucker,A Balbirnie,51.27272727272727,46.07
76,A Balbirnie,MR Adair,55.69230769230769,43.71
77,A Balbirnie,Simi Singh,45.1875,44.63
78,A Balbirnie,AR McBrine,42.54838709677419,42.44
79,A Balbirnie,WB Rankin,36.13636363636363,34.37
80,GC Wilson,TJ Murtagh,20.714285714285715,19.75
81,GC Wilson,AR Cusack,26.6,25.57
82,GC Wilson,MR Adair,31.833333333333332,29.23
83,GC Wilson,Simi Singh,33.857142857142854,30.15
84,GC Wilson,JF Mooney,30.8,24.97
85,GC Wilson,EC Joyce,53.964285714285715,53.67
86,GC Wilson,WTS Porterfield,43.02272727272727,41.33
87,GC Wilson,AR McBrine,33.125,27.96
88,SP Terry,TJ Murtagh,12.2,9.38
89,GH Dockrell,SP Terry,20.0,18.9
90,SP Terry,EC Joyce,97.66666666666667,43.3
91,HT Tector,PR Stirling,71.0,58.21
92,HT Tector,AR McBrine,40.333333333333336,30.189999999999998
93,TJ Murtagh,PR Stirling,42.81395348837209,42.19
94,TJ Murtagh,LJ Tucker,23.6,17.8
95,TJ Murtagh,MR Adair,16.625,15.440000000000001
96,GH Dockrell,TJ Murtagh,18.22222222222222,15.48
97,SC Getkate,PR Stirling,54.666666666666664,46.88
98,GJ Delany,PR Stirling,60.2,52.61
99,MR Adair,PR Stirling,68.38461538461539,51.67
100,J Mulder,PR Stirling,54.0,44.21
101,GH Dockrell,PR Stirling,55.666666666666664,51.71
102,WB Rankin,PR Stirling,47.6,42.33
103,GH Dockrell,BJ McCarthy,23.454545454545453,18.75
104,EC Joyce,BJ McCarthy,45.45454545454545,43.15
105,WTS Porterfield,BJ McCarthy,31.82608695652174,30.81
106,AR McBrine,BJ McCarthy,27.153846153846153,17.439999999999998
107,WB Rankin,BJ McCarthy,10.636363636363637,9.370000000000001
108,SC Getkate,LJ Tucker,36.666666666666664,22.490000000000002
109,SC Getkate,WTS Porterfield,32.666666666666664,32.23
110,EC Joyce,AR Cusack,48.2,45.7
111,WTS Porterfield,AR Cusack,52.4,33.36
112,GJ Delany,MR Adair,29.0,25.86
113,GJ Delany,WTS Porterfield,38.5,37.96
114,GJ Delany,AR McBrine,28.6,24.59
115,LJ Tucker,MR Adair,28.11111111111111,27.28
116,LJ Tucker,AR McBrine,29.0,26.009999999999998
117,LJ Tucker,WB Rankin,24.333333333333332,17.94
118,GH Dockrell,MR Adair,25.8,24.96
119,WTS Porterfield,MR Adair,40.75,37.019999999999996
120,MR Adair,WB Rankin,17.1,15.580000000000002
121,GH Dockrell,Simi Singh,26.0,25.880000000000003
122,AR McBrine,Simi Singh,28.583333333333332,24.57
123,WB Rankin,Simi Singh,18.454545454545453,16.5
