,player-1,player-2,player-3,combined_avg,sum_of_individual
0,WB Rankin,Simi Singh,GC Wilson,34.8,33.269999999999996
1,WB Rankin,GC Wilson,J Anderson,44.666666666666664,44.06
2,SW Poynter,WB Rankin,GC Wilson,38.8,32.51
3,WB Rankin,AR McBrine,GC Wilson,43.6,31.08
4,WB Rankin,GC Wilson,PKD Chase,24.666666666666668,21.830000000000002
5,WB Rankin,GC Wilson,PR Stirling,60.4375,59.1
6,WB Rankin,A Balbirnie,JA McCollum,58.5,54.92999999999999
7,WB Rankin,PR Stirling,JA McCollum,91.25,62.89
8,WB Rankin,WTS Porterfield,JA McCollum,52.125,48.239999999999995
9,LJ Tucker,WB Rankin,Simi Singh,42.5,31.32
10,LJ Tucker,WB Rankin,A Balbirnie,52.666666666666664,49.19
11,LJ Tucker,WB Rankin,BJ McCarthy,38.0,24.19
12,LJ Tucker,WB Rankin,TJ Murtagh,28.5,20.92
13,LJ Tucker,WB Rankin,GH Dockrell,36.0,30.44
14,LJ Tucker,WB Rankin,JB Little,21.0,19.44
15,LJ Tucker,WB Rankin,AR McBrine,30.0,29.130000000000003
16,LJ Tucker,WB Rankin,MR Adair,40.666666666666664,30.400000000000002
17,LJ Tucker,WB Rankin,PR Stirling,66.33333333333333,57.150000000000006
18,LJ Tucker,WB Rankin,GJ Delany,39.5,31.340000000000003
19,LJ Tucker,WB Rankin,WTS Porterfield,47.0,42.5
20,WB Rankin,Simi Singh,A Balbirnie,53.36363636363637,47.75
21,BJ McCarthy,WB Rankin,Simi Singh,27.5,22.75
22,WB Rankin,Simi Singh,GH Dockrell,34.0,29.0
23,WB Rankin,Simi Singh,PKD Chase,26.0,18.44
24,MR Adair,WB Rankin,Simi Singh,47.5,28.96
25,WB Rankin,Simi Singh,GJ Delany,43.0,29.9
26,BJ McCarthy,WB Rankin,J Anderson,40.333333333333336,33.540000000000006
27,WB Rankin,TJ Murtagh,J Anderson,37.0,30.270000000000003
28,WB Rankin,SW Poynter,J Anderson,67.66666666666667,39.91
29,WB Rankin,AR McBrine,J Anderson,131.0,38.480000000000004
30,WB Rankin,KJ O'Brien,J Anderson,66.33333333333333,49.06
31,WB Rankin,WTS Porterfield,J Anderson,66.66666666666667,51.85
32,WB Rankin,A Balbirnie,TJ Murtagh,40.26315789473684,37.349999999999994
33,WB Rankin,A Balbirnie,J Cameron-Dow,76.33333333333333,36.699999999999996
34,WB Rankin,A Balbirnie,SW Poynter,51.166666666666664,46.989999999999995
35,WB Rankin,A Balbirnie,GH Dockrell,57.45454545454545,46.87
36,WB Rankin,A Balbirnie,JB Little,66.0,35.87
37,WB Rankin,A Balbirnie,PKD Chase,47.0,36.309999999999995
38,MR Adair,WB Rankin,A Balbirnie,52.0,46.83
39,WB Rankin,A Balbirnie,PR Stirling,83.45454545454545,73.58
40,BJ McCarthy,WB Rankin,SW Poynter,30.0,21.990000000000002
41,BJ McCarthy,WB Rankin,AR McBrine,43.285714285714285,20.560000000000002
42,BJ McCarthy,WB Rankin,MR Adair,31.25,21.830000000000002
43,BJ McCarthy,WB Rankin,PR Stirling,66.54545454545455,48.58
44,BJ McCarthy,WB Rankin,GJ Delany,38.5,22.770000000000003
45,BJ McCarthy,WB Rankin,WTS Porterfield,35.90909090909091,33.93
46,SW Poynter,WB Rankin,TJ Murtagh,20.555555555555557,18.72
47,WB Rankin,TJ Murtagh,GH Dockrell,19.7,18.6
48,WB Rankin,TJ Murtagh,JB Little,13.0,7.6
49,WB Rankin,AR McBrine,TJ Murtagh,18.9375,17.29
50,WB Rankin,TJ Murtagh,PR Stirling,45.36363636363637,45.31
51,WB Rankin,J Cameron-Dow,GH Dockrell,26.0,17.95
52,WB Rankin,J Cameron-Dow,KJ O'Brien,32.0,27.22
53,WB Rankin,AR McBrine,SW Poynter,58.6,26.93
54,WB Rankin,SW Poynter,KJ O'Brien,41.77777777777778,37.51
