,player-1,player-2,player-3,combined_avg,sum_of_individual
0,PR Stirling,EC Joyce,SP Terry,121.66666666666667,82.51
1,AR McBrine,EC Joyce,SP Terry,98.0,54.489999999999995
2,SW Poynter,EC Joyce,SP Terry,107.66666666666667,55.919999999999995
3,EC Joyce,GC Wilson,SP Terry,119.0,60.07
4,EC Joyce,SP Terry,KJ O'Brien,134.33333333333334,65.07
5,EC Joyce,PKD Chase,SP Terry,97.66666666666667,45.239999999999995
6,EC Joyce,SP Terry,BJ McCarthy,101.0,49.55
7,EC Joyce,WTS Porterfield,SP Terry,106.0,67.86
8,TJ Murtagh,EC Joyce,SP Terry,98.0,46.279999999999994
9,PR Stirling,SP Terry,CA Young,56.0,48.41
10,PR Stirling,SP Terry,KJ O'Brien,69.6,67.38
11,SP Terry,KJ O'Brien,CA Young,57.0,30.970000000000002
12,AR McBrine,SP Terry,KJ O'Brien,42.333333333333336,39.36
13,SW Poynter,SP Terry,KJ O'Brien,51.0,40.79
14,GC Wilson,SP Terry,KJ O'Brien,57.4,44.94
15,TJ Murtagh,GC Wilson,SP Terry,28.4,26.15
16,PKD Chase,SP Terry,KJ O'Brien,41.2,30.11
17,SP Terry,BJ McCarthy,KJ O'Brien,43.0,34.42
18,TJ Murtagh,SP Terry,KJ O'Brien,47.0,31.15
19,TJ Murtagh,PKD Chase,SP Terry,12.2,11.32
20,GH Dockrell,TJ Murtagh,SP Terry,34.0,21.880000000000003
21,EC Joyce,MC Sorensen,A Balbirnie,86.5,77.47999999999999
22,AR Cusack,EC Joyce,A Balbirnie,85.6,76.95
23,SC Getkate,A Balbirnie,JA McCollum,95.33333333333333,59.480000000000004
24,SC Getkate,A Balbirnie,PR Stirling,93.0,78.13
25,SC Getkate,A Balbirnie,WB Rankin,46.333333333333336,42.04
26,SC Getkate,A Balbirnie,KJ O'Brien,61.333333333333336,60.69
27,SC Getkate,MR Adair,A Balbirnie,54.0,51.38
28,SC Getkate,WTS Porterfield,A Balbirnie,71.0,63.48
29,TJ Murtagh,SC Getkate,A Balbirnie,46.666666666666664,41.9
30,SC Getkate,A Balbirnie,LJ Tucker,75.0,53.74
31,A Balbirnie,NJ O'Brien,JF Mooney,76.33333333333333,64.77
32,MC Sorensen,A Balbirnie,NJ O'Brien,91.0,65.9
33,AR Cusack,A Balbirnie,NJ O'Brien,75.0,65.37
34,SR Thompson,A Balbirnie,NJ O'Brien,69.42857142857143,65.87
35,J Mulder,A Balbirnie,KJ O'Brien,94.0,58.019999999999996
36,PR Stirling,GJ Delany,A Balbirnie,91.6,83.86
37,GJ Delany,A Balbirnie,CA Young,59.333333333333336,47.449999999999996
38,AR McBrine,GJ Delany,A Balbirnie,60.0,55.84
39,MR Adair,GJ Delany,A Balbirnie,75.33333333333333,57.11
40,HT Tector,GJ Delany,A Balbirnie,74.0,63.65
41,GJ Delany,A Balbirnie,C Campher,97.33333333333333,86.97999999999999
42,GJ Delany,A Balbirnie,JB Little,70.0,46.15
43,PR Stirling,A Balbirnie,JA McCollum,123.88888888888889,91.02000000000001
44,WB Rankin,A Balbirnie,JA McCollum,58.5,54.92999999999999
45,AR McBrine,A Balbirnie,JA McCollum,69.66666666666667,63.0
46,A Balbirnie,KJ O'Brien,JA McCollum,82.11111111111111,73.58
47,MR Adair,A Balbirnie,JA McCollum,78.5,64.27
48,WTS Porterfield,A Balbirnie,JA McCollum,89.66666666666667,76.37
49,TJ Murtagh,A Balbirnie,JA McCollum,63.0,54.78999999999999
50,A Balbirnie,LJ Tucker,JA McCollum,114.25,66.63
51,GC Wilson,A Balbirnie,JF Mooney,59.1,56.22
52,MC Sorensen,A Balbirnie,JF Mooney,60.0,48.78
53,AR Cusack,A Balbirnie,JF Mooney,54.0,48.25
54,PR Stirling,J Cameron-Dow,A Balbirnie,107.0,72.78999999999999
55,PR Stirling,A Balbirnie,WB Rankin,83.45454545454545,73.58000000000001
56,AR McBrine,PR Stirling,A Balbirnie,84.38709677419355,81.65
57,SW Poynter,PR Stirling,A Balbirnie,99.0,83.08
58,PR Stirling,MC Sorensen,A Balbirnie,95.0,79.78999999999999
59,PR Stirling,MR Adair,A Balbirnie,111.61538461538461,82.92
60,GH Dockrell,PR Stirling,A Balbirnie,87.125,82.96000000000001
61,TJ Murtagh,PR Stirling,A Balbirnie,75.87878787878788,73.44
62,HT Tector,PR Stirling,A Balbirnie,114.66666666666667,89.46000000000001
63,PR Stirling,A Balbirnie,C Campher,138.0,112.79
64,PR Stirling,A Balbirnie,JB Little,124.0,71.96000000000001
65,PR Stirling,A Balbirnie,LJ Tucker,88.81818181818181,85.28
66,J Cameron-Dow,A Balbirnie,WB Rankin,76.33333333333333,36.699999999999996
