,player-1,player-2,avg
0,SP Terry,KJ O'Brien,41.2
1,SP Terry,J Anderson,30.0
2,SP Terry,MR Adair,0.0
3,SP Terry,JB Little,0.0
4,SP Terry,WTS Porterfield,16.2
5,SP Terry,WB Rankin,0.0
6,SP Terry,GC Wilson,22.6
7,GH Dockrell,SP Terry,20.0
8,SP Terry,SC Getkate,0.0
9,SP Terry,TJ Murtagh,12.2
10,SP Terry,C Campher,0.0
11,SP Terry,HT Tector,0.0
12,SP Terry,MC Sorensen,0.0
13,SP Terry,PKD Chase,6.4
14,SP Terry,A Balbirnie,0.0
15,SP Terry,BJ McCarthy,9.75
16,SP Terry,SW Poynter,16.2
17,LJ Tucker,SP Terry,0.0
18,SP Terry,EC Joyce,97.66666666666667
19,SP Terry,GJ Delany,0.0
20,SP Terry,CA Young,16.0
21,SP Terry,PR Stirling,34.8
22,SP Terry,AR Cusack,0.0
23,SP Terry,AR McBrine,5.666666666666667
24,SP Terry,J Mulder,0.0
25,SP Terry,J Cameron-Dow,0.0
26,SP Terry,NJ O'Brien,0.0
27,JA McCollum,SP Terry,0.0
28,SP Terry,JF Mooney,0.0
29,SP Terry,SR Thompson,0.0
30,SP Terry,Simi Singh,0.0
31,J Anderson,KJ O'Brien,55.333333333333336
32,MR Adair,KJ O'Brien,35.92307692307692
33,JB Little,KJ O'Brien,28.5
34,WTS Porterfield,KJ O'Brien,46.54
35,WB Rankin,KJ O'Brien,23.84
36,GC Wilson,KJ O'Brien,39.51282051282051
37,GH Dockrell,KJ O'Brien,34.53125
38,SC Getkate,KJ O'Brien,23.0
39,TJ Murtagh,KJ O'Brien,26.58974358974359
40,C Campher,KJ O'Brien,57.666666666666664
41,HT Tector,KJ O'Brien,34.333333333333336
42,MC Sorensen,KJ O'Brien,46.666666666666664
43,PKD Chase,KJ O'Brien,22.2
44,A Balbirnie,KJ O'Brien,51.83720930232558
45,BJ McCarthy,KJ O'Brien,28.652173913043477
46,SW Poynter,KJ O'Brien,38.3125
47,LJ Tucker,KJ O'Brien,34.81818181818182
48,EC Joyce,KJ O'Brien,60.75
49,GJ Delany,KJ O'Brien,29.6
50,CA Young,KJ O'Brien,24.5
51,PR Stirling,KJ O'Brien,60.056603773584904
52,AR Cusack,KJ O'Brien,25.6
53,AR McBrine,KJ O'Brien,34.45454545454545
54,J Mulder,KJ O'Brien,50.0
55,J Cameron-Dow,KJ O'Brien,29.0
56,NJ O'Brien,KJ O'Brien,40.82608695652174
57,JA McCollum,KJ O'Brien,41.333333333333336
58,JF Mooney,KJ O'Brien,26.11111111111111
59,SR Thompson,KJ O'Brien,23.833333333333332
60,Simi Singh,KJ O'Brien,31.733333333333334
61,MR Adair,J Anderson,0.0
62,JB Little,J Anderson,0.0
63,WTS Porterfield,J Anderson,47.166666666666664
64,WB Rankin,J Anderson,37.0
65,GC Wilson,J Anderson,31.8
66,GH Dockrell,J Anderson,33.333333333333336
67,SC Getkate,J Anderson,0.0
68,TJ Murtagh,J Anderson,30.0
69,C Campher,J Anderson,0.0
70,HT Tector,J Anderson,0.0
71,MC Sorensen,J Anderson,13.0
72,PKD Chase,J Anderson,23.666666666666668
73,A Balbirnie,J Anderson,0.0
74,BJ McCarthy,J Anderson,33.2
75,SW Poynter,J Anderson,42.666666666666664
76,LJ Tucker,J Anderson,0.0
77,EC Joyce,J Anderson,47.5
78,GJ Delany,J Anderson,0.0
79,CA Young,J Anderson,5.0
80,PR Stirling,J Anderson,50.333333333333336
81,AR Cusack,J Anderson,0.0
82,AR McBrine,J Anderson,88.0
83,J Mulder,J Anderson,0.0
84,J Cameron-Dow,J Anderson,0.0
85,NJ O'Brien,J Anderson,0.0
86,JA McCollum,J Anderson,0.0
87,JF Mooney,J Anderson,0.0
88,SR Thompson,J Anderson,0.0
89,Simi Singh,J Anderson,0.0
90,MR Adair,JB Little,17.4
91,MR Adair,WTS Porterfield,40.75
92,MR Adair,WB Rankin,17.1
93,MR Adair,GC Wilson,31.833333333333332
94,GH Dockrell,MR Adair,25.8
95,SC Getkate,MR Adair,15.666666666666666
96,MR Adair,TJ Murtagh,16.625
97,MR Adair,C Campher,0.0
98,MR Adair,HT Tector,29.0
99,MR Adair,MC Sorensen,0.0
100,MR Adair,PKD Chase,0.0
101,A Balbirnie,MR Adair,55.69230769230769
