,player-1,player-2,player-3,avg
0,EC Joyce,SW Poynter,GC Wilson,85.5
1,JA McCollum,SW Poynter,GC Wilson,0.0
2,LJ Tucker,SW Poynter,GC Wilson,0.0
3,SW Poynter,J Mulder,GC Wilson,0.0
4,AR McBrine,SW Poynter,GC Wilson,69.4
5,GJ Delany,SW Poynter,GC Wilson,0.0
6,SP Terry,SW Poynter,GC Wilson,32.4
7,SW Poynter,A Balbirnie,GC Wilson,33.0
8,HT Tector,SW Poynter,GC Wilson,0.0
9,SW Poynter,GC Wilson,MC Sorensen,27.0
10,JF Mooney,SW Poynter,GC Wilson,0.0
11,SW Poynter,GC Wilson,KJ O'Brien,53.72727272727273
12,SW Poynter,GC Wilson,J Anderson,54.0
13,SW Poynter,GC Wilson,TJ Murtagh,30.636363636363637
14,SW Poynter,GC Wilson,JB Little,0.0
15,BJ McCarthy,SW Poynter,GC Wilson,33.77777777777778
16,CA Young,SW Poynter,GC Wilson,11.0
17,SW Poynter,GC Wilson,GH Dockrell,38.4
18,SW Poynter,GC Wilson,SC Getkate,0.0
19,Simi Singh,SW Poynter,GC Wilson,35.0
20,PR Stirling,SW Poynter,GC Wilson,64.18181818181819
21,SW Poynter,GC Wilson,WB Rankin,38.8
22,J Cameron-Dow,SW Poynter,GC Wilson,0.0
23,SW Poynter,GC Wilson,WTS Porterfield,48.09090909090909
24,SW Poynter,GC Wilson,NJ O'Brien,27.333333333333332
25,PKD Chase,SW Poynter,GC Wilson,24.666666666666668
26,MR Adair,SW Poynter,GC Wilson,0.0
27,C Campher,SW Poynter,GC Wilson,0.0
28,SW Poynter,SR Thompson,GC Wilson,0.0
29,SW Poynter,GC Wilson,AR Cusack,0.0
30,JA McCollum,EC Joyce,SW Poynter,0.0
31,LJ Tucker,EC Joyce,SW Poynter,0.0
32,EC Joyce,SW Poynter,J Mulder,0.0
33,AR McBrine,EC Joyce,SW Poynter,105.0
34,GJ Delany,EC Joyce,SW Poynter,0.0
35,EC Joyce,SW Poynter,SP Terry,107.66666666666667
36,EC Joyce,SW Poynter,A Balbirnie,0.0
37,EC Joyce,SW Poynter,HT Tector,0.0
38,EC Joyce,SW Poynter,MC Sorensen,35.0
39,JF Mooney,EC Joyce,SW Poynter,0.0
40,EC Joyce,SW Poynter,KJ O'Brien,103.0
41,EC Joyce,SW Poynter,J Anderson,70.5
42,EC Joyce,SW Poynter,TJ Murtagh,70.85714285714286
43,EC Joyce,SW Poynter,JB Little,0.0
44,EC Joyce,SW Poynter,BJ McCarthy,73.0
45,CA Young,EC Joyce,SW Poynter,0.0
