,player-1,player-2,player-3,player-4,avg
0,J Anderson,GJ Delany,WB Rankin,SR Thompson,0.0
1,J Anderson,GJ Delany,NJ O'Brien,SR Thompson,0.0
2,J Anderson,GJ Delany,GH Dockrell,SR Thompson,0.0
3,J Anderson,GJ Delany,AR McBrine,SR Thompson,0.0
4,SC Getkate,J Anderson,GJ Delany,SR Thompson,0.0
5,J Anderson,GJ Delany,HT Tector,SR Thompson,0.0
6,J Anderson,GJ Delany,J Mulder,SR Thompson,0.0
7,J Anderson,GJ Delany,PR Stirling,SR Thompson,0.0
8,J Anderson,GJ Delany,CA Young,SR Thompson,0.0
9,BJ McCarthy,J Anderson,GJ Delany,SR Thompson,0.0
10,J Anderson,GJ Delany,MC Sorensen,SR Thompson,0.0
11,GC Wilson,J Anderson,GJ Delany,SR Thompson,0.0
12,LJ Tucker,J Anderson,GJ Delany,SR Thompson,0.0
13,JB Little,J Anderson,GJ Delany,SR Thompson,0.0
14,J Anderson,GJ Delany,EC Joyce,SR Thompson,0.0
15,J Anderson,GJ Delany,JF Mooney,SR Thompson,0.0
16,J Anderson,GJ Delany,JA McCollum,SR Thompson,0.0
17,J Anderson,GJ Delany,TJ Murtagh,SR Thompson,0.0
18,J Anderson,GJ Delany,KJ O'Brien,SR Thompson,0.0
19,J Anderson,GJ Delany,A Balbirnie,SR Thompson,0.0
20,J Anderson,GJ Delany,C Campher,SR Thompson,0.0
21,J Anderson,GJ Delany,AR Cusack,SR Thompson,0.0
22,J Anderson,GJ Delany,SW Poynter,SR Thompson,0.0
23,J Anderson,GJ Delany,PKD Chase,SR Thompson,0.0
24,J Anderson,GJ Delany,SP Terry,SR Thompson,0.0
25,J Anderson,GJ Delany,WTS Porterfield,SR Thompson,0.0
26,J Anderson,GJ Delany,Simi Singh,SR Thompson,0.0
27,J Anderson,GJ Delany,J Cameron-Dow,SR Thompson,0.0
28,J Anderson,GJ Delany,MR Adair,SR Thompson,0.0
29,J Anderson,GJ Delany,NJ O'Brien,WB Rankin,0.0
30,J Anderson,GJ Delany,GH Dockrell,WB Rankin,0.0
31,J Anderson,GJ Delany,AR McBrine,WB Rankin,0.0
32,SC Getkate,J Anderson,GJ Delany,WB Rankin,0.0
33,J Anderson,GJ Delany,HT Tector,WB Rankin,0.0
34,J Anderson,GJ Delany,J Mulder,WB Rankin,0.0
35,J Anderson,GJ Delany,PR Stirling,WB Rankin,0.0
36,J Anderson,GJ Delany,CA Young,WB Rankin,0.0
37,BJ McCarthy,J Anderson,GJ Delany,WB Rankin,0.0
38,J Anderson,GJ Delany,MC Sorensen,WB Rankin,0.0
39,GC Wilson,J Anderson,GJ Delany,WB Rankin,0.0
40,LJ Tucker,J Anderson,GJ Delany,WB Rankin,0.0
41,JB Little,J Anderson,GJ Delany,WB Rankin,0.0
42,J Anderson,GJ Delany,EC Joyce,WB Rankin,0.0
43,J Anderson,GJ Delany,JF Mooney,WB Rankin,0.0
44,J Anderson,GJ Delany,JA McCollum,WB Rankin,0.0
45,J Anderson,GJ Delany,TJ Murtagh,WB Rankin,0.0
46,J Anderson,GJ Delany,KJ O'Brien,WB Rankin,0.0
47,J Anderson,GJ Delany,A Balbirnie,WB Rankin,0.0
48,J Anderson,GJ Delany,C Campher,WB Rankin,0.0
49,J Anderson,GJ Delany,AR Cusack,WB Rankin,0.0
50,J Anderson,GJ Delany,SW Poynter,WB Rankin,0.0
51,J Anderson,GJ Delany,PKD Chase,WB Rankin,0.0
52,J Anderson,GJ Delany,SP Terry,WB Rankin,0.0
53,J Anderson,GJ Delany,WTS Porterfield,WB Rankin,0.0
54,J Anderson,GJ Delany,Simi Singh,WB Rankin,0.0
55,J Anderson,GJ Delany,J Cameron-Dow,WB Rankin,0.0
56,J Anderson,GJ Delany,MR Adair,WB Rankin,0.0
57,J Anderson,GJ Delany,NJ O'Brien,GH Dockrell,0.0
58,AR McBrine,J Anderson,GJ Delany,NJ O'Brien,0.0
59,J Anderson,GJ Delany,NJ O'Brien,SC Getkate,0.0
60,J Anderson,GJ Delany,NJ O'Brien,HT Tector,0.0
61,J Anderson,GJ Delany,NJ O'Brien,J Mulder,0.0
62,J Anderson,GJ Delany,PR Stirling,NJ O'Brien,0.0
63,J Anderson,GJ Delany,NJ O'Brien,CA Young,0.0
64,BJ McCarthy,J Anderson,GJ Delany,NJ O'Brien,0.0
65,J Anderson,GJ Delany,MC Sorensen,NJ O'Brien,0.0
66,GC Wilson,J Anderson,GJ Delany,NJ O'Brien,0.0
