,player-1,player-2,combined_avg,sum_of_individual
0,SP Terry,KJ O'Brien,41.2,28.17
1,GH Dockrell,SP Terry,20.0,18.9
2,SP Terry,TJ Murtagh,12.2,9.38
3,SP Terry,EC Joyce,97.66666666666669,43.3
4,SP Terry,CA Young,16.0,9.2
5,J Anderson,KJ O'Brien,55.33333333333334,45.94
6,MR Adair,KJ O'Brien,35.92307692307692,34.230000000000004
7,JB Little,KJ O'Brien,28.5,23.27
8,WTS Porterfield,KJ O'Brien,46.54,46.33
9,GC Wilson,KJ O'Brien,39.512820512820504,38.54
10,GH Dockrell,KJ O'Brien,34.53125,34.269999999999996
11,TJ Murtagh,KJ O'Brien,26.58974358974359,24.75
12,MC Sorensen,KJ O'Brien,46.66666666666666,31.1
13,BJ McCarthy,KJ O'Brien,28.65217391304348,28.02
14,SW Poynter,KJ O'Brien,38.3125,34.39
15,EC Joyce,KJ O'Brien,60.75,58.67
16,AR McBrine,KJ O'Brien,34.45454545454545,32.96
17,J Mulder,KJ O'Brien,50.0,26.77
18,J Cameron-Dow,KJ O'Brien,29.0,24.1
19,WB Rankin,J Anderson,37.0,27.290000000000003
20,TJ Murtagh,J Anderson,30.0,27.150000000000002
21,BJ McCarthy,J Anderson,33.2,30.42
22,SW Poynter,J Anderson,42.66666666666666,36.79
23,AR McBrine,J Anderson,88.0,35.36
24,MR Adair,JB Little,17.4,13.96
25,MR Adair,WTS Porterfield,40.75,37.019999999999996
26,MR Adair,WB Rankin,17.1,15.580000000000002
27,MR Adair,GC Wilson,31.83333333333333,29.23
28,GH Dockrell,MR Adair,25.8,24.96
29,MR Adair,TJ Murtagh,16.625,15.440000000000001
30,A Balbirnie,MR Adair,55.69230769230769,43.71
31,BJ McCarthy,MR Adair,23.33333333333333,18.71
32,LJ Tucker,MR Adair,28.11111111111111,27.28
33,MR Adair,GJ Delany,29.0,25.86
34,MR Adair,PR Stirling,68.38461538461539,51.67
35,MR Adair,Simi Singh,31.33333333333333,25.840000000000003
36,JB Little,WTS Porterfield,33.75,26.06
37,JB Little,WB Rankin,4.666666666666667,4.62
38,JB Little,TJ Murtagh,10.333333333333334,4.48
39,JB Little,HT Tector,28.5,20.5
40,A Balbirnie,JB Little,58.33333333333334,32.75
41,PR Stirling,JB Little,67.16666666666667,40.71
42,Simi Singh,JB Little,25.0,14.88
43,GC Wilson,WTS Porterfield,43.02272727272727,41.33
44,GH Dockrell,WTS Porterfield,41.055555555555564,37.06
45,SC Getkate,WTS Porterfield,32.666666666666664,32.23
46,MC Sorensen,WTS Porterfield,45.33333333333334,33.89
47,PKD Chase,WTS Porterfield,29.33333333333333,26.5
48,BJ McCarthy,WTS Porterfield,31.82608695652174,30.81
49,EC Joyce,WTS Porterfield,64.82758620689657,61.459999999999994
50,GJ Delany,WTS Porterfield,38.5,37.96
51,AR Cusack,WTS Porterfield,52.4,33.36
52,J Mulder,WTS Porterfield,58.0,29.56
53,NJ O'Brien,WTS Porterfield,54.03571428571429,49.879999999999995
54,JA McCollum,WTS Porterfield,48.88888888888889,45.12
55,JF Mooney,WTS Porterfield,35.6,32.76
56,SR Thompson,WTS Porterfield,49.8,33.86
57,GH Dockrell,WB Rankin,16.818181818181817,15.620000000000001
58,A Balbirnie,WB Rankin,36.13636363636363,34.37
59,BJ McCarthy,WB Rankin,10.636363636363637,9.370000000000001
60,SW Poynter,WB Rankin,20.555555555555557,15.739999999999998
61,LJ Tucker,WB Rankin,24.33333333333333,17.94
62,GJ Delany,WB Rankin,23.5,16.52
63,PR Stirling,WB Rankin,47.6,42.33
64,AR McBrine,WB Rankin,17.27777777777778,14.309999999999999
65,Simi Singh,WB Rankin,18.454545454545453,16.5
66,TJ Murtagh,GC Wilson,20.714285714285715,19.75
67,EC Joyce,GC Wilson,53.964285714285715,53.67
68,AR Cusack,GC Wilson,26.6,25.57
69,AR McBrine,GC Wilson,33.125,27.96
70,JF Mooney,GC Wilson,30.8,24.97
71,SR Thompson,GC Wilson,28.8,26.07
72,Simi Singh,GC Wilson,33.857142857142854,30.15
73,GH Dockrell,TJ Murtagh,18.222222222222218,15.48
74,GH Dockrell,MC Sorensen,23.5,21.83
75,GH Dockrell,PKD Chase,17.916666666666668,14.44
76,GH Dockrell,BJ McCarthy,23.45454545454545,18.75
77,GH Dockrell,SW Poynter,28.1,25.119999999999997
78,GH Dockrell,PR Stirling,55.66666666666666,51.71
79,GH Dockrell,J Mulder,17.666666666666668,17.5
80,GH Dockrell,J Cameron-Dow,23.0,14.83
81,GH Dockrell,NJ O'Brien,39.5,37.82
82,GH Dockrell,Simi Singh,26.0,25.880000000000003
83,A Balbirnie,SC Getkate,46.0,38.92
84,LJ Tucker,SC Getkate,36.66666666666666,22.490000000000002
