,player-1,player-2,player-3,combined_avg,sum_of_individual
0,EC Joyce,SW Poynter,GC Wilson,85.5,66.28999999999999
1,AR McBrine,SW Poynter,GC Wilson,69.4,40.58
2,SW Poynter,GC Wilson,KJ O'Brien,53.72727272727273,51.16
3,SW Poynter,GC Wilson,J Anderson,54.0,53.56
4,SW Poynter,GC Wilson,WB Rankin,38.8,32.51
5,AR McBrine,EC Joyce,SW Poynter,105.0,60.709999999999994
6,EC Joyce,SW Poynter,SP Terry,107.66666666666669,55.919999999999995
7,EC Joyce,SW Poynter,KJ O'Brien,103.0,71.28999999999999
8,EC Joyce,SW Poynter,TJ Murtagh,70.85714285714286,52.49999999999999
9,EC Joyce,SW Poynter,BJ McCarthy,73.0,55.769999999999996
10,EC Joyce,SW Poynter,GH Dockrell,68.0,62.019999999999996
11,EC Joyce,SW Poynter,PR Stirling,92.42857142857143,88.72999999999999
12,EC Joyce,SW Poynter,WTS Porterfield,89.57142857142857,74.08
13,PKD Chase,EC Joyce,SW Poynter,92.5,51.459999999999994
14,JA McCollum,PR Stirling,SW Poynter,96.0,72.39
15,AR McBrine,SW Poynter,A Balbirnie,77.0,55.06
16,AR McBrine,SW Poynter,KJ O'Brien,60.0,45.58
17,AR McBrine,SW Poynter,J Anderson,112.0,47.980000000000004
18,AR McBrine,SW Poynter,TJ Murtagh,33.22222222222222,26.79
19,AR McBrine,BJ McCarthy,SW Poynter,49.33333333333334,30.059999999999995
20,AR McBrine,SW Poynter,WB Rankin,58.6,26.93
21,SW Poynter,SP Terry,KJ O'Brien,51.0,40.79
22,CA Young,SW Poynter,SP Terry,24.0,21.82
23,SW Poynter,A Balbirnie,GH Dockrell,69.42857142857143,56.37
24,Simi Singh,SW Poynter,A Balbirnie,60.8,57.25
25,PR Stirling,SW Poynter,A Balbirnie,99.0,83.08
26,SW Poynter,A Balbirnie,WB Rankin,51.16666666666666,46.989999999999995
27,J Cameron-Dow,SW Poynter,A Balbirnie,76.0,46.2
28,SW Poynter,MC Sorensen,KJ O'Brien,90.0,43.72
29,SW Poynter,MC Sorensen,TJ Murtagh,26.0,24.93
