,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,GJ Delany,PR Stirling,AR McBrine,WB Rankin,68.5,66.92
1,BJ McCarthy,GJ Delany,AR McBrine,WB Rankin,44.5,33.959999999999994
2,LJ Tucker,GJ Delany,AR McBrine,WB Rankin,45.5,42.529999999999994
3,GJ Delany,Simi Singh,AR McBrine,WB Rankin,49.0,41.089999999999996
4,GJ Delany,AR McBrine,MR Adair,WB Rankin,50.5,40.169999999999995
5,BJ McCarthy,GJ Delany,PR Stirling,WB Rankin,77.5,61.98
6,LJ Tucker,GJ Delany,PR Stirling,WB Rankin,78.5,70.55000000000001
7,GJ Delany,KJ O'Brien,PR Stirling,WB Rankin,80.0,77.5
8,GJ Delany,PR Stirling,WTS Porterfield,WB Rankin,84.5,80.29
9,GJ Delany,Simi Singh,PR Stirling,WB Rankin,82.0,69.11000000000001
10,GJ Delany,PR Stirling,MR Adair,WB Rankin,83.5,68.19
11,BJ McCarthy,GJ Delany,LJ Tucker,WB Rankin,54.5,37.589999999999996
12,BJ McCarthy,GJ Delany,KJ O'Brien,WB Rankin,56.0,44.54
13,BJ McCarthy,GJ Delany,WTS Porterfield,WB Rankin,60.5,47.32999999999999
14,BJ McCarthy,GJ Delany,Simi Singh,WB Rankin,58.0,36.15
15,BJ McCarthy,GJ Delany,MR Adair,WB Rankin,59.5,35.23
16,LJ Tucker,GJ Delany,KJ O'Brien,WB Rankin,57.0,53.10999999999999
17,LJ Tucker,GJ Delany,WTS Porterfield,WB Rankin,61.5,55.9
18,LJ Tucker,GJ Delany,Simi Singh,WB Rankin,59.0,44.72
19,LJ Tucker,GJ Delany,MR Adair,WB Rankin,60.5,43.8
20,GJ Delany,KJ O'Brien,WTS Porterfield,WB Rankin,63.0,62.85
21,GJ Delany,KJ O'Brien,Simi Singh,WB Rankin,60.5,51.67
22,GJ Delany,KJ O'Brien,MR Adair,WB Rankin,62.0,50.75
23,GJ Delany,Simi Singh,WTS Porterfield,WB Rankin,65.0,54.46
24,GJ Delany,MR Adair,WTS Porterfield,WB Rankin,66.5,53.54
25,GJ Delany,Simi Singh,MR Adair,WB Rankin,64.0,42.36
26,HT Tector,GJ Delany,PR Stirling,AR McBrine,103.66666666666669,82.8
27,HT Tector,GJ Delany,AR McBrine,CA Young,56.0,46.38999999999999
28,BJ McCarthy,HT Tector,GJ Delany,AR McBrine,65.0,49.839999999999996
29,LJ Tucker,HT Tector,GJ Delany,AR McBrine,58.66666666666666,58.41
30,JB Little,HT Tector,GJ Delany,AR McBrine,46.5,45.089999999999996
31,HT Tector,GJ Delany,KJ O'Brien,AR McBrine,67.0,65.36
32,HT Tector,GJ Delany,A Balbirnie,AR McBrine,95.33333333333331,74.84
33,HT Tector,GJ Delany,AR McBrine,C Campher,94.0,85.91999999999999
34,HT Tector,GJ Delany,AR McBrine,Simi Singh,69.5,56.97
35,GJ Delany,PR Stirling,AR McBrine,CA Young,89.0,66.6
36,BJ McCarthy,GJ Delany,PR Stirling,AR McBrine,73.33333333333333,70.05
37,LJ Tucker,GJ Delany,PR Stirling,AR McBrine,86.0,78.62
38,JB Little,GJ Delany,PR Stirling,AR McBrine,95.0,65.3
39,GJ Delany,KJ O'Brien,PR Stirling,AR McBrine,91.6,85.57
40,A Balbirnie,GJ Delany,PR Stirling,AR McBrine,106.8,95.05
41,GJ Delany,PR Stirling,AR McBrine,C Campher,127.0,106.13
42,GJ Delany,PR Stirling,AR McBrine,MR Adair,106.33333333333331,76.25999999999999
43,BJ McCarthy,GJ Delany,AR McBrine,CA Young,76.0,33.63999999999999
44,LJ Tucker,GJ Delany,AR McBrine,CA Young,44.0,42.209999999999994
45,GJ Delany,KJ O'Brien,AR McBrine,CA Young,52.33333333333334,49.16
46,A Balbirnie,GJ Delany,AR McBrine,CA Young,80.66666666666667,58.63999999999999
47,GJ Delany,AR McBrine,CA Young,C Campher,79.33333333333333,69.72
48,GJ Delany,AR McBrine,CA Young,Simi Singh,62.0,40.77
49,BJ McCarthy,GJ Delany,AR McBrine,LJ Tucker,57.33333333333334,45.66
50,BJ McCarthy,GJ Delany,KJ O'Brien,AR McBrine,65.66666666666667,52.61
51,BJ McCarthy,GJ Delany,AR McBrine,C Campher,124.0,73.16999999999999
52,BJ McCarthy,GJ Delany,AR McBrine,WTS Porterfield,59.5,55.39999999999999
53,BJ McCarthy,GJ Delany,AR McBrine,Simi Singh,59.66666666666666,44.22
54,BJ McCarthy,GJ Delany,AR McBrine,MR Adair,58.5,43.3
55,LJ Tucker,GJ Delany,AR McBrine,C Campher,82.0,81.74
56,LJ Tucker,GJ Delany,AR McBrine,Simi Singh,62.0,52.79
57,JB Little,A Balbirnie,GJ Delany,AR McBrine,82.0,57.339999999999996
