Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
won,WTS Porterfield,7,PR Stirling,0,EC Joyce,51,GC Wilson,9,NJ O'Brien,22,KJ O'Brien,30,A Balbirnie,31,JF Mooney,0,AR Cusack,26,CA Young,0,GH Dockrell,0
lost,WTS Porterfield,8,PR Stirling,36,EC Joyce,21,NJ O'Brien,33,GC Wilson,20,KJ O'Brien,21,A Balbirnie,17,JF Mooney,4,AR Cusack,4,GH Dockrell,2,CA Young,5
won,WTS Porterfield,23,PR Stirling,92,EC Joyce,84,NJ O'Brien,79,A Balbirnie,9,GC Wilson,1,KJ O'Brien,0,JF Mooney,6,MC Sorensen,0,GH Dockrell,0,AR McBrine,0
lost,WTS Porterfield,12,PR Stirling,9,EC Joyce,0,NJ O'Brien,14,A Balbirnie,58,GC Wilson,0,KJ O'Brien,48,JF Mooney,25,GH Dockrell,25,MC Sorensen,22,AR McBrine,2
won,WTS Porterfield,29,PR Stirling,10,EC Joyce,112,A Balbirnie,97,KJ O'Brien,24,GC Wilson,25,JF Mooney,10,NJ O'Brien,2,GH Dockrell,5,AR Cusack,2,AR McBrine,0
lost,WTS Porterfield,67,PR Stirling,42,EC Joyce,2,NJ O'Brien,75,A Balbirnie,24,KJ O'Brien,1,GC Wilson,6,SR Thompson,2,JF Mooney,12,GH Dockrell,6,AR Cusack,11
lost,WTS Porterfield,107,PR Stirling,3,EC Joyce,11,NJ O'Brien,12,A Balbirnie,18,GC Wilson,29,KJ O'Brien,8,SR Thompson,12,JF Mooney,13,GH Dockrell,11,AR Cusack,1
lost,WTS Porterfield,4,PR Stirling,0,EC Joyce,44,NJ O'Brien,45,A Balbirnie,12,GC Wilson,1,SR Thompson,24,JF Mooney,0,AR McBrine,7,TJ Murtagh,2,CA Young,0
lost,WTS Porterfield,9,PR Stirling,24,EC Joyce,53,A Balbirnie,5,GC Wilson,70,KJ O'Brien,16,SR Thompson,1,JF Mooney,5,GH Dockrell,1,AR McBrine,23,TJ Murtagh,0
lost,WTS Porterfield,8,PR Stirling,72,EC Joyce,17,NJ O'Brien,50,A Balbirnie,12,GC Wilson,65,KJ O'Brien,5,JF Mooney,7,GH Dockrell,10,AR McBrine,0,TJ Murtagh,0
won,WTS Porterfield,20,PR Stirling,50,EC Joyce,7,A Balbirnie,24,NJ O'Brien,1,GC Wilson,19,KJ O'Brien,10,GH Dockrell,13,AR McBrine,14,TJ Murtagh,19,CA Young,0
lost,WTS Porterfield,73,PR Stirling,27,EC Joyce,9,J Anderson,7,KJ O'Brien,64,SW Poynter,20,GC Wilson,1,MC Sorensen,6,BJ McCarthy,0,TJ Murtagh,0,WB Rankin,0
lost,WTS Porterfield,8,PR Stirling,22,EC Joyce,9,J Anderson,34,KJ O'Brien,12,SW Poynter,36,GC Wilson,11,AR McBrine,79,BJ McCarthy,5,TJ Murtagh,0,WB Rankin,18
lost,WTS Porterfield,25,EC Joyce,62,J Anderson,26,SW Poynter,0,KJ O'Brien,35,PR Stirling,16,AR McBrine,12,GH Dockrell,6,BJ McCarthy,3,TJ Murtagh,7,PKD Chase,1
won,WTS Porterfield,1,EC Joyce,105,SP Terry,3,SW Poynter,3,KJ O'Brien,75,PR Stirling,39,GC Wilson,0,AR McBrine,0,BJ McCarthy,0,TJ Murtagh,0,PKD Chase,0
lost,WTS Porterfield,16,EC Joyce,12,SP Terry,9,SW Poynter,15,KJ O'Brien,34,PR Stirling,31,GC Wilson,6,AR McBrine,1,BJ McCarthy,10,TJ Murtagh,1,PKD Chase,0
won,WTS Porterfield,8,EC Joyce,160,SP Terry,4,GC Wilson,58,KJ O'Brien,1,PR Stirling,2,SW Poynter,12,AR McBrine,0,BJ McCarthy,0,TJ Murtagh,0,PKD Chase,0
lost,WTS Porterfield,8,PR Stirling,22,EC Joyce,9,J Anderson,34,KJ O'Brien,12,SW Poynter,36,GC Wilson,11,AR McBrine,79,BJ McCarthy,5,TJ Murtagh,0,WB Rankin,18
lost,WTS Porterfield,0,PR Stirling,40,J Anderson,5,GC Wilson,3,KJ O'Brien,41,SP Terry,16,SW Poynter,8,GH Dockrell,16,TJ Murtagh,13,CA Young,0,PKD Chase,0
lost,WTS Porterfield,24,PR Stirling,30,J Anderson,39,GC Wilson,14,KJ O'Brien,23,SP Terry,0,SW Poynter,11,GH Dockrell,8,BJ McCarthy,13,TJ Murtagh,15,PKD Chase,0
lost,EC Joyce,4,PR Stirling,68,WTS Porterfield,119,NJ O'Brien,10,KJ O'Brien,13,GC Wilson,0,SR Thompson,2,GH Dockrell,12,TJ Murtagh,2,J Mulder,15,PKD Chase,8
lost,EC Joyce,55,PR Stirling,95,WTS Porterfield,45,NJ O'Brien,5,A Balbirnie,11,GC Wilson,14,SR Thompson,37,AR McBrine,6,GH Dockrell,10,TJ Murtagh,5,PKD Chase,0
won,EC Joyce,12,PR Stirling,99,WTS Porterfield,1,NJ O'Brien,30,A Balbirnie,85,GC Wilson,28,SR Thompson,0,AR McBrine,0,GH Dockrell,0,TJ Murtagh,0,PKD Chase,0
won,EC Joyce,24,PR Stirling,28,WTS Porterfield,6,A Balbirnie,22,KJ O'Brien,72,GC Wilson,41,SR Thompson,8,AR McBrine,5,GH Dockrell,5,TJ Murtagh,0,J Mulder,0
lost,EC Joyce,42,PR Stirling,51,WTS Porterfield,34,NJ O'Brien,34,A Balbirnie,7,GC Wilson,5,SR Thompson,3,AR McBrine,12,GH Dockrell,21,TJ Murtagh,1,J Mulder,0
lost,EC Joyce,23,PR Stirling,20,WTS Porterfield,13,A Balbirnie,30,NJ O'Brien,16,GC Wilson,1,KJ O'Brien,4,SR Thompson,4,GH Dockrell,0,TJ Murtagh,11,PKD Chase,1
lost,EC Joyce,16,PR Stirling,48,WTS Porterfield,82,A Balbirnie,2,NJ O'Brien,15,GC Wilson,13,KJ O'Brien,18,GH Dockrell,28,BJ McCarthy,2,TJ Murtagh,2,PKD Chase,6
lost,WTS Porterfield,12,PR Stirling,14,NJ O'Brien,109,A Balbirnie,36,KJ O'Brien,1,GC Wilson,30,Simi Singh,9,GH Dockrell,1,BJ McCarthy,6,TJ Murtagh,2,PKD Chase,1
lost,EC Joyce,46,PR Stirling,0,WTS Porterfield,22,A Balbirnie,12,NJ O'Brien,30,KJ O'Brien,10,GC Wilson,6,GH Dockrell,25,BJ McCarthy,12,TJ Murtagh,5,PKD Chase,0
lost,EC Joyce,17,PR Stirling,0,WTS Porterfield,48,A Balbirnie,0,NJ O'Brien,5,GC Wilson,30,Simi Singh,0,GH Dockrell,16,BJ McCarthy,16,CA Young,1,PKD Chase,14
lost,WTS Porterfield,35,PR Stirling,5,A Balbirnie,0,NJ O'Brien,4,GC Wilson,3,KJ O'Brien,3,Simi Singh,5,SW Poynter,27,GH Dockrell,10,WB Rankin,1,TJ Murtagh,0
won,WTS Porterfield,47,PR Stirling,82,A Balbirnie,4,NJ O'Brien,13,GC Wilson,0,KJ O'Brien,11,SW Poynter,18,GH Dockrell,62,BJ McCarthy,7,TJ Murtagh,3,PKD Chase,0
won,WTS Porterfield,4,PR Stirling,101,A Balbirnie,35,NJ O'Brien,5,GC Wilson,11,KJ O'Brien,10,SW Poynter,1,GH Dockrell,0,BJ McCarthy,0,WB Rankin,0,TJ Murtagh,0
lost,WTS Porterfield,0,PR Stirling,18,A Balbirnie,9,EC Joyce,63,NJ O'Brien,34,KJ O'Brien,38,GC Wilson,18,GH Dockrell,14,AR McBrine,6,WB Rankin,0,TJ Murtagh,1
lost,WTS Porterfield,7,PR Stirling,41,A Balbirnie,2,EC Joyce,0,NJ O'Brien,8,KJ O'Brien,7,GC Wilson,15,AR McBrine,9,BJ McCarthy,2,WB Rankin,1,TJ Murtagh,4
lost,WTS Porterfield,20,PR Stirling,55,A Balbirnie,11,NJ O'Brien,36,Simi Singh,15,KJ O'Brien,41,GC Wilson,11,AR McBrine,11,BJ McCarthy,0,WB Rankin,0,TJ Murtagh,0
lost,WTS Porterfield,16,PR Stirling,10,A Balbirnie,55,NJ O'Brien,11,Simi Singh,16,KJ O'Brien,22,GC Wilson,38,AR McBrine,12,TJ Murtagh,2,WB Rankin,1,PKD Chase,0
won,WTS Porterfield,0,PR Stirling,39,A Balbirnie,60,NJ O'Brien,10,KJ O'Brien,8,Simi Singh,36,GC Wilson,4,AR McBrine,1,TJ Murtagh,4,WB Rankin,0,PKD Chase,0
lost,WTS Porterfield,14,PR Stirling,2,A Balbirnie,17,NJ O'Brien,1,Simi Singh,17,KJ O'Brien,16,GC Wilson,23,AR McBrine,16,TJ Murtagh,2,WB Rankin,4,PKD Chase,4
lost,WTS Porterfield,1,PR Stirling,89,A Balbirnie,2,JA McCollum,0,KJ O'Brien,10,Simi Singh,8,SW Poynter,7,GH Dockrell,37,BJ McCarthy,0,TJ Murtagh,0,WB Rankin,4
won,WTS Porterfield,3,PR Stirling,20,A Balbirnie,145,Simi Singh,1,KJ O'Brien,21,GH Dockrell,54,SW Poynter,0,AR McBrine,9,WB Rankin,0,TJ Murtagh,0,J Cameron-Dow,0
lost,WTS Porterfield,21,PR Stirling,11,A Balbirnie,0,Simi Singh,20,KJ O'Brien,26,GH Dockrell,8,SW Poynter,4,AR McBrine,1,J Cameron-Dow,7,TJ Murtagh,0,WB Rankin,9
won,WTS Porterfield,17,PR Stirling,70,A Balbirnie,68,Simi Singh,13,KJ O'Brien,33,GH Dockrell,0,SW Poynter,4,AR McBrine,0,J Cameron-Dow,0,WB Rankin,0,TJ Murtagh,0
lost,WTS Porterfield,17,PR Stirling,33,A Balbirnie,29,LJ Tucker,7,KJ O'Brien,4,GC Wilson,8,GH Dockrell,24,MR Adair,32,TJ Murtagh,12,JB Little,9,WB Rankin,5
lost,WTS Porterfield,12,PR Stirling,0,A Balbirnie,29,LJ Tucker,0,KJ O'Brien,68,GC Wilson,30,GH Dockrell,2,MR Adair,10,BJ McCarthy,9,TJ Murtagh,10,JB Little,0
lost,PR Stirling,77,JA McCollum,5,A Balbirnie,135,WTS Porterfield,3,KJ O'Brien,63,MR Adair,25,GC Wilson,4,GH Dockrell,0,WB Rankin,0,TJ Murtagh,0,JB Little,0
lost,PR Stirling,130,JA McCollum,5,A Balbirnie,20,WTS Porterfield,94,KJ O'Brien,3,MR Adair,11,GC Wilson,12,GH Dockrell,4,BJ McCarthy,1,WB Rankin,0,JB Little,0
won,PR Stirling,71,JA McCollum,4,A Balbirnie,4,WTS Porterfield,53,KJ O'Brien,32,GC Wilson,10,GH Dockrell,14,MR Adair,7,AR McBrine,3,TJ Murtagh,3,WB Rankin,1
lost,PR Stirling,50,JA McCollum,3,A Balbirnie,20,WTS Porterfield,19,KJ O'Brien,12,GC Wilson,34,AR McBrine,1,MR Adair,8,BJ McCarthy,18,TJ Murtagh,0,WB Rankin,1
won,PR Stirling,57,JA McCollum,21,A Balbirnie,101,WTS Porterfield,6,KJ O'Brien,5,LJ Tucker,23,SC Getkate,16,MR Adair,21,TJ Murtagh,0,WB Rankin,0,AR McBrine,0
won,PR Stirling,52,JA McCollum,73,A Balbirnie,9,WTS Porterfield,20,KJ O'Brien,6,LJ Tucker,56,SC Getkate,7,MR Adair,3,AR McBrine,4,TJ Murtagh,2,WB Rankin,1
won,PR Stirling,32,JA McCollum,54,A Balbirnie,5,WTS Porterfield,49,KJ O'Brien,35,LJ Tucker,8,SC Getkate,0,MR Adair,0,AR McBrine,0,TJ Murtagh,0,WB Rankin,0
lost,PR Stirling,15,GJ Delany,19,A Balbirnie,16,WTS Porterfield,15,KJ O'Brien,4,LJ Tucker,31,Simi Singh,5,MR Adair,29,AR McBrine,4,BJ McCarthy,13,WB Rankin,10
lost,PR Stirling,63,GJ Delany,14,A Balbirnie,10,WTS Porterfield,29,KJ O'Brien,31,LJ Tucker,1,Simi Singh,34,MR Adair,13,AR McBrine,8,BJ McCarthy,17,WB Rankin,4
lost,JA McCollum,20,PR Stirling,5,A Balbirnie,71,WTS Porterfield,10,KJ O'Brien,21,LJ Tucker,16,Simi Singh,10,MR Adair,3,AR McBrine,25,BJ McCarthy,8,CA Young,9
lost,PR Stirling,2,GJ Delany,22,A Balbirnie,3,HT Tector,0,KJ O'Brien,22,LJ Tucker,0,C Campher,59,Simi Singh,0,AR McBrine,40,BJ McCarthy,3,CA Young,11
lost,PR Stirling,12,GJ Delany,0,A Balbirnie,15,HT Tector,28,KJ O'Brien,3,LJ Tucker,21,C Campher,68,Simi Singh,25,AR McBrine,24,CA Young,2,JB Little,0
won,PR Stirling,142,GJ Delany,12,A Balbirnie,113,HT Tector,29,KJ O'Brien,21,LJ Tucker,0,C Campher,0,MR Adair,0,AR McBrine,0,CA Young,0,JB Little,0
